id1819,kreiskey1800,county,rb,misc1821_area
157,27,"Landshut","LIE",173403
158,183,"Langensalza","ERF",185472
159,145,"Lauban","LIE",169567
160,35,"Lauenburg","KOS",724240
161,70,"Lebus","FRA",511840
162,231,"Lechenich","KOL",113288
163,242,"Lennep","DUS",116209
164,129,"Leobschütz","OPP",297158
165,162,"Liebenwerda","MER",283161
166,142,"Liegnitz","LIE",172097
167,9,"Lik","GUM",429117
168,256,"Linz","KOB",
169,212,"Lippstadt","ARN",163303
170,13,"Löbau","MAR",379958
171,10,"Lötzen","GUM",357786
172,144,"Löwenberg","LIE",332692
173,124,"Lublinitz","OPP",408308
174,76,"Luckau","FRA",546843
175,34,"Lübben","FRA",644197
176,139,"Lüben","LIE",185793
177,191,"Lüdingshausen","MUN",273578
178,155,"Magdeburg","MAG",19513
179,253,"Maien","KOB",211353
180,281,"Malmedy","AAC",333111
181,171,"Mansfeld, Gebirgskreis","MER",188623
182,170,"Mansfeld, Seekreis","MER",258365
183,11,"Marienburg","DAN",319525
184,17,"Marienwerder","MAR",366112
185,38,"Memel","KON",272467
186,175,"Merseburg","MER",211923
187,267,"Merzig","TRI",174405
188,210,"Meschede","ARN",343863
189,25,"Meseritz","POS",479222
190,241,"Mettmann","DUS",
191,106,"Militsch","BRE",363771
192,199,"Minden","MIN",230953
193,21,"Mogilno","BRO",387009
194,3,"Mohrungen","KON",483905
195,279,"Montjoie","AAC",119590
196,182,"Mühlhausen","ERF",211007
197,227,"Mühlheim","KOL",156611
198,192,"Münster","MUN",304574
199,116,"Münsterberg","BRE",123103
200,102,"Namslau","BRE",221808
201,86,"Naugard","STE",489778
202,177,"Naumburg","MER",52705
203,4,"Neidenburg","KON",634393
204,132,"Neisse","OPP",299359
205,110,"Neumarkt","BRE",273144
206,244,"Neuss","DUS",111576
207,16,"Neustadt","DAN",564609
208,130,"Neustadt","OPP",318126
209,256,"Neuwied","KOB",187946
210,8,"Niederung","GUM",458013
211,115,"Nimptsch","BRE",133975
212,179,"Nordhausen","ERF",190155
213,42,"Obernik","POS",441710
214,104,"Oels","BRE",336481
215,112,"Ohlau","BRE",235635
216,9,"Oletzko","GUM",336685
217,220,"Olpe","ARN",294671
218,122,"Oppeln","OPP",586381
219,4,"Ortelsburg","KON",594825
220,159,"Oschersleben","MAG",238988
221,148,"Osterburg","MAG",389478
222,3,"Osterode","KON",574893
223,37,"Osterwiek","MAG",206789
224,270,"Ottweiler","TRI",177936
225,205,"Paderborn","MIN",208912
226,8,"Pillkallen","GUM",404646
227,84,"Piritz","STE",412494
228,33,"Pleschen","POS",421118
229,31,"Pless","OPP",395983
230,24,"Posen","POS",435190
231,51,"Prenzlow","POT",439048
232,63,"(Ost-)Priegnitz","POT",714124
233,64,"(West-)Priegnitz","POT",604867
234,260,"Prüm","TRI",348006
235,174,"Querfurt","MER",233645
236,8,"Ragnit","GUM",469005
237,200,"Rahden","MIN",212157
238,82,"Randow","STE",461355
239,5,"Rastenburg","KON",311857
240,127,"Ratibor","OPP",334093
241,198,"Recklinghausen","MUN",255273
242,235,"Rees","DUS",156007
243,89,"Regenwalde","STE",434634
244,118,"Reichenbach","BRE",160268
245,232,"Rheinbach","KOL",112730
246,237,"Rheinberg","DUS",213442
247,31,"Ribnik","OPP",329009
248,2,"Rössel","KON",311535
249,17,"Rosenberg","MAR",402181
250,121,"Rosenberg","OPP",382659
251,147,"Rothenburg","LIE",505081
252,96,"Rummelsburg","KOS",437892
253,62,"Ruppin","POT",722200
254,168,"Saalkreis","MER",193422
255,269,"Saarbrücken","TRI",198627
256,266,"Saarburg","TRI",125201
257,268,"Saarlouis","TRI",244880
258,85,"Saazig","STE",495851
259,136,"Sagan","LIE",380615
260,149,"Salzwedel","MAG",459530
261,24,"Samter","POS",431743
262,172,"Sangerhausen","MER",327027
263,90,"Schiefelbein","KOS",195450
264,43,"Schildberg","POS",361932
265,95,"Schlawe","KOS",628517
266,187,"Schleusingen","ERF",180661
267,14,"Schlochau","MAR",883774
268,29,"Schönau","LIE",128506
269,40,"Schrimm","POS",408607
270,39,"Schrodda","POS",401302
271,20,"Schubin","BRO",453251
272,30,"Schweidnitz","BRE",228569
273,164,"Schweinitz","MER",401014
274,14,"Schwetz","MAR",590525
275,10,"Sensburg","GUM",475921
276,226,"Siegburg","KOL",297910
277,221,"Siegen","ARN",233333
278,247,"Simmern","KOB",184748
279,213,"Soest","ARN",211014
280,66,"Soldin","FRA",414158
281,243,"Solingen","DUS",116662
282,79,"Sorau","FRA",525997
283,36,"Spremberg","FRA",488933
284,137,"Sprottau","LIE",257515
285,8,"Stallupöhnen","GUM",314492
286,15,"Stargard","DAN",536216
287,108,"Steinau","BRE",187738
288,194,"Steinfurt","MUN",291590
289,151,"Stendal","MAG",338043
290,72,"Sternberg","FRA",707810
291,82,"Stettin","STE",60678
292,92,"(Neu-)Stettin","KOS",775574
293,97,"Stolp","KOS",849687
294,13,"Strasburg","MAR",518003
295,114,"Strehlen","BRE",130021
296,123,"(Gross-)Strehlitz","OPP",357382
297,119,"Striegau","BRE",107172
298,11,"Stuhm","MAR",248398
299,188,"Teklenburg","MUN",262655
300,56,"Teltow","POT",995495
301,52,"Templin","POT",569739
302,12,"Thorn","MAR",434939
303,8,"Tilsit","GUM",274507
304,163,"Torgau","MER",397907
305,125,"Tost","OPP",358261
306,105,"Trebnitz","BRE",297968
307,263,"Trier, Stadtkreis","TRI",12497
308,264,"Trier, Landkreis","TRI",381582
309,23,"Tscharnikow","BRO",600419
310,32,"Uckermünde","STE",356127
311,226,"Ukerath","KOL",
312,81,"Usedom","STE",245196
313,281,"St. Vith","AAC",
314,225,"Waldbröl","KOL",127921
315,30,"Waldenburg","BRE",171287
316,156,"Wanzleben","MAG",212254
317,207,"Warburg","MIN",181662
318,189,"Warendorf","MUN",248575
319,103,"Wartenberg","BRE",302148
320,7,"Wehlau","KON",381909
321,176,"Weissenfels","MER",257753
322,184,"Weissensee","ERF",111973
323,258,"Wetzlar","KOB",211618
324,204,"Wiedenbrück","MIN",207900
325,223,"Wipperfürth","KOL",99144
326,22,"Wirlitz","BRO",464136
327,165,"Wittenberg","MER",348855
328,222,"Wittgenstein","ARN",143805
329,262,"Wittlich","TRI",271447
330,109,"Wohlau","BRE",339363
331,157,"Wollmirstädt","MAG",260128
332,49,"Wongrowiz","BRO",513808
333,180,"Worbis","ERF",155281
334,26,"Wreschen","POS",279035
335,178,"Zeiz","MER",95325
336,251,"Zell","KOB",124663
337,186,"Ziegenrück","ERF",85489
338,1,"Zinten","KON",356456
339,73,"Züllichau","FRA",306345
340,276,"Aachen","AAC",12262
341,228,"Köln","KOL",3012
342,193,"Münster","MUN",645
343,59,"Potsdam","POT",4303
344,50,"Berlin","POT",29723
