id1816,kreiskey1800,county,rb,rel1816_pro_luth,rel1816_pro_ref,rel1816_cat,rel1816_men,rel1816_jew_rights,rel1816_jew_norights
205,89,"Regenwalde","STE",16909,4,18,0,179,1
206,118,"Reichenbach","BRE",27541,36,9167,0,4,0
207,232,"Rheinbach","KOL",0,106,21601,0,367,0
208,237,"Rheinberg","DUS",427,14404,20695,1,360,43
209,121,"Rosenberg","OPP",1998,11,18115,0,455,1
210,147,"Rothenburg","LIE",31758,2,85,0,0,0
211,96,"Rummelsburg","KOS",12133,1,59,0,54,0
212,62,"Ruppin","POT",45052,2793,186,39,48,5
213,168,"Saalkreis","MER",27494,463,27,0,11,0
214,269,"Saarbrücken","TRI",11810,940,10742,11,40,40
215,266,"Saarburg","TRI",14,3,16977,0,121,0
216,268,"Saarlouis","TRI",83,1,31286,5,626,0
217,85,"Saazig","STE",41241,381,364,0,318,1
218,136,"Sagan","LIE",27726,10,6645,0,11,37
219,149,"Salzwedel","MAG",27924,37,35,0,62,57
220,172,"Sangerhausen","MER",33342,29,40,0,0,3
221,90,"Schiefelbein","KOS",8359,2,1,0,78,0
222,43,"Schildberg","POS",3974,12,27282,12,0,3104
223,95,"Schlawe","KOS",35895,116,79,0,189,0
224,187,"Schleusingen","ERF",25241,3,43,0,1,286
225,40,"Schrimm","POS",4984,53,27644,0,0,1736
226,39,"Schrodda","POS",2137,25,21295,0,0,785
227,30,"Schweidnitz","BRE",61204,16,14693,0,32,0
228,164,"Schweinitz","MER",25189,2,17,0,0,0
229,226,"Siegburg","KOL",1500,257,26321,0,284,0
230,221,"Siegen","ARN",118,27073,5191,50,8,0
231,247,"Simmern","KOB",4452,12260,10465,0,386,0
232,213,"Soest","ARN",12597,229,15995,0,230,66
233,66,"Soldin","FRA",22473,333,52,1,319,0
234,243,"Solingen","DUS",4386,18495,3652,0,69,0
235,79,"Sorau","FRA",42444,6,205,0,0,5
236,36,"Spremberg","FRA",27319,3,2767,0,1,0
237,137,"Sprottau","LIE",17069,9,2211,0,18,1
238,8,"Stallupöhnen","GUM",49784,5721,808,0,22,0
239,15,"Stargard","DAN",9208,53,25810,12,749,1
240,108,"Steinau","BRE",12589,8,2467,0,5,0
241,194,"Steinfurt","MUN",172,2813,32017,0,302,0
242,151,"Stendal","MAG",28663,242,173,0,167,41
243,72,"Sternberg","FRA",38941,220,177,49,118,273
244,92,"(Neu-)Stettin","KOS",29147,1,71,0,204,9
245,97,"Stolp","KOS",37690,167,109,0,141,0
246,114,"Strehlen","BRE",13450,1520,2477,0,10,0
247,123,"(Gross-)Strehlitz","OPP",190,26,17241,0,190,0
248,119,"Striegau","BRE",12185,7,7106,0,10,0
