id1819,kreiskey1800,county,rb,fac1819_brick,fac1819_lime,fac1819_glass,mill1819_water,mill1819_saw_one,mill1819_saw_more
182,170,"Mansfeld, Seekreis","MER",12,13,0,64,1,0
183,11,"Marienburg","DAN",6,0,0,5,0,0
184,17,"Marienwerder","MAR",9,0,0,25,6,0
185,38,"Memel","KON",4,1,0,6,2,24
186,175,"Merseburg","MER",16,3,0,35,9,0
187,267,"Merzig","TRI",3,22,0,66,10,0
188,210,"Meschede","ARN",0,1,0,41,23,0
189,25,"Meseritz","POS",14,3,0,21,0,0
190,241,"Mettmann","DUS",1,32,0,40,0,0
191,106,"Militsch","BRE",11,0,0,48,10,0
192,199,"Minden","MIN",4,3,1,64,0,0
193,21,"Mogilno","BRO",3,0,0,31,1,0
194,3,"Mohrungen","KON",14,10,0,16,4,0
195,279,"Montjoie","AAC",0,0,0,15,1,0
196,182,"Mühlhausen","ERF",7,4,0,72,0,0
197,227,"Mühlheim","KOL",4,14,0,47,0,0
198,192,"Münster","MUN",10,0,0,28,0,1
199,116,"Münsterberg","BRE",3,0,0,53,2,0
200,102,"Namslau","BRE",8,0,0,33,2,0
201,86,"Naugard","STE",2,0,0,32,5,0
202,177,"Naumburg","MER",5,8,0,15,3,0
203,4,"Neidenburg","KON",3,0,0,23,6,0
204,132,"Neisse","OPP",4,1,2,96,5,0
205,110,"Neumarkt","BRE",8,1,0,38,1,0
206,244,"Neuss","DUS",6,0,0,8,0,0
207,16,"Neustadt","DAN",4,2,0,39,6,0
208,130,"Neustadt","OPP",7,2,0,74,9,0
209,256,"Neuwied","KOB",2,0,0,51,2,0
210,8,"Niederung","GUM",0,0,0,0,0,0
211,115,"Nimptsch","BRE",7,0,0,60,6,0
212,179,"Nordhausen","ERF",9,9,0,87,5,0
213,42,"Obernik","POS",3,2,0,34,2,0
214,104,"Oels","BRE",12,2,0,68,9,0
215,112,"Ohlau","BRE",4,1,0,22,2,0
216,9,"Oletzko","GUM",5,53,0,15,1,0
217,220,"Olpe","ARN",0,2,6,39,5,0
218,122,"Oppeln","OPP",9,9,1,71,17,1
219,4,"Ortelsburg","KON",4,0,1,17,4,0
220,159,"Oschersleben","MAG",6,6,0,63,1,0
221,148,"Osterburg","MAG",7,0,0,5,0,0
222,3,"Osterode","KON",9,5,0,38,21,0
223,37,"Osterwiek","MAG",4,0,0,70,0,6
224,270,"Ottweiler","TRI",9,21,1,44,6,0
225,205,"Paderborn","MIN",6,0,0,36,7,0
226,8,"Pillkallen","GUM",2,1,0,3,0,0
227,84,"Piritz","STE",3,0,0,33,13,0
228,33,"Pleschen","POS",11,3,1,37,3,0
229,31,"Pless","OPP",6,5,3,72,11,5
230,24,"Posen","POS",43,1,0,34,0,0
231,51,"Prenzlow","POT",14,2,0,34,12,0
232,63,"(Ost-)Priegnitz","POT",17,1,1,52,4,0
233,64,"(West-)Priegnitz","POT",20,4,0,22,0,0
234,260,"Prüm","TRI",0,26,0,68,18,0
235,174,"Querfurt","MER",14,19,0,57,0,0
236,8,"Ragnit","GUM",1,1,0,5,2,0
237,200,"Rahden","MIN",4,1,0,38,0,0
238,82,"Randow","STE",11,2,2,32,4,0
239,5,"Rastenburg","KON",11,1,0,19,1,0
240,127,"Ratibor","OPP",4,0,0,91,24,0
