kreiskey1888,county,rb,edu1886_loc_pri,edu1886_loc_max,edu1886_loc_rea,edu1886_loc_dis,edu1886_loc_nvr,edu1886_loc_tot,edu1886_loc_awa,edu1886_dif_pri,edu1886_dif_max,edu1886_dif_rea,edu1886_dif_dis,edu1886_dif_nvr,edu1886_dif_tot,edu1886_dif_awa,edu1886_tot_you,edu1886_tot_old,edu1886_tot_pri,edu1886_tot_max,edu1886_tot_rea,edu1886_tot_dis,edu1886_tot_nvr,edu1886_tot_tot,edu1886_tot_awa,edu1886_stud_tot,edu1886_stud_m,edu1886_stud_f,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_stud_ger,edu1886_stud_pol,edu1886_stud_pag,edu1886_stud_lit,edu1886_stud_lag,edu1886_stud_wen,edu1886_stud_wag,edu1886_stud_sla,edu1886_stud_sag,edu1886_stud_dan,edu1886_stud_dag,edu1886_stud_oth,edu1886_stud_oag,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
517,"DAUN","TRI",0,0,79,3,2,3267,0,0,0,41,2,0,1680,0,669,5077,0,0,120,5,2,4947,0,4947,2432,2515,2009,2032,4041,18,4920,0,9,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,18,4920,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,"PRUM","TRI",32,0,241,27,2,3519,59,1,0,178,17,1,2666,129,833,6555,33,0,419,44,3,6185,188,6185,3148,3037,2196,2144,4340,30,6150,0,5,6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6185,30,6150,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,"BITBURG","TRI",18,0,139,1,0,4329,3,27,0,130,13,0,3482,115,1059,8255,45,0,269,14,0,7811,118,7811,3902,3909,2369,2391,4760,15,7764,0,32,7811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7804,15,7764,0,25,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0
520,"WITTLICH","TRI",297,0,81,8,2,5854,18,2,0,6,0,0,725,23,937,7034,299,0,87,8,2,6579,41,6579,3138,3441,1890,1929,3819,16,6468,8,87,6579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6553,16,6468,8,61,0,0,0,0,0,26,0,0,0,26,0,0,0,0,0
521,"BERNKASTEL","TRI",49,0,158,15,0,6251,5,1,0,4,3,0,1343,10,1069,7811,50,0,162,18,0,7594,15,7594,3800,3794,2302,2336,4638,1983,5440,18,153,7594,0,0,0,0,0,0,0,0,0,0,0,0,1973,1856,67,18,32,5446,34,5332,0,80,0,0,0,0,0,38,0,0,0,38,137,93,41,0,3
522,"TRIER","TRI",978,0,172,13,0,3918,0,0,0,0,0,0,0,0,650,4920,978,0,172,13,0,3918,0,3918,2073,1845,329,298,627,385,3458,0,75,3918,0,0,0,0,0,0,0,0,0,0,0,0,383,383,0,0,0,3464,2,3458,0,4,0,0,0,0,0,71,0,0,0,71,0,0,0,0,0
523,"TRIER","TRI",38,0,589,19,0,10385,34,18,0,151,6,0,3225,142,1877,13697,56,0,740,25,0,13610,176,13610,6956,6654,3083,3018,6101,196,13258,4,152,13610,0,0,0,0,0,0,0,0,0,0,0,0,148,129,19,0,0,13439,67,13239,4,129,0,0,0,0,0,23,0,0,0,23,0,0,0,0,0
524,"SAARBURG","TRI",0,0,170,7,3,4040,10,218,0,52,3,0,1391,54,701,5747,218,0,222,10,3,5431,64,5431,2910,2521,1352,1217,2569,19,5356,0,56,5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5431,19,5356,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,"MERZIG","TRI",72,0,639,7,0,5620,3,2,0,195,3,0,1859,0,1032,7599,74,0,834,10,0,7479,3,7479,3796,3683,1852,1691,3543,36,7394,0,49,7479,0,0,0,0,0,0,0,0,0,0,0,0,24,22,1,0,1,7455,14,7393,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,"SAARLOUIS","TRI",151,0,877,26,1,9989,3,16,0,349,8,0,3244,37,1851,13678,167,0,1226,34,1,13233,40,13233,6755,6478,2839,2754,5593,234,12816,5,178,13231,0,0,0,0,0,0,0,0,0,0,0,2,58,58,0,0,0,12412,89,12214,5,104,0,0,0,0,0,60,0,0,0,60,703,87,602,0,14
527,"SAARBRUCKEN","TRI",760,35,736,43,13,21992,55,3,0,32,4,0,2042,56,3366,25077,763,35,768,47,13,24034,111,24034,12289,11745,5328,4978,10306,9597,14361,43,33,24033,0,0,0,0,0,0,0,0,0,0,0,1,8015,7817,155,29,14,12893,143,12745,2,3,0,0,0,0,0,0,0,0,0,0,3126,1637,1461,12,16
528,"OTTWEILER","TRI",255,0,336,7,0,10555,0,194,0,616,8,0,4016,32,1949,14971,449,0,952,15,0,14571,32,14571,7397,7174,3146,3034,6180,4718,9725,0,128,14571,0,0,0,0,0,0,0,0,0,0,0,0,4688,4591,66,0,31,9541,48,9489,0,4,0,0,0,0,0,93,0,0,0,93,249,79,170,0,0
