kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
15,"Stargard","DAN",6251,331,32,982,365,382,155,128,35,31,63,50,24,30,20,20,14,10,1936,1862,3798,1,0,55
15,"Stargard","DAN",4382,242,27,463,159,147,66,54,29,19,31,42,8,17,20,12,8,5,1092,994,2086,0,0,44
16,"Danzig, Landkreis","DAN",7899,767,163,1244,318,307,153,112,39,36,83,59,23,23,12,8,8,5,2111,1995,4106,6,1,59
16,"Dirschau","DAN",5273,365,44,573,220,169,97,85,41,33,55,52,23,22,11,16,11,11,1394,1274,2668,2,1,72
16,"Karthaus","DAN",4426,263,38,595,249,207,86,78,41,30,43,27,29,9,17,7,8,4,1312,1149,2461,1,0,50
16,"Neustadt","DAN",5402,416,35,659,213,215,127,120,22,26,38,47,33,35,21,21,22,18,1483,1476,2959,5,1,47
17,"Marienwerder","MAR",8231,593,122,1330,409,391,183,169,42,54,51,51,30,27,9,14,14,8,2427,2198,4625,7,0,77
17,"Marienwerder","MAR",6048,332,135,936,245,222,120,112,23,29,49,30,25,27,25,16,8,2,1748,1625,3373,4,0,51
17,"Rosenberg","MAR",6247,486,168,978,303,256,127,136,32,27,37,32,41,27,15,20,11,7,1853,1615,3468,7,0,51
18,"Danzig, Stadtkreis","DAN",6359,824,224,1150,198,156,95,84,47,31,50,48,20,26,4,11,8,1,2022,1807,3829,7,2,95
18,"Danzig, Stadtkreis","DAN",7923,1297,283,1450,260,229,140,164,36,24,59,49,38,53,10,29,5,11,2811,2831,5642,12,1,42
19,"Braunsberg","KON",5766,386,87,684,153,160,59,66,10,11,13,16,10,15,3,4,5,5,1015,1003,2018,5,1,38
19,"Braunsberg","KON",6425,574,129,1002,323,303,135,127,14,17,23,14,29,24,11,10,3,1,1762,1628,3390,7,2,57
20,"Bromberg","BRO",7289,330,82,935,334,277,121,119,28,28,36,44,16,27,14,13,16,20,1821,1673,3494,4,0,60
20,"Bromberg","BRO",6739,322,50,912,348,306,131,131,34,33,28,42,16,16,10,13,9,7,1772,1608,3380,1,0,72
20,"Schubin","BRO",7118,302,61,125,426,425,145,140,32,23,39,56,34,34,16,21,12,18,1952,1829,3781,0,0,61
21,"Inowrazlaw","BRO",5910,282,32,831,271,235,105,97,47,29,56,45,21,30,10,14,9,13,1556,1398,2954,2,0,60
