kreiskey1800,county,rb,pop181621_born_tot,pop181621_born_oow_tot,pop181621_stillborn_oow_tot,pop181621_died_un1_tot,pop181621_died_m_1to3,pop181621_died_f_1to3,pop181621_died_m_3to5,pop181621_died_f_3to5,pop181621_died_m_10to14,pop181621_died_f_10to14,pop181621_died_m_14to20,pop181621_died_f_14to20,pop181621_died_m_80to84,pop181621_died_f_80to84,pop181621_died_m_85to89,pop181621_died_f_85to89,pop181621_died_m_ov89,pop181621_died_f_ov89,pop181621_died_m_tot,pop181621_died_f_tot,pop181621_died_tot,pop181621_died_m_sui,pop181621_died_f_sui,pop181621_died_f_birth
235,"Rees","DUS",6680,404,148,827,212,210,95,109,51,39,74,61,81,86,47,51,21,26,2274,2184,4458,9,0,58
236,"Dinslaken","DUS",5740,173,185,732,219,193,77,118,39,52,64,72,68,68,25,29,10,11,2000,1957,3957,8,3,46
236,"Essen","DUS",8372,299,251,989,359,345,172,169,87,79,111,92,98,110,40,61,22,29,3276,2040,216,8,0,43
237,"Geldern","DUS",7410,152,163,826,274,266,113,94,60,65,94,105,79,98,37,44,16,19,2701,2659,5360,2,0,54
237,"Rheinberg","DUS",7395,270,102,866,285,240,106,110,52,57,92,71,86,97,40,56,18,23,2695,2492,5187,6,5,53
238,"Kempen","DUS",8496,232,71,1161,388,301,151,163,88,89,103,95,74,79,43,43,15,20,3450,3466,6916,1,0,87
239,"Krefeld","DUS",6888,212,231,915,254,231,97,100,37,33,84,63,60,76,35,34,14,16,2408,2265,4673,9,1,37
240,"Düsseldorf, Landkreis","DUS",6783,304,198,845,268,331,89,105,55,56,100,89,53,64,39,23,11,16,2475,2313,4788,7,0,48
240,"Düsseldorf, Stadtkreis","DUS",4474,349,235,749,209,192,104,87,20,20,48,31,47,55,34,33,11,25,1872,1667,3539,8,1,13
241,"Elberfeld","DUS",3260,238,275,780,275,272,74,87,33,40,63,63,47,39,13,17,5,4,2039,1940,3979,11,1,41
241,"Elberfeld","DUS",6319,191,395,1004,503,440,204,211,47,45,81,76,42,36,22,29,4,12,3009,2719,5728,14,3,37
241,"Mettmann","DUS",3764,161,196,466,217,241,89,97,28,51,54,42,31,34,13,16,5,6,1623,1534,3157,4,1,37
242,"Lennep","DUS",9893,230,456,1143,560,488,213,186,73,83,118,109,70,59,22,26,9,5,3708,3355,7063,8,3,83
243,"Opladen","DUS",2339,72,90,291,116,96,41,40,15,24,33,25,22,18,7,4,4,0,927,824,1751,2,0,11
243,"Solingen","DUS",5088,144,223,696,246,235,122,127,38,56,44,42,45,35,12,21,5,1,1872,1797,3669,8,0,61
243,"Solingen","DUS",2648,82,129,348,228,182,56,59,18,18,35,31,29,25,16,9,5,3,1273,1064,2337,7,2,17
244,"Neuss","DUS",5816,256,116,927,209,207,96,107,37,52,44,59,55,87,22,34,10,14,2066,2092,4158,1,0,43
245,"Grevenbroich","DUS",5867,376,120,873,196,203,90,76,41,39,74,57,61,78,29,44,13,12,2065,2016,4081,3,0,42
246,"Gladbach","DUS",7890,353,150,1070,275,298,114,140,68,47,103,89,98,95,42,48,30,20,2916,2847,5763,1,0,33
247,"Simmern","KOB",6355,251,248,958,277,285,113,123,41,60,73,77,38,24,8,10,2,5,2386,2197,4583,7,3,72
248,"Koblenz","KOB",10507,527,351,1942,397,396,145,153,62,74,105,76,86,100,42,52,6,17,3752,3611,7363,9,1,118
249,"St. Goar","KOB",6539,180,242,1014,283,288,128,134,60,44,60,54,42,46,14,13,5,7,2299,2315,4614,11,1,66
250,"Kreutznach","KOB",9101,389,246,1453,376,389,147,151,61,58,77,90,59,67,27,17,7,12,2924,3027,5951,5,4,70
251,"Zell","KOB",4575,126,116,768,185,177,92,103,40,46,60,45,24,29,15,19,3,4,1656,1757,3413,0,0,47
252,"Kochem","KOB",5715,185,260,787,264,241,151,148,44,38,65,44,39,38,15,27,5,8,2176,2022,4198,2,0,75
253,"Maien","KOB",7463,271,279,1176,234,252,127,117,59,74,72,81,64,54,29,27,10,7,2577,2593,5170,2,1,91
254,"Adenau","KOB",4137,97,106,681,168,184,102,102,38,38,36,40,24,31,18,13,8,4,1805,1666,3471,0,0,30
255,"Ahrweiler","KOB",5714,153,202,890,260,263,125,139,49,54,51,42,44,39,25,15,5,11,2345,2268,4613,4,0,65
256,"Linz","KOB",2504,74,27,430,104,91,44,61,23,28,13,20,29,31,17,11,4,9,976,1057,2033,1,0,41
256,"Neuwied","KOB",6601,316,238,1061,215,210,113,92,39,57,77,64,33,28,10,16,3,3,2349,2291,4640,7,1,118
257,"Altenkirchen","KOB",6150,360,216,916,234,219,80,86,52,49,60,73,21,29,5,9,4,3,2328,2232,4560,5,1,75
258,"Braunfels","KOB",3790,199,146,533,106,123,53,61,24,26,37,35,20,21,5,3,4,2,1304,1340,2644,3,1,42
258,"Wetzlar","KOB",2622,181,123,354,77,79,35,33,19,21,24,27,38,20,7,15,3,2,1023,1051,2074,7,1,36
259,"Daun","TRI",3867,130,78,526,149,152,97,98,39,27,39,31,29,25,16,17,8,11,1475,1387,2562,0,0,25
260,"Prüm","TRI",4937,108,58,818,235,233,139,129,57,39,53,58,47,37,7,13,5,8,2020,1918,3938,2,0,44
261,"Bitburg","TRI",6703,122,76,1035,290,288,187,148,67,72,76,70,47,29,10,20,7,15,2484,2348,4832,3,0,91
262,"Wittlich","TRI",5726,141,89,837,232,254,120,152,51,47,36,40,48,26,18,14,7,6,2007,1941,3948,0,1,57
263,"Trier, Stadtkreis","TRI",3819,271,78,790,167,181,93,98,29,38,52,41,29,42,24,25,7,24,1723,1595,3318,4,1,40
264,"Trier, Landkreis","TRI",9603,204,120,1427,403,338,193,206,66,76,79,82,72,48,30,22,15,14,3238,2985,6223,0,0,127
265,"Bernkastel","TRI",7460,221,173,954,271,296,167,173,65,84,59,77,68,63,28,31,7,8,2691,2604,5295,3,1,80
266,"Saarburg","TRI",5328,114,44,859,173,170,72,115,50,33,56,47,35,33,19,11,24,8,1659,1612,3271,0,0,68
267,"Merzig","TRI",6004,150,49,897,267,254,117,121,42,54,49,51,21,36,13,22,13,10,1957,1840,3797,4,0,59
268,"Saarlouis","TRI",9003,310,65,1330,322,304,153,141,67,53,86,73,41,48,32,28,7,9,2640,2552,5192,3,0,107
269,"Saarbrücken","TRI",608,302,61,842,230,208,130,129,45,49,49,47,33,36,11,18,4,6,1804,1778,3582,6,1,64
270,"Ottweiler","TRI",3039,205,11,659,175,179,88,68,28,30,52,53,17,20,4,9,7,4,1412,1312,2724,1,0,49
271,"Erkelenz","AAC",6136,264,54,884,238,222,113,118,37,40,54,69,80,81,43,25,19,17,2289,2312,4001,3,0,53
272,"Heinsberg","AAC",5821,125,54,738,250,206,101,112,37,41,48,59,52,54,28,22,7,9,1990,1991,3981,1,0,49
273,"Geilenkirchen","AAC",4634,129,79,719,223,203,66,86,15,27,35,48,44,60,34,30,10,9,1717,1642,3359,1,2,46
274,"Jülich","AAC",6410,380,87,1096,266,234,122,106,48,51,66,57,73,83,45,51,22,16,2438,2227,4665,3,0,38
275,"Düren","AAC",8378,260,190,1513,372,356,159,178,54,67,98,79,109,118,60,58,21,32,3416,3116,6532,4,2,102
276,"Aachen","AAC",,,,,,,,,,,,,,,,,,,,,,4,4,
277,"Achen","AAC",9421,345,225,1484,415,401,198,201,75,69,102,87,98,143,63,73,26,44,3826,3460,7286,1,0,56
278,"Eupen","AAC",3362,120,130,484,138,165,62,60,29,23,30,33,26,50,24,23,8,16,1395,1429,2824,1,1,38
279,"Montjoie","AAC",3791,74,69,564,193,194,85,84,18,25,36,32,28,29,7,13,3,8,1503,1447,2950,4,0,35
280,"Blankenheim","AAC",848,13,9,116,56,57,23,21,11,11,7,6,9,11,7,3,1,2,408,370,778,1,0,5
280,"Gemünd","AAC",4323,90,60,561,218,219,98,106,32,48,39,52,35,30,13,14,5,4,1608,1675,3283,1,0,37
280,"Gemünd","AAC",1204,20,16,181,100,61,26,24,11,12,12,17,12,9,6,3,1,3,549,476,1025,1,0,7
281,"Malmedy","AAC",855,23,20,120,35,39,5,11,8,6,12,5,8,5,2,2,0,2,295,295,590,1,0,10
281,"Malmedy","AAC",2255,54,60,279,120,107,65,57,12,15,23,25,45,35,12,19,5,9,977,925,1902,0,0,42
281,"St. Vith","AAC",1665,39,10,235,77,71,50,52,21,13,25,32,16,17,11,10,5,5,757,773,1530,0,0,21
