kreiskey1866,county,rb,soil1866_are_tot,soil1866_are_loam_hig,soil1866_are_loam_riv,soil1866_are_gcl_hig,soil1866_are_gcl_riv,soil1866_are_cla_tot,soil1866_are_sloa,soil1866_are_san,soil1866_are_swamp,soil1866_are_wat,soil1866_are_lim
140,"BEUTHEN LANDKREIS","OPP",13727,2007,0,0,0,2007,8771,2883,0,66,515
141,"FALKENBERG","OPP",10932,770,1314,672,0,2756,4331,2796,768,281,0
142,"GROTTKAU","OPP",9424,1419,2826,0,0,4245,3697,1417,0,65,0
143,"KOSEL","OPP",12226,5005,249,763,1591,7708,649,3715,0,154,0
144,"KREUZBURG","OPP",9997,0,0,1270,0,1270,7379,1229,34,85,0
145,"LEOBSCHUTZ","OPP",12524,6342,0,1277,0,7619,4864,0,0,41,0
146,"LUBLINITZ","OPP",18309,1870,0,1671,0,3541,6626,7528,381,233,1870
147,"NEISSE","OPP",12902,1611,1201,4102,0,6914,5606,279,0,103,283
148,"NEUSTADT IN OBERSCHLESIEN","OPP",14485,5177,402,2101,0,7680,2547,3139,1019,100,0
149,"OPPELN LANDKREIS","OPP",25929,610,1604,944,0,3158,1280,20082,1085,324,610
150,"PLESS","OPP",19239,6226,352,0,0,6578,10363,1986,0,312,375
151,"RATIBOR","OPP",15551,6077,635,3407,1299,11418,729,2272,858,274,0
152,"ROSENBERG IN OBERSCHLESIEN","OPP",16352,2713,0,0,0,2713,8936,4591,0,112,0
153,"RYBNIK","OPP",15449,0,196,0,0,196,5810,9280,0,163,0
154,"GROSS STREHLITZ","OPP",16342,1963,467,0,0,2430,1337,12367,56,152,4501
155,"TOST-GLEIWITZ","OPP",16332,2004,572,1035,0,3611,6517,6094,0,110,4492
156,"BRESLAU","BRE",14159,5316,1786,0,0,7102,3820,2952,26,259,0
157,"BRIEG","BRE",10947,483,1262,457,0,2202,4740,3840,0,165,0
158,"FRANKENSTEIN","BRE",8700,7112,782,673,0,8567,87,0,0,46,0
159,"GLATZ","BRE",9614,9163,404,0,0,9567,0,0,0,47,0
160,"GUHRAU","BRE",12320,0,907,0,0,907,7203,2441,1667,102,0
161,"HABELSCHWERDT","BRE",14364,14316,0,0,0,14316,0,0,0,48,205
162,"MILITSCH","BRE",16881,64,0,763,0,827,5498,8286,1018,1252,0
163,"MUNSTERBERG","BRE",6240,3528,0,603,550,4681,1346,190,0,23,0
164,"NAMSLAU","BRE",10605,0,0,0,0,0,4197,6353,0,55,0
