kreiskey1874,county,rb,lit1871_ill_m_to10_pro,lit1871_ill_f_to10_pro,lit1871_ill_m_to10_cat,lit1871_ill_f_to10_cat,lit1871_ill_m_to10_jew,lit1871_ill_f_to10_jew,lit1871_ill_m_to10_oth,lit1871_ill_f_to10_oth,lit1871_ill_m_to10_tot,lit1871_ill_f_to10_tot,edu1871_lit_mis_m,edu1871_lit_mis_f
383,"Untertaunus (Langenschwalb.)","WIE",67,153,58,83,13,9,0,1,138,246,41,26
384,"Frankfurt am Main","WIE",199,468,119,199,46,76,2,2,366,745,301,478
385,"Hinterlandkreis (Biedenkopf)","WIE",196,412,2,5,3,5,0,0,201,422,474,578
386,"Koblenz","KOB",14,32,445,920,9,30,0,0,468,982,413,554
387,"Sankt Goar","KOB",22,96,254,639,6,14,0,0,282,749,138,162
388,"Kreuznach","KOB",173,562,201,661,30,68,0,0,404,1291,254,330
389,"Simmern","KOB",74,209,118,289,5,23,0,0,197,521,156,184
390,"Zell","KOB",39,104,116,291,6,18,0,0,161,413,134,215
391,"Kochem","KOB",0,0,277,618,8,11,0,0,285,629,215,356
392,"Mayen","KOB",7,15,542,1267,20,49,0,0,569,1331,72,131
393,"Adenau","KOB",0,0,228,676,1,0,0,0,229,676,148,212
394,"Ahrweiler","KOB",3,6,371,1110,8,20,0,0,382,1136,193,266
395,"Neuwied","KOB",169,333,657,1339,13,43,0,0,839,1715,345,349
396,"Altenkirchen","KOB",74,139,126,304,3,3,0,0,203,446,346,415
397,"Wetzlar","KOB",156,444,7,10,11,23,1,1,175,478,478,608
398,"Meisenheim","KOB",112,246,26,76,6,31,0,0,144,353,54,104
399,"Kleve","DUS",43,105,1168,2569,2,9,0,0,1213,2683,78,92
400,"Rees","DUS",210,337,883,1854,7,17,0,0,1100,2208,190,327
401,"Stadtkreis Krefeld","DUS",171,302,1041,2025,10,24,0,1,1222,2352,361,452
402,"Landkreis Krefeld","DUS",9,17,676,1222,7,12,0,0,692,1251,151,178
403,"Stadt Duisburg","DUS",158,316,321,437,1,6,0,0,480,759,58,70
404,"Mülheim a. d. Ruhr","DUS",1081,1603,1014,1347,10,22,1,0,2106,2959,550,645
405,"Stadtkreis Essen","DUS",221,272,569,745,7,8,2,2,799,1027,239,242
406,"Landkreis Essen","DUS",336,444,1287,1717,6,11,0,0,1629,2172,0,0
407,"Mörs","DUS",406,866,1135,1927,6,26,0,2,1547,2821,157,238
408,"Geldern","DUS",25,59,1637,2900,1,1,0,0,1663,2960,165,209
409,"Kempen","DUS",24,37,2710,4594,12,26,0,0,2746,4657,20,353
410,"Stadtkreis Düsseldorf","DUS",64,131,685,1706,3,12,1,3,753,1852,459,615
411,"Landkreis Düsseldorf","DUS",191,306,785,1391,4,14,0,1,980,1712,8,0
412,"Stadt Elberfeld","DUS",616,1464,270,520,4,4,8,22,898,2010,114,218
413,"Stadt Barmen","DUS",586,1135,132,224,0,1,28,69,746,1429,689,1019
414,"Mettmann","DUS",739,1327,336,592,13,16,3,7,1091,1942,127,149
415,"Lennep","DUS",958,1699,316,457,0,3,1,3,1275,2162,570,570
416,"Solingen","DUS",786,1562,768,1468,3,18,2,1,1559,3049,413,503
417,"Neuss","DUS",6,10,880,2111,7,18,0,0,893,2139,86,93
418,"Grevenbroich","DUS",80,128,782,1864,29,56,0,0,891,2048,318,351
419,"Gladbach","DUS",288,529,2557,4491,14,34,1,0,2860,5054,507,505
420,"Wipperfürth","KOL",25,77,771,1554,0,0,0,0,796,1631,76,105
421,"Waldbröl","KOL",152,574,129,347,4,1,0,0,285,922,77,180
422,"Gummersbach","KOL",147,561,50,115,2,0,0,1,199,677,82,135
423,"Siegkreis","KOL",80,205,1830,3725,18,32,0,0,1928,3962,306,346
424,"Mülheim am Rhein","KOL",47,113,1282,2624,6,9,0,0,1335,2746,224,260
425,"Stadtkreis Köln","KOL",58,107,1543,3514,16,30,0,6,1617,3657,2130,1510
426,"Landkreis Köln","KOL",35,41,1391,2824,12,35,0,0,1438,2900,196,389
427,"Kreis Bergheim","KOL",5,3,747,2035,13,35,0,0,765,2073,182,262
428,"Euskirchen","KOL",0,8,550,1437,21,37,0,0,571,1482,235,259
429,"Rheinbach","KOL",1,0,352,1001,23,28,0,0,376,1029,163,197
430,"Bonn","KOL",20,25,843,2228,23,70,0,0,886,2323,164,276
431,"Daun","TRI",1,0,313,694,0,0,0,0,314,694,66,34
432,"Prüm","TRI",0,0,578,1140,0,0,0,0,578,1140,65,101
433,"Bitburg","TRI",0,0,905,1786,1,0,0,0,906,1786,330,400
434,"Wittlich","TRI",0,1,444,994,9,17,0,0,453,1017,90,181
435,"Bernkastel","TRI",111,274,226,702,25,41,0,0,362,1012,421,538
436,"Stadtkreis Trier","TRI",17,36,322,767,8,16,0,0,347,819,188,296
437,"Landkreis Trier","TRI",9,33,700,2032,17,39,0,0,726,2104,312,415
438,"Kreis Saarburg","TRI",0,0,487,1369,4,2,0,0,491,1371,229,157
439,"Merzig","TRI",0,1,536,1353,1,7,0,0,537,1361,20,154
440,"Saarlouis","TRI",9,4,1250,2452,10,32,0,0,1269,2488,249,366
441,"Saarbrücken","TRI",355,775,1101,1812,3,5,0,2,1459,2594,191,137
442,"Ottweiler","TRI",169,367,545,1190,6,20,0,0,720,1577,4,70
443,"Sanct Wendel","TRI",147,420,267,797,16,34,0,0,430,1251,372,550
444,"Erkelenz","AAC",19,31,946,2067,6,11,0,0,971,2109,157,193
445,"Heinsberg","AAC",6,10,978,2130,8,14,0,0,992,2154,69,108
446,"Geilenkirchen","AAC",5,3,821,1640,4,17,0,2,830,1660,122,141
447,"Jülich","AAC",13,8,959,2058,23,43,0,1,995,2111,148,184
448,"Düren","AAC",16,13,1439,3454,18,38,0,0,1473,3506,450,501
449,"Stadtkreis Aachen","AAC",15,26,3479,5393,5,13,1,0,3500,5432,773,863
450,"Landkreis Aachen","AAC",47,58,3926,6222,14,18,0,0,3987,6298,937,895
451,"Eupen","AAC",1,3,1002,1690,0,0,0,0,1003,1693,245,226
452,"Montjoie","AAC",7,21,261,753,0,0,0,0,268,774,89,163
453,"Schleiden","AAC",10,26,587,1556,9,15,0,0,606,1597,283,317
454,"Malmedy","AAC",0,0,554,1377,0,0,0,0,554,1377,222,243
455,"Oberamtsbezirk Sigmaringen","SIG",2,1,110,151,1,0,0,0,113,152,0,0
456,"Oberamtsbezirk Gammertingen","SIG",9,0,35,76,0,0,0,0,44,76,53,84
457,"Oberamtsbezirk Hechingen","SIG",1,0,66,301,3,8,0,0,70,309,94,184
458,"Oberamtsbezirk Haigerloch","SIG",1,1,93,146,3,15,0,0,97,162,0,0
