kreiskey1864,county,rb,edu1864_pub_ele_stud,edu1864_pub_mim_stud_m,edu1864_pub_mif_stud_f,edu1864_pub_rea_stud,edu1864_pub_pgy_stud,edu1864_pub_gym_stud,edu1864_pub_sem_par,edu1864_pri_ele_stud,edu1864_pri_hsm_stud_m,edu1864_pri_hsf_stud_f,edu1864_pri_voc_stud,edu1864_pri_sun_stud,edu1864_pri_kin_stud
169,"KREUZBURG","OPP",5723,0,0,140,0,0,44,103,0,31,0,225,0
170,"ROSENBERG IN OBERSCHLESIEN","OPP",9687,0,0,46,0,0,0,15,2,9,0,269,0
171,"OPPELN LANDKREIS","OPP",15780,0,0,0,0,345,0,275,0,0,94,613,0
172,"GROSS STREHLITZ","OPP",9955,0,0,0,0,0,0,186,0,0,0,293,0
173,"LUBLINITZ","OPP",9686,0,34,0,0,0,0,152,35,36,0,113,0
174,"TOST-GLEIWITZ","OPP",13208,0,0,0,0,546,89,85,0,40,0,224,23
175,"BEUTHEN LANDKREIS","OPP",21344,0,51,0,0,0,0,1662,0,64,24,405,273
176,"PLESS","OPP",12676,0,0,0,0,0,0,202,24,2,0,0,0
177,"RYBNIK","OPP",12363,72,197,0,0,0,0,311,0,0,26,237,0
178,"RATIBOR","OPP",16757,0,0,0,0,506,0,28,0,215,0,433,0
179,"KOSEL","OPP",10773,0,36,0,0,0,0,107,0,0,0,84,0
180,"LEOBSCHUTZ","OPP",14118,0,0,0,0,428,0,95,0,49,0,163,108
181,"NEUSTADT IN OBERSCHLESIEN","OPP",13580,0,93,136,0,0,93,88,0,0,0,626,109
182,"FALKENBERG","OPP",6991,0,0,0,0,0,0,0,22,20,0,101,0
183,"NEISSE","OPP",13663,58,0,205,0,509,0,0,14,216,41,530,61
184,"GROTTKAU","OPP",7782,39,0,0,0,0,0,0,0,74,0,172,0
185,"GRUNBERG","LIE",7523,259,262,209,0,0,0,41,0,160,0,128,179
186,"FREISTADT","LIE",7942,94,56,0,0,0,0,90,46,40,0,0,0
187,"SAGAN","LIE",7623,328,298,0,0,174,0,0,0,60,0,250,120
188,"SPROTTAU","LIE",5346,0,0,0,0,0,0,0,0,0,0,105,22
189,"GLOGAU","LIE",10131,359,395,0,0,719,0,125,0,188,0,260,128
190,"LUBEN","LIE",4349,53,34,0,0,0,0,0,0,0,0,0,66
191,"BUNZLAU","LIE",9186,202,211,0,0,282,80,7,0,0,0,100,40
192,"GOLDBERG-HAINAU","LIE",6924,129,0,0,0,0,0,26,0,27,0,70,26
193,"LIEGNITZ LANDKREIS","LIE",9616,0,0,0,186,546,0,68,109,159,58,110,104
194,"JAUER","LIE",4679,155,0,0,0,0,0,0,0,72,0,88,0
195,"SCHONAU","LIE",3940,0,0,0,0,0,0,30,0,66,0,0,0
196,"BOLKENHAIN","LIE",5098,0,0,0,0,0,0,0,6,6,0,0,0
197,"LANDESHUT","LIE",6426,0,0,136,0,0,0,0,0,30,0,0,50
198,"HIRSCHBERG","LIE",8313,0,0,0,0,202,0,0,30,106,24,113,84
199,"LOWENBERG","LIE",9429,115,204,0,0,0,72,58,0,81,0,135,225
200,"LAUBAN","LIE",9338,76,50,0,0,133,0,14,0,0,0,80,22
201,"GORLITZ LANDKREIS","LIE",9114,535,787,523,0,267,50,105,11,154,59,154,136
202,"ROTHENBURG","LIE",9032,0,0,0,68,64,0,169,0,38,0,30,69
203,"HOYERSWERDA","LIE",5355,0,0,0,0,0,0,0,63,0,0,85,0
204,"OSTERBURG","MAG",7926,38,0,0,112,0,60,0,37,4,0,30,0
205,"SALZWEDEL","MAG",7829,190,267,0,0,255,0,21,0,0,0,15,172
206,"GARDELEGEN","MAG",8637,105,71,0,0,0,0,0,0,0,0,0,153
207,"STENDAL","MAG",7931,0,150,0,0,340,0,147,0,0,0,104,58
208,"JERICHOW I","MAG",10166,500,0,0,0,265,0,24,0,223,0,48,18
209,"JERICHOW II","MAG",9835,0,0,0,0,0,0,79,0,0,0,0,23
