id1816,kreiskey1800,county,rb,edu1816_pub_ele_sc,edu1816_pri_ele_sc,edu1816_pub_mim_sc,edu1816_pub_mif_sc,edu1816_pri_mim_sc,edu1816_pri_mif_sc,edu1816_pub_gel_sc
39,140,"Bunzlau","LIE",76,0,0,0,2,1,1
40,18,"Danzig, Stadtkreis","DAN",78,66,6,0,0,6,3
41,16,"Danzig, Landkreis","DAN",,0,0,0,0,0,0
42,259,"Daun","TRI",60,0,0,0,0,0,0
43,167,"Delitzsch","MER",92,0,0,0,0,0,0
44,80,"Demmin","STE",81,0,2,2,0,2,0
45,236,"Dinslaken","DUS",35,0,0,0,1,0,2
46,215,"Dortmund","ARN",44,0,7,6,0,0,1
47,91,"Dramburg","KOS",62,0,0,0,0,0,0
48,275,"Düren","AAC",70,4,3,2,0,0,1
49,240,"Düsseldorf, Stadtkreis","DUS",9,7,0,0,0,0,1
50,240,"Düsseldorf, Landkreis","DUS",39,0,0,0,0,0,0
51,173,"Eckartsberga","MER",75,0,0,0,0,0,0
52,241,"Elberfeld","DUS",31,6,0,0,2,2,2
53,185,"Erfurt","ERF",63,0,3,1,0,1,2
54,271,"Erkelenz","AAC",36,2,3,0,0,1,3
55,236,"Essen","DUS",44,0,0,0,0,0,0
56,278,"Eupen","AAC",16,1,1,1,0,0,0
57,131,"Falkenberg","OPP",36,0,0,0,0,0,0
58,117,"Frankenstein","BRE",44,0,0,0,0,0,0
59,71,"Frankfurt","FRA",44,5,1,2,1,0,1
60,99,"Franzburg","STR",28,34,1,1,0,3,2
61,46,"Fraustadt","POS",63,27,2,2,0,1,2
62,135,"Freistadt","LIE",62,0,0,0,0,0,0
63,68,"Friedeberg","FRA",68,0,0,0,0,0,0
64,94,"Fürstenthum","KOS",206,5,1,0,0,0,1
65,150,"Gardelegen","MAG",102,4,1,0,0,1,0
66,273,"Geilenkirchen","AAC",34,0,0,0,0,0,0
67,237,"Geldern","DUS",3,0,0,0,0,0,0
68,280,"Gemünd","AAC",34,0,0,0,0,0,0
69,224,"Gimborn","KOL",25,,,,,,
70,246,"Gladbach","DUS",37,0,0,0,0,0,0
71,28,"Glaz","BRE",101,1,0,0,0,0,1
72,138,"Glogau","LIE",104,6,2,0,3,1,2
73,48,"Gnesen","BRO",44,1,0,0,0,0,1
74,249,"St. Goar","KOB",43,0,0,0,0,0,0
75,146,"Görlitz","LIE",54,6,0,1,0,0,1
76,88,"Greifenberg","STE",129,0,1,0,0,1,0
77,83,"Greifenhagen","STE",43,0,1,0,0,1,0
78,100,"Greifswald","STR",37,35,2,0,2,3,2
79,245,"Grevenbroich","DUS",37,0,0,0,0,0,0
80,101,"Grimmen","STR",28,0,0,0,0,0,0
81,133,"Grottkau","OPP",44,0,0,0,0,0,0
82,134,"Grünberg","LIE",56,1,6,4,0,0,0
83,74,"Guben","FRA",53,3,0,0,0,4,1
84,107,"Guhrau","BRE",51,0,0,0,0,0,0
85,8,"Gumbinnen","GUM",113,0,3,0,1,0,1
86,217,"Hagen","ARN",37,0,0,0,0,0,0
87,141,"Hainau","LIE",64,0,1,0,0,0,0
88,161,"Halberstadt","MAG",11,0,2,3,1,0,1
89,158,"(Neu-)Haldensleben","MAG",64,0,1,0,0,0,0
90,169,"Halle","MER",14,4,3,2,1,1,2
91,202,"Halle","MIN",38,0,0,0,0,0,0
92,214,"Hamm","ARN",52,0,0,0,0,0,3
93,60,"(Ost-)Havelland","POT",84,0,1,0,0,0,0
94,61,"(West-)Havelland","POT",90,3,3,1,0,0,2
95,181,"Heiligenstadt","ERF",68,0,1,1,0,0,1
96,2,"Heilsberg","KON",88,0,0,0,0,0,0
97,272,"Heinsberg","AAC",36,0,0,0,0,0,0
98,201,"Herford","MIN",37,0,0,0,3,4,1
99,29,"Hirschberg","LIE",122,2,3,1,1,1,1
100,208,"Höxter","MIN",32,0,0,0,0,0,0
101,224,"Homburg","KOL",17,,,,,,
102,143,"Jauer","LIE",46,0,1,1,0,0,0
103,153,"1. Jerichow","MAG",106,5,1,1,0,0,0
104,152,"2. Jerichow","MAG",88,0,0,0,0,0,0
105,21,"Inowrazlaw","BRO",52,1,0,0,0,0,0
106,9,"Johannsburg","GUM",60,0,0,0,0,0,0
107,218,"Iserlohn","ARN",46,0,2,0,0,0,0
108,274,"Jülich","AAC",46,1,0,0,0,0,0
109,57,"Jüterbok","POT",96,0,2,0,0,0,0
110,77,"Kalau","FRA",81,0,0,0,0,0,0
111,154,"Kalbe","MAG",52,0,4,1,0,0,0
112,87,"Kammin","STE",88,0,0,0,0,0,0
113,238,"Kempen","DUS",34,0,0,0,0,0,0
114,234,"Kleve","DUS",58,3,0,0,0,0,0
115,248,"Koblenz","KOB",47,0,2,4,0,0,1
116,252,"Kochem","KOB",47,0,0,0,0,0,0
117,229,"Köln","KOL",53,0,0,0,3,4,1
118,65,"Königsberg","FRA",90,0,0,0,1,3,1
119,195,"Koesfeld","MUN",48,0,0,0,0,0,1
120,14,"Konitz","MAR",98,0,0,0,0,0,0
121,128,"Kosel","OPP",24,0,0,0,0,0,0
122,41,"Kosten","POS",14,0,0,0,0,0,0
123,78,"Kottbus","FRA",70,6,0,0,0,0,1
124,239,"Krefeld","DUS",28,7,0,0,3,0,0
125,120,"Kreutzburg","OPP",48,0,0,0,0,0,0
126,250,"Kreutznach","KOB",79,1,0,0,1,0,1
127,47,"Kröben","POS",28,0,1,1,1,1,0
128,23,"(Deutsch)Krone","MAR",100,0,0,0,0,0,0
129,75,"Krossen","FRA",85,0,1,0,0,0,0
130,33,"Krotoschin","POS",27,0,2,0,4,0,0
131,65,"Küstrin","FRA",51,1,3,0,1,1,0
132,12,"Kulm","MAR",62,0,1,0,0,2,1
133,69,"Landsberg","FRA",86,12,1,0,0,0,0
134,183,"Langensalza","ERF",60,2,2,3,3,0,0
135,145,"Lauban","LIE",48,7,1,1,0,0,1
136,35,"Lauenburg","KOS",108,0,0,0,0,0,0
137,70,"Lebus","FRA",70,0,0,0,0,0,0
138,231,"Lechenich","KOL",45,,,,,,
139,242,"Lennep","DUS",57,0,1,0,1,0,0
140,129,"Leobschütz","OPP",95,0,0,0,0,0,1
141,162,"Liebenwerda","MER",64,0,0,0,0,0,0
142,142,"Liegnitz","LIE",78,1,0,0,0,2,2
143,212,"Lippstadt","ARN",37,0,0,0,0,0,0
144,144,"Löwenberg","LIE",147,0,2,1,0,0,0
145,124,"Lublinitz","OPP",32,0,0,0,0,0,0
146,76,"Luckau","FRA",99,0,0,0,0,0,0
147,34,"Lübben","FRA",87,0,0,0,0,0,0
148,139,"Lüben","LIE",54,0,0,0,0,0,0
149,191,"Lüdingshausen","MUN",42,0,0,0,0,0,0
150,155,"Magdeburg","MAG",22,12,2,0,2,4,2
151,253,"Maien","KOB",55,0,0,0,0,0,0
152,281,"Malmedy","AAC",22,6,0,0,3,0,0
153,171,"Mansfeld, Gebirgskreis","MER",47,0,0,0,0,0,0
154,170,"Mansfeld, Seekreis","MER",75,0,1,1,0,0,2
155,11,"Marienburg","DAN",143,0,1,1,0,0,0
156,17,"Marienwerder","MAR",125,4,0,0,0,0,1
157,38,"Memel","KON",39,0,1,0,1,2,0
158,175,"Merseburg","MER",94,5,5,5,5,5,1
159,267,"Merzig","TRI",42,0,0,0,0,0,0
160,25,"Meseritz","POS",4,0,2,1,0,0,0
161,106,"Militsch","BRE",96,0,0,0,0,0,0
162,199,"Minden","MIN",71,14,0,0,0,0,1
163,3,"Mohrungen","KON",221,0,0,0,0,0,0
164,279,"Montjoie","AAC",24,0,0,0,0,0,0
165,182,"Mühlhausen","ERF",60,0,1,1,1,0,1
166,227,"Mühlheim","KOL",42,0,0,0,0,0,0
167,192,"Münster","MUN",37,0,0,0,0,0,1
168,116,"Münsterberg","BRE",26,0,0,0,0,0,0
169,102,"Namslau","BRE",50,0,0,0,0,0,0
170,86,"Naugard","STE",53,3,1,0,0,0,0
171,177,"Naumburg","MER",10,3,1,0,1,1,1
172,4,"Neidenburg","KON",204,0,0,0,0,0,0
173,132,"Neisse","OPP",74,0,0,0,0,0,1
174,110,"Neumarkt","BRE",77,0,0,0,0,0,0
175,244,"Neuss","DUS",33,5,1,1,0,0,0
176,130,"Neustadt","OPP",58,0,0,0,0,0,0
177,256,"Neuwied","KOB",63,2,1,0,2,2,0
178,8,"Niederung","GUM",40,0,0,0,0,0,0
179,115,"Nimptsch","BRE",34,0,0,0,0,0,0
180,179,"Nordhausen","ERF",73,0,1,1,0,0,0
181,42,"Obernik","POS",35,0,1,1,0,0,0
182,104,"Oels","BRE",105,1,0,0,0,1,1
183,112,"Ohlau","BRE",55,0,0,0,0,0,0
184,9,"Oletzko","GUM",131,0,0,0,0,0,0
185,122,"Oppeln","OPP",82,0,0,0,0,0,1
186,159,"Oschersleben","MAG",47,0,0,0,0,0,0
187,148,"Osterburg","MAG",114,0,0,0,0,0,0
188,37,"Osterwiek","MAG",61,0,0,0,0,0,1
189,270,"Ottweiler","TRI",37,0,0,0,0,0,0
190,205,"Paderborn","MIN",33,0,1,0,0,0,1
191,84,"Piritz","STE",117,0,0,0,0,0,0
192,31,"Pless","OPP",49,0,0,0,0,0,0
193,24,"Posen","POS",26,19,2,1,3,3,2
194,51,"Prenzlow","POT",118,2,2,0,8,4,1
195,63,"(Ost-)Priegnitz","POT",138,3,1,0,0,0,0
196,64,"(West-)Priegnitz","POT",131,0,0,0,0,0,0
197,260,"Prüm","TRI",62,0,0,0,0,0,0
198,174,"Querfurt","MER",82,0,0,0,0,0,0
199,200,"Rahden","MIN",38,0,0,0,0,0,0
200,82,"Randow","STE",122,0,0,0,0,0,0
201,5,"Rastenburg","KON",169,0,0,0,0,0,0
202,127,"Ratibor","OPP",54,0,0,0,0,1,0
203,198,"Recklinghausen","MUN",43,0,0,0,0,0,0
204,235,"Rees","DUS",31,3,3,0,2,0,2
205,89,"Regenwalde","STE",50,0,0,0,0,0,0
206,118,"Reichenbach","BRE",50,0,2,0,0,0,0
207,232,"Rheinbach","KOL",48,,,,,,
208,237,"Rheinberg","DUS",55,0,0,0,0,0,0
209,121,"Rosenberg","OPP",45,0,0,0,0,0,0
210,147,"Rothenburg","LIE",54,0,0,0,0,0,0
211,96,"Rummelsburg","KOS",52,0,0,0,0,0,0
212,62,"Ruppin","POT",125,6,0,0,0,1,1
213,168,"Saalkreis","MER",81,0,0,0,0,0,0
214,269,"Saarbrücken","TRI",16,0,1,0,1,0,0
215,266,"Saarburg","TRI",48,0,0,0,0,0,0
216,268,"Saarlouis","TRI",64,1,1,0,0,0,0
217,85,"Saazig","STE",134,2,1,1,0,4,1
218,136,"Sagan","LIE",82,2,3,2,6,5,1
219,149,"Salzwedel","MAG",124,5,0,0,0,1,1
220,172,"Sangerhausen","MER",62,0,1,0,0,0,0
221,90,"Schiefelbein","KOS",35,0,0,0,0,0,0
222,43,"Schildberg","POS",30,0,0,0,0,0,0
223,95,"Schlawe","KOS",144,0,1,0,0,0,0
224,187,"Schleusingen","ERF",35,0,1,2,0,0,0
225,40,"Schrimm","POS",17,0,0,0,0,0,0
226,39,"Schrodda","POS",7,0,0,0,0,0,0
227,30,"Schweidnitz","BRE",158,0,0,1,0,1,1
228,164,"Schweinitz","MER",79,0,0,0,0,0,0
229,226,"Siegburg","KOL",36,,,,,,
230,221,"Siegen","ARN",106,0,0,0,0,0,2
231,247,"Simmern","KOB",83,0,0,0,0,0,0
232,213,"Soest","ARN",50,0,2,0,0,0,1
233,66,"Soldin","FRA",66,1,1,1,1,0,0
234,243,"Solingen","DUS",34,0,0,0,0,0,0
235,79,"Sorau","FRA",88,0,0,0,0,0,1
236,36,"Spremberg","FRA",55,0,0,0,0,0,0
237,137,"Sprottau","LIE",36,0,0,0,0,0,0
238,8,"Stallupöhnen","GUM",138,0,0,0,0,0,0
239,15,"Stargard","DAN",29,0,0,0,0,0,0
240,108,"Steinau","BRE",38,0,0,0,0,0,0
241,194,"Steinfurt","MUN",41,0,0,0,0,0,0
242,151,"Stendal","MAG",88,3,0,0,0,2,1
243,72,"Sternberg","FRA",109,0,0,0,0,0,0
244,92,"(Neu-)Stettin","KOS",90,0,0,0,0,0,0
245,97,"Stolp","KOS",172,0,3,2,1,1,0
246,114,"Strehlen","BRE",34,0,0,0,0,0,0
247,123,"(Gross-)Strehlitz","OPP",26,0,0,0,0,0,0
248,119,"Striegau","BRE",45,0,0,0,0,0,0
249,188,"Teklenburg","MUN",49,0,0,0,0,0,0
250,56,"Teltow","POT",164,0,1,1,0,1,0
251,52,"Templin","POT",86,0,0,0,0,0,0
252,12,"Thorn","MAR",43,8,0,0,1,2,1
253,8,"Tilsit","GUM",79,1,0,0,0,1,1
254,163,"Torgau","MER",72,0,1,1,0,0,1
255,125,"Tost","OPP",56,0,0,0,0,0,1
256,105,"Trebnitz","BRE",87,0,0,0,0,0,0
257,263,"Trier, Stadtkreis","TRI",10,3,0,0,0,0,2
258,264,"Trier, Landkreis","TRI",81,0,0,0,0,0,0
259,23,"Tscharnikow","BRO",74,0,0,0,0,0,0
260,226,"Ukerath","KOL",33,,,,,,
261,81,"Usedom","STE",51,4,1,0,3,0,0
262,225,"Waldbröl","KOL",16,,,,,,
263,156,"Wanzleben","MAG",55,0,0,0,0,0,0
264,207,"Warburg","MIN",58,0,0,0,0,0,0
265,189,"Warendorf","MUN",31,0,2,0,1,1,1
266,103,"Wartenberg","BRE",43,0,0,0,0,0,0
267,176,"Weissenfels","MER",93,0,7,5,1,0,0
268,184,"Weissensee","ERF",32,0,0,0,0,0,0
269,258,"Wetzlar","KOB",27,0,3,2,0,0,0
270,204,"Wiedenbrück","MIN",49,0,0,0,0,0,0
271,223,"Wipperfürth","KOL",20,,,,,,
272,22,"Wirlitz","BRO",69,0,0,0,0,0,0
273,165,"Wittenberg","MER",60,0,1,1,0,0,0
274,222,"Wittgenstein","ARN",63,0,0,0,0,0,0
275,262,"Wittlich","TRI",59,0,0,0,0,0,0
276,109,"Wohlau","BRE",70,0,0,0,0,0,0
277,157,"Wollmirstädt","MAG",60,0,0,0,0,0,0
278,49,"Wongrowiz","BRO",12,0,0,0,0,0,0
279,180,"Worbis","ERF",53,0,0,0,0,0,0
280,178,"Zeiz","MER",42,2,0,1,0,0,1
281,251,"Zell","KOB",57,0,0,0,0,0,0
282,186,"Ziegenrück","ERF",19,0,0,0,0,0,0
283,73,"Züllichau","FRA",58,2,1,0,0,1,1
284,220,"Bilstein","ARN",51,0,0,0,0,0,0
285,280,"Blankenheim","AAC",35,0,0,0,0,0,0
286,1,"Brandenburg","KON",188,0,0,0,0,0,0
287,258,"Braunfels","KOB",54,0,0,0,0,0,0
288,11,"Christburg","MAR",55,0,0,0,0,0,0
289,16,"Dirschau","DAN",58,0,0,0,0,0,0
290,22,"Kammin","MAR",63,0,0,0,0,0,0
291,256,"Linz","KOB",19,0,0,0,0,0,0
292,210,"Medebach","ARN",39,0,0,0,0,0,0
293,38,"Memel","GUM",41,0,0,0,0,0,0
294,241,"Mettmann","DUS",39,0,0,0,0,0,0
295,13,"Michelau","MAR",30,0,0,0,0,0,0
296,15,"Neuenburg","MAR",39,0,0,0,0,0,0
297,243,"Opladen","DUS",25,0,0,0,0,0,0
298,89,"Osten","STE",21,0,0,0,0,0,0
299,26,"Peisern","POS",3,0,0,0,0,0,0
300,10,"Rhein","GUM",116,0,0,0,0,0,0
301,6,"Schaken","KON",139,0,0,0,0,0,0
302,7,"Tapiau","KON",109,0,0,0,0,0,0
303,281,"St. Vith","AAC",25,0,0,0,0,0,0
304,276,"Aachen","AAC",26,0,0,0,0,0,0
305,228,"Köln","KOL",54,,,,,,
306,193,"Münster","MUN",14,0,0,0,0,0,0
307,59,"Potsdam","POT",8,14,1,1,2,2,1
308,50,"Berlin","POT",66,55,2,0,30,47,6
