kreiskey1886,county,rb,yie1886_hec_wwh_gra,yie1886_hec_wwh_str,yie1886_hec_swh_gra,yie1886_hec_swh_str,yie1886_hec_wsp_gra,yie1886_hec_wsp_str,yie1886_hec_ssp_gra,yie1886_hec_ssp_str,yie1886_hec_wei_gra,yie1886_hec_wei_str,yie1886_hec_sei_gra,yie1886_hec_sei_str,yie1886_hec_wry_gra,yie1886_hec_wry_str,yie1886_hec_sry_gra,yie1886_hec_sry_str,yie1886_hec_wba_gra,yie1886_hec_wba_str,yie1886_hec_sba_gra,yie1886_hec_sba_str,yie1886_hec_oat_gra,yie1886_hec_oat_str,yie1886_hec_buc_gra,yie1886_hec_buc_str,yie1886_hec_pea_fru,yie1886_hec_pea_str,yie1886_hec_fbe_fru,yie1886_hec_fbe_str,yie1886_hec_vet_fru,yie1886_hec_vet_str,yie1886_hec_lup_fru,yie1886_hec_lup_str,yie1886_hec_pot_tub,yie1886_hec_pot_dis,yie1886_hec_bee_roo,yie1886_hec_car_roo,yie1886_hec_tur_roo,yie1886_hec_rut_roo,yie1886_hec_wra_gra,yie1886_hec_sra_gra,yie1886_hec_hop_con,yie1886_hec_clo_hay,yie1886_hec_luc_hay,yie1886_hec_sai_hay,yie1886_hec_oth_hay,yie1886_hec_clo_see,yie1886_hec_hay_tot,yie1886_hec_whi_hec,yie1886_tot_wwh_gra,yie1886_tot_wwh_str,yie1886_tot_swh_gra,yie1886_tot_swh_str,yie1886_tot_wsp_gra,yie1886_tot_wsp_str,yie1886_tot_ssp_gra,yie1886_tot_ssp_str,yie1886_tot_wei_gra,yie1886_tot_wei_str,yie1886_tot_sei_gra,yie1886_tot_sei_str,yie1886_tot_wry_gra,yie1886_tot_wry_str,yie1886_tot_sry_gra,yie1886_tot_sry_str,yie1886_tot_wba_gra,yie1886_tot_wba_str,yie1886_tot_sba_gra,yie1886_tot_sba_str,yie1886_tot_oat_gra,yie1886_tot_oat_str,yie1886_tot_buc_gra,yie1886_tot_buc_str,yie1886_tot_pea_fru,yie1886_tot_pea_str,yie1886_tot_fbe_fru,yie1886_tot_fbe_str,yie1886_tot_vet_fru,yie1886_tot_vet_str,yie1886_tot_lup_fru,yie1886_tot_lup_str,yie1886_tot_pot_tub,yie1886_tot_pot_dis,yie1886_tot_bee_roo,yie1886_tot_car_roo,yie1886_tot_tur_roo,yie1886_tot_rut_roo,yie1886_tot_wra_gra,yie1886_tot_sra_gra,yie1886_tot_hop_con,yie1886_tot_clo_hay,yie1886_tot_luc_hay,yie1886_tot_sai_hay,yie1886_tot_oth_hay,yie1886_tot_clo_see,yie1886_tot_hay_tot,yie1886_tot_whi_hec,_merge
470,"DUSSELDORF","DUS",16.95,25.29,15,20,0,0,0,0,0,0,0,0,15.9,27.03,0,0,20.36,24.18,15,25,19.89,22.91,0,0,14.75,0,18.92,0,0,0,0,0,140.34,0,244.32,84,15.89,213.87,0,0,0,34.94,50.65,0,24.14,0,17.56,0,2356,3515,315,420,0,0,0,0,0,0,0,0,8920,15164,0,0,244,290,255,425,8394,9668,0,0,59,0,208,0,0,0,0,0,99782,0,22966,2352,3750,2566,0,0,0,8910,4964,0,266,0,5619,0,"matched (3)"
471,"DUSSELDORF","DUS",18.31,23.47,14.96,18.56,0,0,0,0,0,0,0,0,14.62,22.08,18,39.8,25.6,14.3,13.91,16.17,20.4,21.89,12.96,12.33,14.17,10.84,11.7,7.8,11.87,19.27,7.2,10.13,124.21,0,249.39,81.84,47.62,154.45,13.36,0,0,33.55,36.71,30.9,23.54,1.92,30.37,0,50173,64312,4102,5089,0,0,0,0,0,0,0,0,69008,104220,1944,4298,684,382,2874,3341,83522,89622,6345,6037,553,423,53,35,250,1844,274,385,230931,2435,130955,8929,57406,11661,5784,0,0,94037,17624,1508,6019,95,96531,0,"matched (3)"
472,"ELBERFELD","DUS",20,22,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,15,13,22,26,0,0,0,0,0,0,0,50,0,0,150,0,200,0,120,240,0,0,0,40,0,0,0,0,40,0,150,165,0,0,0,0,0,0,0,0,0,0,1905,2930,0,0,0,0,45,39,4510,5330,0,0,0,0,0,0,0,600,0,0,11550,720,4000,0,720,1200,0,0,0,3500,0,0,0,0,12800,0,"matched (3)"
473,"BARMEN","DUS",15.5,24,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,11.5,14.5,19.5,25.5,0,0,0,0,0,0,0,0,0,0,140,0,118,0,45,0,0,0,0,45,0,0,0,0,60,0,31,48,0,0,0,0,0,0,0,0,0,0,1035,1265,0,0,0,0,58,73,3686,4820,0,0,0,0,0,0,0,0,0,0,26600,5320,3658,0,2160,0,0,0,0,1800,0,0,0,0,9600,0,"matched (3)"
474,"METTMANN","DUS",15.06,22.31,12.2,18.9,0,0,0,0,0,0,0,0,11.54,17.79,2,3,6,4,13.58,12.42,15.73,19.66,6.79,8.97,7.73,8.63,0,0,12,17.5,0,0,98.29,0,181.21,50.81,66.46,150.56,6.36,0,0,25.93,31.9,0,17.3,0,26.29,0,52248,37403,190,295,0,0,0,0,0,0,0,0,37649,58040,1,2,16,11,1222,1118,49943,62421,299,395,688,768,0,0,388,840,0,0,103912,11529,30208,1555,17319,3794,759,0,0,74479,1193,0,4377,0,47814,0,"matched (3)"
475,"LENNEP","DUS",12,16,0,0,0,0,0,0,0,0,0,0,13.05,19.13,0,0,0,0,7.67,9.8,15.52,20.88,7,10,10.4,15.75,20,18,3,21,0,0,112.78,0,104.6,101.95,46.36,123.58,0,0,0,27.68,0,0,28.73,0,33.93,0,8,11,0,0,0,0,0,0,0,0,0,0,19545,28651,0,0,0,0,34,43,44726,60172,233,333,12,19,10,9,3,21,0,0,171834,13658,12447,5821,3083,14545,0,0,0,39070,0,0,2405,0,78412,0,"matched (3)"
476,"SOLINGEN","DUS",13.65,18.99,9.64,12.33,0,0,0,0,0,0,0,0,12.03,16.38,9,16,14,14,10.9,9,15.8,17.74,10.66,9.07,12.11,11.29,16.25,14,14.29,15.57,9,14,107.55,0,160.43,95.44,30.5,133.33,9.33,0,0,30.95,31.47,20.25,24.25,1.53,28.45,0,16704,22381,1413,1808,0,0,0,0,0,0,0,0,55889,76098,45,80,378,378,208,180,54259,61024,2943,2504,222,207,377,325,512,1557,75,116,194612,2979,51177,19718,39269,19560,219,0,0,62801,10074,10,7025,30,59284,0,"matched (3)"
477,"NEUSS","DUS",17.03,22.94,14.37,18.11,0,0,0,0,0,0,0,0,14.4,23.24,8.26,13.68,21.31,21.78,14.49,16.11,22.34,23.93,12.66,15.07,13.7,9.35,13,17,15.06,17.73,14.15,11.4,118.11,0,281.18,207.99,72.09,227.8,15.08,0,0,28.39,37.89,0,24.43,2.6,23.45,0,45828,61732,15357,19354,0,0,0,0,0,0,0,0,63837,103025,448,741,3228,3300,1829,2033,77824,83363,3447,4104,237,162,205,269,377,2383,190,153,251893,25051,174444,38707,101229,32051,1546,0,0,77587,52262,0,4112,310,46722,0,"matched (3)"
478,"GREVENBROICH","DUS",18.36,20.92,14.26,16.44,0,0,0,0,0,0,0,0,14.94,19.85,0,0,21.5,18.35,14.35,11.5,21.9,18.97,10.88,12.44,11.4,12.5,15.9,12.5,13.03,10.33,0,0,128.45,0,292.77,190.33,70.88,197.5,10.91,7,0,33.37,37.69,0,28.8,1.34,21.1,0,57395,65398,25997,29972,0,0,0,0,0,0,0,0,51707,68701,0,0,4276,3650,1172,940,70700,61241,1914,2188,220,241,466,366,586,729,0,0,175129,4611,132683,28626,86559,16432,3160,2,0,110979,10610,0,3197,136,19766,0,"matched (3)"
479,"GLADBACH","DUS",15.54,18.36,12.77,14.6,0,0,0,0,0,0,0,0,13.66,18.65,16,12,13.12,10.57,14.68,12.05,21.62,21.71,11.71,9.79,11.44,8.38,7,12.5,0,24.2,0,0,123.14,0,253.12,238.99,61.69,151.2,13.14,0,16,40.7,49.17,0,34.8,1.78,27.28,0,34851,41057,3486,3986,0,0,0,0,0,0,0,0,52666,71905,160,120,96,77,291,239,56558,56793,1904,1592,160,117,13,24,0,569,0,0,226676,5554,78442,61301,90863,9163,552,0,112,65336,811,0,1656,68,70606,0,"matched (3)"
