kreiskey1849,county,rb,rel1849_pro_religious_teach,edu1849_pub_ele_tea_m,edu1849_pub_ele_tea_help,edu1849_pub_ele_tea_f,edu1849_pub_mim_tea_m,edu1849_pub_mim_tea_help,edu1849_pub_mif_tea_m,edu1849_pub_mif_tea_f,edu1849_pub_mif_tea_help_m,edu1849_pub_mif_tea_help_f,edu1849_pub_high_tea_m,edu1849_pub_high_tea_help,edu1849_pub_pgy_tea_m,edu1849_pub_pgy_tea_help,edu1849_pub_gym_tea_m,edu1849_pub_gym_tea_help
55,"Schlochau","MAR",0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Flatow","MAR",0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Deutsch-Crone","MAR",2,111,7,0,0,0,0,0,0,0,0,0,6,0,0,0
58,"Wreschen","POS",0,55,0,39,1,0,0,0,0,0,0,0,0,0,0,0
59,"Pleschen","POS",0,82,0,59,0,0,0,0,0,0,0,0,0,0,0,0
60,"Schroda","POS",0,79,0,29,1,0,0,0,0,0,0,0,0,0,0,0
61,"Schrimm","POS",0,82,0,16,0,0,0,0,0,0,0,0,0,0,0,0
62,"Kosten","POS",0,88,1,64,0,0,0,0,0,0,0,0,0,0,0,0
63,"Buk","POS",0,84,4,33,0,0,0,0,0,0,0,0,0,0,0,0
64,"Posen","POS",0,88,3,52,0,0,8,2,4,4,3,2,0,0,25,16
65,"Obornik","POS",0,81,1,41,1,0,1,1,0,0,0,0,0,0,0,0
66,"Samter","POS",0,68,1,30,0,0,0,0,0,0,0,0,0,0,0,0
67,"Birnbaum","POS",0,83,5,15,1,0,2,1,0,0,0,0,0,0,0,0
68,"Meseritz","POS",0,86,2,43,0,0,0,0,0,0,9,2,0,0,0,0
69,"Schildberg","POS",0,73,3,44,0,0,0,0,0,0,0,0,0,0,0,0
70,"Bomst","POS",1,103,0,14,0,0,0,0,0,0,0,0,0,0,0,0
71,"Fraustadt","POS",0,97,1,27,0,0,0,0,0,0,5,0,0,0,8,7
72,"Kröben","POS",0,80,4,46,13,0,4,0,0,0,0,0,0,0,0,0
73,"Krotoschin","POS",0,90,2,45,0,0,0,1,0,0,0,0,8,1,0,0
74,"Adelnau","POS",0,65,2,42,0,0,1,0,0,2,0,0,0,0,10,2
75,"Tscharnikow","BRO",0,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,"Chodezien","BRO",0,94,5,1,2,0,0,1,1,0,0,0,0,0,0,0
77,"Wirsitz","BRO",0,91,4,1,0,0,0,1,0,0,0,0,0,0,0,0
78,"Bromberg","BRO",0,80,12,1,6,0,6,2,0,0,0,0,0,0,10,3
79,"Schubin","BRO",0,83,2,0,1,0,1,1,0,0,0,0,0,0,0,0
80,"Inowrazlaw","BRO",1,79,4,0,2,0,0,0,0,0,0,0,0,0,0,0
81,"Mogilno","BRO",0,52,0,2,0,0,0,0,0,0,0,0,0,0,10,2
82,"Gnesen","BRO",1,78,1,4,0,0,0,2,0,0,0,0,0,0,0,0
83,"Wongrowiz","BRO",0,80,0,1,1,0,0,0,0,0,0,0,0,0,0,0
84,"Haupt- und Residenzstadt Berlin","POT",4,235,172,101,55,113,44,53,274,123,46,52,28,24,87,55
85,"Prenzlau","POT",0,132,2,3,5,0,8,3,0,1,0,0,0,0,7,4
86,"Templin","POT",2,91,0,1,9,0,7,2,0,0,0,0,0,0,0,0
87,"Angermünde","POT",0,96,9,1,19,0,13,5,0,0,0,0,0,0,0,0
88,"Ober-Barnim","POT",1,115,0,3,18,0,15,4,0,0,0,0,0,0,0,0
89,"Nieder-Barnim","POT",0,135,14,4,11,0,9,2,0,0,0,0,0,0,0,0
90,"Beeskow-Storkow","POT",0,75,0,0,7,0,5,1,0,0,0,0,0,0,0,0
91,"Teltow","POT",0,158,1,6,8,2,5,2,2,1,0,0,2,5,0,0
92,"Jüterbock-Luckenwalde","POT",0,108,2,0,14,0,10,1,0,0,0,0,0,0,0,0
93,"Zauch-Belzig","POT",0,132,2,1,13,0,13,1,0,0,0,0,0,0,0,0
94,"Potsdam","POT",1,52,0,15,15,11,6,2,0,1,8,16,0,0,12,6
95,"Ost-Havelland","POT",0,90,3,4,15,0,12,5,0,0,0,0,0,0,0,0
96,"West-Havelland","POT",1,109,3,9,15,1,10,5,0,0,0,0,0,0,9,1
97,"Ruppin","POT",0,157,1,2,8,0,9,4,0,0,0,0,0,0,9,2
98,"Ost-Priegnitz","POT",1,147,0,1,14,0,11,3,0,0,0,0,0,0,0,0
99,"West-Priegnitz","POT",0,141,4,5,14,0,13,3,0,0,5,0,0,0,0,0
100,"Königsberg","FRA",0,164,1,7,1,0,7,1,1,2,8,0,0,0,9,0
101,"Soldin","FRA",0,89,1,0,3,0,0,0,0,0,0,0,0,0,0,0
102,"Arnswalde","FRA",0,68,2,1,4,0,4,1,0,0,0,0,0,0,0,0
103,"Friedeberg","FRA",0,92,0,0,3,0,0,0,0,0,0,0,0,0,0,0
104,"Landsberg","FRA",0,112,5,0,0,0,0,0,0,0,7,2,0,0,0,0
105,"Lebus","FRA",0,151,0,1,6,1,0,0,0,0,0,0,0,0,0,0
106,"Frankfurt","FRA",1,38,1,6,6,1,8,8,5,0,11,0,0,0,8,5
107,"Sternberg","FRA",0,153,0,1,8,0,7,2,0,0,0,0,0,0,0,0
108,"Züllichau","FRA",0,70,3,0,4,0,0,1,4,0,5,0,0,0,11,3
109,"Guben","FRA",0,74,9,1,0,0,0,0,0,0,0,0,0,0,10,0
110,"Crossen","FRA",0,91,4,0,2,0,7,1,0,0,4,0,0,0,0,0
111,"Lübben","FRA",0,57,2,2,2,0,3,0,0,0,6,0,0,0,0,0
112,"Luckau","FRA",0,118,3,0,2,0,5,2,0,0,0,0,0,0,10,0
113,"Kalau","FRA",0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"Cottbus","FRA",0,101,1,1,0,0,0,0,0,0,0,0,0,0,7,2
115,"Sorau","FRA",0,84,3,0,6,0,5,0,0,0,0,0,0,0,6,3
116,"Spremberg","FRA",0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"Demmin","STE",0,113,1,3,9,1,10,2,1,1,0,0,6,2,0,0
118,"Anclam","STE",0,68,0,2,5,0,6,2,0,0,0,0,0,0,8,5
119,"Usedom-Wollin","STE",0,66,1,3,8,0,7,2,0,0,0,0,0,0,0,0
120,"Uckermünde","STE",0,77,2,4,6,2,4,1,2,0,0,0,0,0,0,0
121,"Randow","STE",0,179,9,16,19,5,19,15,4,0,14,4,0,0,14,6
122,"Greiffenhagen","STE",0,87,0,1,8,0,6,1,0,0,0,0,0,0,0,0
123,"Pyritz","STE",2,99,1,1,5,0,4,1,0,0,0,0,0,0,0,0
124,"Saazig","STE",1,120,0,2,11,0,11,1,0,3,0,0,0,0,6,4
125,"Naugardt","STE",4,118,1,0,4,0,3,1,1,0,0,0,0,0,0,0
126,"Cammin","STE",0,122,1,2,3,1,1,0,0,1,0,0,0,0,0,0
127,"Greiffenberg","STE",0,91,5,0,5,0,4,1,1,2,6,1,0,0,0,0
128,"Regenwalde","STE",2,105,3,2,2,0,2,0,0,0,0,0,0,0,0,0
129,"Schiefelbein","KOS",0,44,1,0,1,0,1,0,0,0,0,0,0,0,0,0
130,"Dramburg","KOS",0,58,2,0,12,1,6,0,0,0,0,0,0,0,0,0
131,"Neustettin","KOS",1,128,8,1,0,0,0,2,2,0,0,0,0,0,8,1
132,"Belgard","KOS",0,85,1,0,8,0,7,0,0,1,0,0,0,0,0,0
133,"Fürstenthum","KOS",0,228,15,8,12,0,10,4,0,0,8,2,0,0,10,0
134,"Schlawe","KOS",2,150,28,1,14,0,1,1,0,0,0,0,0,0,0,0
135,"Rummelsburg","KOS",0,53,2,0,3,0,2,0,0,1,7,0,0,0,0,0
136,"Stolpe","KOS",0,159,11,2,0,0,1,2,4,0,0,0,0,0,0,0
137,"Lauenburg","KOS",1,90,1,0,1,0,1,0,0,0,0,0,0,0,0,0
138,"Bütow","KOS",0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0
139,"Rügen","STR",0,84,1,8,5,2,0,2,0,1,0,0,0,0,9,2
140,"Franzburg","STR",2,123,3,12,9,0,1,0,0,0,0,0,0,0,11,4
141,"Greifswald","STR",1,94,2,9,10,1,3,3,7,7,2,0,0,0,8,5
142,"Grimmen","STR",0,92,0,4,8,0,3,3,0,0,0,0,0,0,0,0
143,"Namslau","BRE",0,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"Wartenberg","BRE",2,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"Oels","BRE",0,104,16,0,0,0,1,0,0,0,0,0,0,0,9,0
146,"Trebnitz","BRE",2,88,11,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"Militsch","BRE",2,107,6,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"Gurau","BRE",0,67,5,0,1,0,0,0,0,0,0,0,0,0,0,0
149,"Steinau","BRE",0,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"Wolau","BRE",0,81,11,0,7,1,4,0,0,1,0,0,0,0,0,0
151,"Neumarkt","BRE",0,88,17,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"Breslau","BRE",0,144,37,32,0,0,4,1,6,6,20,24,0,0,50,21
153,"Olau","BRE",1,66,20,0,4,0,0,0,0,0,0,0,0,0,0,0
154,"Brieg","BRE",0,82,11,5,0,0,0,0,0,0,0,0,0,0,10,2
155,"Strehlen","BRE",0,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"Nimtsch","BRE",0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"Münsterberg","BRE",0,28,20,0,7,5,0,0,0,0,0,0,0,0,0,0
158,"Frankenstein","BRE",0,55,28,0,1,0,0,0,0,0,0,0,0,0,0,0
159,"Reichenbach","BRE",1,51,23,2,14,3,1,12,1,8,0,0,0,0,0,0
160,"Schweidnitz","BRE",0,101,30,15,3,0,2,3,4,3,0,0,0,0,8,5
161,"Striegau","BRE",0,44,10,1,0,0,0,0,0,0,0,0,0,0,0,0
162,"Waldenburg","BRE",0,62,25,1,1,0,0,1,0,0,0,0,0,0,0,0
163,"Glatz","BRE",0,78,30,0,0,0,0,0,0,0,0,0,0,0,8,4
164,"Habelschwerdt","BRE",0,61,23,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"Creutzburg","OPP",0,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"Rosenberg","OPP",0,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"Oppeln","OPP",0,106,28,0,5,0,0,0,0,0,0,0,0,0,8,3
168,"Gross-Strehlitz","OPP",1,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0
169,"Lublinitz","OPP",0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"Tost","OPP",0,65,17,0,0,0,1,0,1,1,0,0,0,0,9,5
171,"Beuthen","OPP",0,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"Pless","OPP",0,59,7,0,4,0,0,0,0,0,0,0,0,0,0,0
173,"Riebnick","OPP",0,61,13,0,1,0,0,0,0,0,0,0,0,0,0,0
174,"Ratibor","OPP",0,96,37,0,0,0,1,1,2,2,0,0,0,0,8,4
175,"Cosel","OPP",0,57,18,0,2,1,0,0,0,0,0,0,0,0,0,0
176,"Leobschütz","OPP",0,86,49,3,1,0,0,1,0,0,0,0,0,0,8,3
177,"Neustadt","OPP",1,83,34,0,1,5,0,0,0,0,0,0,0,0,0,0
178,"Falkenberg","OPP",0,58,16,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"Neisse","OPP",0,91,50,0,0,0,0,2,0,2,3,5,0,0,10,5
180,"Grotkau","OPP",0,49,30,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"Grünberg","LIE",1,73,11,0,5,1,4,0,0,0,0,0,0,0,0,0
182,"Freistadt","LIE",1,70,13,0,3,0,3,8,1,4,0,0,0,0,0,0
183,"Sagan","LIE",2,80,15,0,4,0,4,1,0,0,0,0,0,0,8,3
184,"Sprottau","LIE",0,51,12,0,2,0,1,0,0,0,0,0,0,0,0,0
185,"Glogau","LIE",0,107,8,3,5,0,3,0,0,0,0,0,0,0,16,5
186,"Lüben","LIE",0,47,8,0,1,0,1,0,0,0,0,0,0,0,0,0
187,"Bunzlau","LIE",0,65,29,0,7,2,4,12,0,2,7,2,0,0,0,0
188,"Hainau-Goldberg","LIE",0,63,18,0,7,0,2,0,0,0,0,0,0,0,0,0
189,"Liegnitz","LIE",0,83,20,1,4,3,2,3,10,7,5,14,0,0,17,9
190,"Jauer","LIE",0,46,8,0,3,1,1,0,0,0,0,0,0,0,0,0
191,"Schönau","LIE",0,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"Bolkenhain","LIE",0,41,20,0,1,0,0,0,0,0,0,0,0,0,0,0
193,"Landshut","LIE",0,60,17,0,0,0,0,0,0,0,4,0,0,0,0,0
194,"Hirschberg","LIE",0,77,30,0,1,0,1,1,6,3,0,0,0,0,6,6
195,"Löwenberg","LIE",0,85,41,2,2,0,4,0,0,4,0,0,0,0,0,0
196,"Lauban","LIE",3,73,28,0,3,0,0,0,0,0,0,0,0,0,7,3
197,"Görlitz","LIE",0,75,11,0,2,0,6,1,2,2,7,4,0,0,6,3
198,"Rothenburg","LIE",0,61,10,0,2,0,0,2,0,0,5,0,7,7,0,0
199,"Hoyerswerda","LIE",0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"Osterburg","MAG",0,120,9,3,3,0,0,0,0,0,0,0,0,0,0,0
201,"Salzwedel","MAG",0,162,1,2,0,0,0,0,0,0,0,0,0,0,8,1
202,"Gardelegen","MAG",0,119,2,3,4,0,0,0,0,0,0,0,0,0,0,0
203,"Stendal","MAG",0,102,13,4,5,1,6,5,0,0,0,0,0,0,8,1
204,"Jerichow II","MAG",0,103,2,1,1,0,1,1,0,0,0,0,0,0,0,0
205,"Jerichow I","MAG",1,132,3,7,6,0,6,4,0,0,9,0,0,0,0,0
206,"Calbe","MAG",1,96,0,3,9,3,4,13,1,4,0,0,0,0,0,0
207,"Magdeburg","MAG",1,76,7,21,17,4,26,19,0,1,10,2,0,0,23,9
208,"Wanzleben","MAG",1,82,3,0,4,0,0,0,0,0,0,0,0,0,0,0
209,"Wollmirstädt","MAG",0,72,1,0,1,0,0,0,0,0,0,0,0,0,0,0
210,"Neuhaldensleben","MAG",0,74,4,2,3,0,1,1,0,0,0,0,0,0,0,0
211,"Oschersleben","MAG",0,64,0,0,10,0,0,0,0,0,0,0,0,0,0,0
212,"Aschersleben","MAG",0,74,1,3,10,1,7,3,0,0,6,5,0,0,8,4
213,"Halberstadt","MAG",0,85,2,6,8,0,4,2,1,1,7,2,0,0,9,3
214,"Grafschaft Wernigerode","MAG",1,22,0,1,5,0,4,2,0,1,0,0,7,1,0,0
215,"Liebenwerda","MER",0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0
216,"Torgau","MER",0,110,3,0,6,0,6,2,0,0,0,0,0,0,9,1
217,"Schweinitz","MER",0,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0
218,"Wittenberg","MER",0,95,7,8,7,1,5,0,0,2,0,0,0,0,7,0
219,"Bitterfeld","MER",0,88,3,0,8,0,4,0,0,0,0,0,0,0,0,0
220,"Delitsch","MER",0,113,11,0,4,0,3,0,0,0,0,0,0,0,0,0
221,"Saal-Kreis","MER",0,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Halle","MER",1,19,13,5,17,26,19,3,12,12,9,14,0,0,28,9
223,"Seekreis Mannsfeld","MER",1,96,6,1,0,0,0,0,0,0,0,0,0,0,9,1
224,"Gebirgskreis Mannsfeld","MER",0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,"Sangerhausen","MER",0,95,3,0,6,1,6,1,1,0,0,0,0,0,0,0
226,"Eckartsberga","MER",0,99,0,2,0,0,0,0,0,0,0,0,2,2,0,0
227,"Querfurt","MER",0,100,6,0,5,0,3,1,0,0,0,0,0,0,7,2
228,"Merseburg","MER",0,112,6,1,14,0,6,1,0,0,0,0,0,0,7,3
229,"Weissenfels","MER",0,113,11,2,2,0,0,0,0,0,0,0,0,0,0,0
230,"Naumburg","MER",1,35,0,3,7,0,10,3,0,2,0,0,0,0,23,6
231,"Zeitz","MER",0,51,2,1,6,1,8,2,1,0,0,0,0,0,9,1
232,"Nordhausen","ERF",1,108,0,5,0,0,5,2,2,0,6,2,0,0,10,0
233,"Worbis","ERF",0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"Heiligenstadt","ERF",0,77,3,2,0,0,4,0,0,1,0,0,0,0,7,4
235,"Mühlhausen","ERF",1,68,0,6,8,2,6,1,2,0,0,0,0,0,8,3
236,"Langensalza","ERF",0,62,0,1,11,0,10,0,1,0,0,0,0,0,0,0
237,"Weissensee","ERF",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"Erfurt","ERF",0,108,5,15,0,0,8,5,0,0,9,4,0,0,12,1
239,"Ziegenrück","ERF",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,"Schleusingen","ERF",0,63,0,1,3,0,2,0,0,1,0,0,0,0,9,0
241,"Tecklenburg","MUN",0,59,6,5,2,1,0,0,0,0,0,0,0,0,0,0
242,"Warendorf","MUN",0,27,2,23,0,0,0,0,0,0,4,1,0,0,0,0
243,"Beckum","MUN",0,31,3,17,2,0,0,0,0,0,0,0,0,0,0,0
244,"Lüdinghausen","MUN",0,32,1,13,1,0,0,0,0,0,0,0,0,0,0,0
245,"Landkreis Münster","MUN",0,32,0,14,0,0,0,0,0,0,0,0,0,0,0,0
246,"Stadt Münster","MUN",0,14,8,20,4,7,0,0,0,0,0,0,0,0,15,7
247,"Steinfurt","MUN",0,42,1,15,0,0,0,0,0,0,0,0,1,4,8,3
248,"Coesfeld","MUN",0,47,2,13,3,0,0,1,0,0,0,0,0,0,0,0
249,"Ahaus","MUN",0,36,0,15,0,0,0,0,0,0,0,0,3,1,0,0
250,"Borken","MUN",0,45,0,11,3,0,0,0,0,0,0,0,0,0,0,0
251,"Recklinghausen","MUN",0,55,6,11,0,0,1,4,0,0,0,0,2,2,8,2
252,"Minden","MIN",0,96,9,6,0,0,3,1,0,1,0,0,0,0,11,2
253,"Lübbecke","MIN",0,55,8,0,1,0,1,0,0,0,0,0,0,0,0,0
254,"Herfort","MIN",0,70,16,1,1,0,0,0,0,0,0,0,0,0,6,1
255,"Halle","MIN",0,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"Bielefeld","MIN",0,49,2,2,3,2,3,2,0,0,0,0,0,0,7,3
257,"Wiedenbrück","MIN",0,47,4,5,0,0,0,0,0,0,2,0,4,2,0,0
258,"Paderborn","MIN",0,42,4,10,0,0,0,4,0,0,0,0,0,0,14,7
259,"Büren","MIN",0,57,10,7,0,0,0,0,0,0,0,0,0,0,0,0
260,"Warburg","MIN",0,53,3,11,0,0,0,0,0,0,0,0,4,0,0,0
261,"Höxter","MIN",1,78,1,12,5,1,2,2,0,0,1,0,0,0,0,0
262,"Arnsberg","ARN",0,50,2,10,0,0,0,0,0,0,0,0,0,0,9,2
263,"Meschede","ARN",0,41,12,5,0,0,0,0,0,0,0,0,0,0,0,0
264,"Brillon","ARN",0,60,5,9,1,1,0,1,0,0,0,0,5,0,0,0
265,"Lippstadt","ARN",0,44,3,14,1,2,4,0,0,0,3,1,0,0,0,0
266,"Soest","ARN",0,64,3,10,1,0,1,0,0,0,0,0,0,0,8,2
267,"Hamm","ARN",0,65,0,1,2,2,0,0,0,0,0,0,0,0,7,5
268,"Dortmund","ARN",0,68,0,0,4,0,0,0,0,0,0,0,0,0,8,0
269,"Bochum","ARN",1,68,3,2,3,0,0,0,0,0,0,0,0,0,0,0
270,"Hagen","ARN",2,100,0,0,2,0,0,1,1,0,7,0,0,0,0,0
271,"Iserlohn","ARN",0,57,0,2,0,0,0,0,0,0,3,0,0,0,0,0
272,"Altena","ARN",0,72,1,0,0,0,0,0,0,0,4,0,0,0,0,0
273,"Olpe","ARN",0,62,3,3,2,0,0,0,0,0,0,0,5,2,0,0
274,"Siegen","ARN",0,113,1,0,0,0,2,1,0,0,7,2,0,0,0,0
275,"Wittgenstein","ARN",0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0
276,"Wipperfurt","KOL",0,25,6,2,0,0,0,0,0,0,0,0,3,2,0,0
277,"Gummersbach","KOL",0,38,8,0,0,0,0,0,0,0,1,1,0,0,0,0
278,"Waldbroel","KOL",0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0
279,"Sieg","KOL",0,75,23,8,2,3,0,0,0,0,0,0,0,0,0,0
280,"Mühlheim","KOL",0,45,13,0,0,0,0,1,0,0,8,9,0,0,0,0
281,"Stadt Cöln","KOL",0,61,105,41,1,2,1,6,8,26,11,3,0,0,25,15
282,"Landkreis Cöln","KOL",0,58,20,13,0,0,0,0,0,0,0,0,0,0,0,0
283,"Bergheim","KOL",0,43,23,6,0,0,0,0,0,0,0,0,0,0,8,2
284,"Euskirchen","KOL",0,41,10,10,0,0,0,0,0,0,0,0,0,0,0,0
285,"Rheinbach","KOL",0,52,3,12,0,0,0,0,0,0,0,0,0,0,9,1
286,"Bonn","KOL",1,63,14,20,0,0,0,0,0,0,0,0,0,0,11,2
287,"Cleve","DUS",1,73,8,2,7,0,3,5,5,7,0,0,0,0,7,6
288,"Rees","DUS",0,64,5,10,3,4,0,4,7,3,0,0,0,0,14,9
289,"Duisburg","DUS",1,121,45,5,0,0,1,7,1,0,6,3,2,2,14,9
290,"Geldern","DUS",2,119,32,4,3,0,0,2,0,0,0,0,8,0,0,0
291,"Kempen","DUS",0,55,19,2,0,0,0,0,0,0,0,0,6,1,0,0
292,"Crefeld","DUS",0,53,26,3,1,0,0,1,0,0,6,3,0,0,0,0
293,"Düsseldorf","DUS",2,69,47,10,2,2,25,15,3,5,9,2,0,0,9,1
294,"Elberfeld","DUS",0,83,70,0,3,1,5,3,1,1,18,9,0,0,8,4
295,"Lennep","DUS",1,76,17,3,0,0,0,0,0,0,7,0,0,0,0,0
296,"Solingen","DUS",1,65,37,0,1,0,0,0,0,0,2,3,0,0,0,0
297,"Neuss","DUS",0,44,15,3,0,0,0,0,0,0,0,0,8,2,0,0
