id1819,kreiskey1800,county,rb,buil1821_pub
205,110,"Neumarkt","BRE",272
206,244,"Neuss","DUS",52
207,16,"Neustadt","DAN",54
208,130,"Neustadt","OPP",136
209,256,"Neuwied","KOB",81
210,8,"Niederung","GUM",183
211,115,"Nimptsch","BRE",66
212,179,"Nordhausen","ERF",208
213,42,"Obernik","POS",27
214,104,"Oels","BRE",125
215,112,"Ohlau","BRE",55
216,9,"Oletzko","GUM",85
217,220,"Olpe","ARN",91
218,122,"Oppeln","OPP",223
219,4,"Ortelsburg","KON",91
220,159,"Oschersleben","MAG",166
221,148,"Osterburg","MAG",142
222,3,"Osterode","KON",105
223,37,"Osterwiek","MAG",271
224,270,"Ottweiler","TRI",55
225,205,"Paderborn","MIN",115
226,8,"Pillkallen","GUM",60
227,84,"Piritz","STE",95
228,33,"Pleschen","POS",18
229,31,"Pless","OPP",61
230,24,"Posen","POS",64
231,51,"Prenzlow","POT",270
232,63,"(Ost-)Priegnitz","POT",538
233,64,"(West-)Priegnitz","POT",404
234,260,"Prüm","TRI",107
235,174,"Querfurt","MER",396
236,8,"Ragnit","GUM",12
237,200,"Rahden","MIN",72
238,82,"Randow","STE",109
239,5,"Rastenburg","KON",88
240,127,"Ratibor","OPP",124
241,198,"Recklinghausen","MUN",72
242,235,"Rees","DUS",112
243,89,"Regenwalde","STE",49
244,118,"Reichenbach","BRE",127
245,232,"Rheinbach","KOL",90
246,237,"Rheinberg","DUS",76
247,31,"Ribnik","OPP",45
248,2,"Rössel","KON",35
249,17,"Rosenberg","MAR",110
250,121,"Rosenberg","OPP",79
251,147,"Rothenburg","LIE",67
252,96,"Rummelsburg","KOS",90
253,62,"Ruppin","POT",388
254,168,"Saalkreis","MER",265
255,269,"Saarbrücken","TRI",152
256,266,"Saarburg","TRI",103
257,268,"Saarlouis","TRI",112
258,85,"Saazig","STE",140
259,136,"Sagan","LIE",108
260,149,"Salzwedel","MAG",207
261,24,"Samter","POS",19
262,172,"Sangerhausen","MER",388
263,90,"Schiefelbein","KOS",66
264,43,"Schildberg","POS",32
265,95,"Schlawe","KOS",133
266,187,"Schleusingen","ERF",157
267,14,"Schlochau","MAR",92
268,29,"Schönau","LIE",78
269,40,"Schrimm","POS",30
270,39,"Schrodda","POS",22
271,20,"Schubin","BRO",19
272,30,"Schweidnitz","BRE",143
273,164,"Schweinitz","MER",514
274,14,"Schwetz","MAR",124
275,10,"Sensburg","GUM",129
276,226,"Siegburg","KOL",104
277,221,"Siegen","ARN",66
278,247,"Simmern","KOB",262
279,213,"Soest","ARN",63
280,66,"Soldin","FRA",97
281,243,"Solingen","DUS",85
282,79,"Sorau","FRA",401
283,36,"Spremberg","FRA",198
284,137,"Sprottau","LIE",59
285,8,"Stallupöhnen","GUM",77
286,15,"Stargard","DAN",93
287,108,"Steinau","BRE",70
288,194,"Steinfurt","MUN",113
289,151,"Stendal","MAG",353
290,72,"Sternberg","FRA",128
291,82,"Stettin","STE",110
292,92,"(Neu-)Stettin","KOS",99
293,97,"Stolp","KOS",190
294,13,"Strasburg","MAR",106
295,114,"Strehlen","BRE",103
296,123,"(Gross-)Strehlitz","OPP",65
297,119,"Striegau","BRE",97
298,11,"Stuhm","MAR",60
299,188,"Teklenburg","MUN",72
300,56,"Teltow","POT",240
301,52,"Templin","POT",261
302,12,"Thorn","MAR",74
303,8,"Tilsit","GUM",87
304,163,"Torgau","MER",421
305,125,"Tost","OPP",100
306,105,"Trebnitz","BRE",103
307,263,"Trier, Stadtkreis","TRI",31
308,264,"Trier, Landkreis","TRI",243
309,23,"Tscharnikow","BRO",65
310,32,"Uckermünde","STE",93
311,226,"Ukerath","KOL",
312,81,"Usedom","STE",94
313,281,"St. Vith","AAC",
314,225,"Waldbröl","KOL",28
315,30,"Waldenburg","BRE",116
316,156,"Wanzleben","MAG",208
317,207,"Warburg","MIN",97
318,189,"Warendorf","MUN",102
319,103,"Wartenberg","BRE",67
320,7,"Wehlau","KON",96
321,176,"Weissenfels","MER",351
322,184,"Weissensee","ERF",186
323,258,"Wetzlar","KOB",139
324,204,"Wiedenbrück","MIN",89
325,223,"Wipperfürth","KOL",36
326,22,"Wirlitz","BRO",54
327,165,"Wittenberg","MER",312
328,222,"Wittgenstein","ARN",32
329,262,"Wittlich","TRI",93
330,109,"Wohlau","BRE",156
331,157,"Wollmirstädt","MAG",283
332,49,"Wongrowiz","BRO",22
333,180,"Worbis","ERF",151
334,26,"Wreschen","POS",16
335,178,"Zeiz","MER",271
336,251,"Zell","KOB",110
337,186,"Ziegenrück","ERF",106
338,1,"Zinten","KON",124
339,73,"Züllichau","FRA",64
340,276,"Aachen","AAC",51
341,228,"Köln","KOL",73
342,193,"Münster","MUN",74
343,59,"Potsdam","POT",127
344,50,"Berlin","POT",198
