id1819,kreiskey1800,county,rb,fac1819_looms_silk_looms,fac1819_looms_cotton_looms,fac1819_looms_wool_looms,fac1819_looms_linen_looms,fac1819_looms_hosiery_looms,fac1819_looms_band_looms,fac1819_looms_se_linen_looms,fac1819_looms_se_shag_looms,fac1819_looms_se_others_looms
142,14,"Konitz","MAR",0,0,9,13,1,0,0,0,0
143,128,"Kosel","OPP",0,1,1,18,1,0,65,0,0
144,41,"Kosten","POS",0,0,2,63,0,0,51,4,0
145,78,"Kottbus","FRA",0,0,276,220,8,0,484,0,0
146,239,"Krefeld","DUS",2456,8,63,47,22,918,22,0,0
147,120,"Kreutzburg","OPP",0,0,57,48,0,1,76,0,0
148,250,"Kreutznach","KOB",0,1,14,67,2,0,158,0,0
149,47,"Kröben","POS",0,8,345,72,0,0,168,0,0
150,23,"(Deutsch)Krone","MAR",0,0,128,6,0,0,23,1,0
151,75,"Krossen","FRA",0,0,135,82,7,0,1177,7,0
152,33,"Krotoschin","POS",0,0,14,42,0,0,38,0,0
153,65,"Küstrin","FRA",0,0,137,176,0,0,13,34,0
154,12,"Kulm","MAR",0,0,7,15,1,0,16,0,0
155,7,"Labiau","KON",0,0,0,6,0,0,1032,0,0
156,69,"Landsberg","FRA",0,0,32,29,2,0,517,282,2
157,27,"Landshut","LIE",0,10,5,1593,2,17,717,3,53
158,183,"Langensalza","ERF",68,24,30,124,5,0,191,12,14
159,145,"Lauban","LIE",0,45,112,1536,2,12,878,10,18
160,35,"Lauenburg","KOS",0,0,19,6,0,0,3,0,0
161,70,"Lebus","FRA",0,7,54,34,1,0,15,0,0
162,231,"Lechenich","KOL",0,0,1,1,3,1,89,47,0
163,242,"Lennep","DUS",36,193,263,17,35,1920,107,9,30
164,129,"Leobschütz","OPP",0,0,6,205,1,0,140,0,0
165,162,"Liebenwerda","MER",0,1,15,90,0,127,63,0,0
166,142,"Liegnitz","LIE",0,1,2,42,14,0,45,0,0
167,9,"Lik","GUM",0,0,4,4,0,0,2204,0,0
168,256,"Linz","KOB",0,0,0,4,0,0,27,0,0
169,212,"Lippstadt","ARN",0,0,0,133,0,0,104,0,0
170,13,"Löbau","MAR",0,0,13,1,0,0,5,2,0
171,10,"Lötzen","GUM",0,0,0,6,0,0,1893,1825,0
172,144,"Löwenberg","LIE",3,3,58,175,23,28,136,3,0
173,124,"Lublinitz","OPP",0,0,6,46,0,0,131,0,0
174,76,"Luckau","FRA",0,1,105,99,0,1,3050,0,0
175,34,"Lübben","FRA",0,1,65,65,0,0,1624,0,0
176,139,"Lüben","LIE",0,0,81,10,0,1,32,20,0
177,191,"Lüdingshausen","MUN",0,1,0,337,9,0,353,0,0
178,155,"Magdeburg","MAG",23,79,22,169,103,2164,0,0,0
179,253,"Maien","KOB",0,1,62,47,12,0,141,0,0
180,281,"Malmedy","AAC",0,0,24,12,0,0,1,0,0
181,171,"Mansfeld, Gebirgskreis","MER",0,1,0,137,0,0,0,0,0
182,170,"Mansfeld, Seekreis","MER",0,0,0,122,3,0,82,4,0
183,11,"Marienburg","DAN",0,0,8,103,0,0,62,0,0
184,17,"Marienwerder","MAR",0,0,13,20,0,0,439,9,0
185,38,"Memel","KON",0,0,0,11,0,1,996,780,0
186,175,"Merseburg","MER",0,0,16,22,12,0,51,0,3
187,267,"Merzig","TRI",0,0,8,129,9,0,15,11,0
188,210,"Meschede","ARN",0,0,7,68,1,0,126,12,0
189,25,"Meseritz","POS",0,0,316,8,1,4,0,0,0
190,241,"Mettmann","DUS",175,330,11,59,16,340,31,2,323
191,106,"Militsch","BRE",2,3,40,180,0,8,220,0,0
192,199,"Minden","MIN",0,0,0,49,0,0,1398,0,0
193,21,"Mogilno","BRO",0,0,51,1,0,0,506,0,0
194,3,"Mohrungen","KON",0,0,15,5,0,0,3281,1,0
195,279,"Montjoie","AAC",0,0,216,27,0,0,14,28,0
196,182,"Mühlhausen","ERF",0,31,604,32,13,0,146,0,27
197,227,"Mühlheim","KOL",150,0,9,42,2,0,0,0,0
198,192,"Münster","MUN",0,0,18,108,11,0,410,0,0
199,116,"Münsterberg","BRE",0,0,0,75,4,3,17,1,0
200,102,"Namslau","BRE",0,0,28,56,0,5,110,0,0
201,86,"Naugard","STE",0,0,67,6,0,0,1782,24,0
202,177,"Naumburg","MER",0,29,2,46,44,0,42,0,0
203,4,"Neidenburg","KON",0,0,29,7,0,0,1546,0,0
204,132,"Neisse","OPP",0,0,47,434,14,2,64,0,0
205,110,"Neumarkt","BRE",0,0,6,38,0,1,145,0,0
206,244,"Neuss","DUS",0,105,7,42,0,8,28,2,0
207,16,"Neustadt","DAN",0,0,3,7,0,0,10,3,0
208,130,"Neustadt","OPP",0,0,57,182,5,0,35,5,0
209,256,"Neuwied","KOB",0,123,10,68,11,0,317,0,0
210,8,"Niederung","GUM",0,0,9,30,0,0,289,79,0
