kreiskey1849,county,rb,edu1849_pub_ele_sc,edu1849_pub_mim_sc,edu1849_pub_mif_sc,edu1849_pub_high_sc,edu1849_pub_pgy_sc,edu1849_pub_gym_sc,edu1849_pub_sem_sc
85,"Prenzlau","POT",117,1,2,0,0,1,0
86,"Templin","POT",88,3,3,0,0,0,0
87,"Angermünde","POT",91,5,5,0,0,0,0
88,"Ober-Barnim","POT",100,4,4,0,0,0,0
89,"Nieder-Barnim","POT",130,4,4,0,0,0,0
90,"Beeskow-Storkow","POT",69,2,2,0,0,0,0
91,"Teltow","POT",130,2,2,0,1,0,0
92,"Jüterbock-Luckenwalde","POT",102,4,4,0,0,0,0
93,"Zauch-Belzig","POT",122,4,4,0,0,0,0
94,"Potsdam","POT",13,2,1,2,0,1,1
95,"Ost-Havelland","POT",79,3,3,0,0,0,0
96,"West-Havelland","POT",87,3,4,0,0,1,0
97,"Ruppin","POT",133,2,3,0,0,1,0
98,"Ost-Priegnitz","POT",135,3,3,0,0,0,0
99,"West-Priegnitz","POT",127,4,4,1,0,0,0
100,"Königsberg","FRA",120,1,3,1,0,1,0
101,"Soldin","FRA",63,1,0,0,0,0,0
102,"Arnswalde","FRA",65,1,1,0,0,0,0
103,"Friedeberg","FRA",72,3,0,0,0,0,0
104,"Landsberg","FRA",100,0,0,1,0,0,0
105,"Lebus","FRA",100,1,0,0,0,0,0
106,"Frankfurt","FRA",9,1,3,1,0,1,0
107,"Sternberg","FRA",128,3,3,0,0,0,0
108,"Züllichau","FRA",63,1,2,1,0,1,0
109,"Guben","FRA",61,0,0,0,0,1,1
110,"Crossen","FRA",85,1,2,1,0,0,0
111,"Lübben","FRA",54,1,2,1,0,0,0
112,"Luckau","FRA",106,1,1,0,0,1,0
113,"Kalau","FRA",71,0,0,0,0,0,1
114,"Cottbus","FRA",82,0,0,0,0,1,0
115,"Sorau","FRA",71,1,1,0,0,1,0
116,"Spremberg","FRA",20,0,0,0,0,0,0
117,"Demmin","STE",103,2,3,0,1,0,0
118,"Anclam","STE",62,2,3,0,0,1,0
119,"Usedom-Wollin","STE",60,3,3,0,0,0,0
120,"Uckermünde","STE",59,3,3,0,0,0,0
121,"Randow","STE",123,7,8,1,0,1,1
122,"Greiffenhagen","STE",78,3,3,0,0,0,0
123,"Pyritz","STE",92,1,1,0,0,0,1
124,"Saazig","STE",96,2,2,0,0,1,0
125,"Naugardt","STE",102,1,1,0,0,0,0
126,"Cammin","STE",114,1,1,0,0,0,1
127,"Greiffenberg","STE",89,2,3,1,0,0,0
128,"Regenwalde","STE",98,2,2,0,0,0,0
129,"Schiefelbein","KOS",41,1,1,0,0,0,0
130,"Dramburg","KOS",58,3,3,0,0,0,0
131,"Neustettin","KOS",103,0,1,0,0,1,0
132,"Belgard","KOS",86,7,5,0,0,0,0
133,"Fürstenthum","KOS",222,3,4,1,0,1,1
134,"Schlawe","KOS",159,2,1,0,0,0,0
135,"Rummelsburg","KOS",62,1,1,1,0,0,0
136,"Stolpe","KOS",159,0,1,0,0,0,0
137,"Lauenburg","KOS",86,1,1,0,0,0,0
138,"Bütow","KOS",43,0,0,0,0,0,0
139,"Rügen","STR",91,2,1,0,0,1,0
140,"Franzburg","STR",115,4,1,0,0,1,1
141,"Greifswald","STR",85,5,3,1,0,1,1
142,"Grimmen","STR",92,3,6,0,0,0,0
143,"Namslau","BRE",55,0,0,0,0,0,0
144,"Wartenberg","BRE",69,0,0,0,0,0,0
145,"Oels","BRE",94,0,1,0,0,1,0
146,"Trebnitz","BRE",83,0,0,0,0,0,0
147,"Militsch","BRE",102,0,0,0,0,0,0
148,"Gurau","BRE",74,1,0,0,0,0,0
149,"Steinau","BRE",51,0,0,0,0,0,1
150,"Wolau","BRE",82,3,2,0,0,0,0
151,"Neumarkt","BRE",93,0,0,0,0,0,0
152,"Breslau","BRE",120,0,1,2,0,4,1
153,"Olau","BRE",60,1,0,0,0,0,0
154,"Brieg","BRE",68,0,0,0,0,1,0
155,"Strehlen","BRE",43,0,0,0,0,0,0
156,"Nimtsch","BRE",37,0,0,0,0,0,0
157,"Münsterberg","BRE",28,2,0,0,0,0,1
158,"Frankenstein","BRE",49,1,0,0,0,0,0
159,"Reichenbach","BRE",56,6,1,0,0,0,0
160,"Schweidnitz","BRE",95,3,2,0,0,1,0
161,"Striegau","BRE",44,0,0,0,0,0,0
162,"Waldenburg","BRE",79,1,1,0,0,0,0
163,"Glatz","BRE",67,0,0,0,0,1,0
164,"Habelschwerdt","BRE",56,0,0,0,0,0,0
165,"Creutzburg","OPP",53,0,0,0,0,0,0
166,"Rosenberg","OPP",55,0,0,0,0,0,0
167,"Oppeln","OPP",97,1,0,0,0,1,0
168,"Gross-Strehlitz","OPP",46,0,0,0,0,0,0
169,"Lublinitz","OPP",45,0,0,0,0,0,0
170,"Tost","OPP",49,0,1,0,0,1,1
171,"Beuthen","OPP",53,0,0,0,0,0,0
172,"Pless","OPP",56,1,0,0,0,0,0
173,"Riebnick","OPP",50,1,0,0,0,0,0
174,"Ratibor","OPP",86,0,1,0,0,1,0
175,"Cosel","OPP",52,1,0,0,0,0,0
176,"Leobschütz","OPP",77,1,1,0,0,1,0
177,"Neustadt","OPP",75,2,0,0,0,0,1
178,"Falkenberg","OPP",54,0,0,0,0,0,0
179,"Neisse","OPP",71,0,1,1,0,1,0
180,"Grotkau","OPP",43,0,0,0,0,0,0
181,"Grünberg","LIE",65,1,1,0,0,0,0
182,"Freistadt","LIE",66,1,2,0,0,0,0
183,"Sagan","LIE",80,1,2,0,0,1,0
184,"Sprottau","LIE",52,1,1,0,0,0,0
185,"Glogau","LIE",94,1,1,0,0,2,0
186,"Lüben","LIE",58,1,1,0,0,0,0
187,"Bunzlau","LIE",87,2,2,1,0,0,1
188,"Hainau-Goldberg","LIE",70,2,1,0,0,0,0
189,"Liegnitz","LIE",92,2,2,1,0,2,0
190,"Jauer","LIE",48,1,1,0,0,0,0
191,"Schönau","LIE",42,0,0,0,0,0,0
192,"Bolkenhain","LIE",53,1,0,0,0,0,0
193,"Landshut","LIE",57,0,0,1,0,0,0
194,"Hirschberg","LIE",90,1,1,0,0,1,0
195,"Löwenberg","LIE",139,1,2,0,0,0,0
196,"Lauban","LIE",72,1,0,0,0,1,0
197,"Görlitz","LIE",60,1,1,1,0,1,0
198,"Rothenburg","LIE",56,1,1,1,1,0,0
199,"Hoyerswerda","LIE",65,0,0,0,0,0,0
200,"Osterburg","MAG",117,3,0,0,0,0,0
201,"Salzwedel","MAG",155,0,0,0,0,1,0
202,"Gardelegen","MAG",109,2,0,0,0,0,1
203,"Stendal","MAG",94,2,2,0,0,1,0
204,"Jerichow II","MAG",93,1,1,0,0,0,0
205,"Jerichow I","MAG",98,2,2,1,0,0,0
206,"Calbe","MAG",51,7,4,0,0,0,0
207,"Magdeburg","MAG",23,2,4,1,0,2,1
208,"Wanzleben","MAG",53,4,0,0,0,0,0
209,"Wollmirstädt","MAG",56,1,0,0,0,0,0
210,"Neuhaldensleben","MAG",64,1,1,0,0,0,0
211,"Oschersleben","MAG",39,6,0,0,0,0,0
212,"Aschersleben","MAG",39,3,3,1,0,1,0
213,"Halberstadt","MAG",45,6,1,1,0,1,1
214,"Grafschaft Wernigerode","MAG",22,1,1,0,1,0,0
215,"Liebenwerda","MER",74,0,0,0,0,0,0
216,"Torgau","MER",78,1,2,0,0,1,0
217,"Schweinitz","MER",81,0,0,0,0,0,0
218,"Wittenberg","MER",71,1,1,0,0,1,0
219,"Bitterfeld","MER",75,2,2,0,0,0,0
220,"Delitsch","MER",106,1,1,0,0,0,0
221,"Saal-Kreis","MER",88,0,0,0,0,0,0
222,"Halle","MER",8,2,3,1,0,2,0
223,"Seekreis Mannsfeld","MER",76,0,0,0,0,1,1
224,"Gebirgskreis Mannsfeld","MER",61,0,0,0,0,0,0
225,"Sangerhausen","MER",90,2,2,0,0,0,0
226,"Eckartsberga","MER",95,0,0,0,1,0,0
227,"Querfurt","MER",95,1,1,0,0,1,0
228,"Merseburg","MER",102,2,1,0,0,1,0
229,"Weissenfels","MER",100,1,2,0,0,0,1
230,"Naumburg","MER",29,1,2,0,0,2,0
231,"Zeitz","MER",45,1,1,0,0,1,0
232,"Nordhausen","ERF",77,0,1,1,0,1,0
233,"Worbis","ERF",70,0,0,0,0,0,0
234,"Heiligenstadt","ERF",72,0,1,0,0,1,1
235,"Mühlhausen","ERF",60,1,1,0,0,1,1
236,"Langensalza","ERF",58,2,2,0,0,0,0
237,"Weissensee","ERF",43,0,0,0,0,0,0
238,"Erfurt","ERF",69,0,1,1,0,1,1
239,"Ziegenrück","ERF",28,0,0,0,0,0,0
240,"Schleusingen","ERF",51,1,1,0,0,1,0
241,"Tecklenburg","MUN",64,2,0,0,0,0,0
242,"Warendorf","MUN",45,0,0,1,0,0,0
243,"Beckum","MUN",47,2,0,0,0,0,0
244,"Lüdinghausen","MUN",46,1,0,0,0,0,0
245,"Landkreis Münster","MUN",47,0,0,0,0,0,0
246,"Stadt Münster","MUN",15,3,0,0,0,1,0
247,"Steinfurt","MUN",57,0,0,0,1,1,1
248,"Coesfeld","MUN",58,2,1,0,0,0,0
249,"Ahaus","MUN",51,0,0,0,1,0,0
250,"Borken","MUN",56,2,0,0,0,0,0
251,"Recklinghausen","MUN",47,0,1,0,1,1,0
252,"Minden","MIN",75,0,1,0,0,1,1
253,"Lübbecke","MIN",45,1,1,0,0,0,0
254,"Herfort","MIN",58,1,0,0,0,1,0
255,"Halle","MIN",37,0,0,0,0,0,0
256,"Bielefeld","MIN",38,2,1,0,0,1,0
257,"Wiedenbrück","MIN",57,0,0,1,1,0,0
258,"Paderborn","MIN",50,0,1,0,0,1,0
259,"Büren","MIN",62,0,0,0,0,0,1
260,"Warburg","MIN",66,0,0,0,1,0,0
261,"Höxter","MIN",79,2,2,1,0,0,0
262,"Arnsberg","ARN",55,0,0,0,0,1,0
263,"Meschede","ARN",55,0,0,0,0,0,0
264,"Brillon","ARN",71,1,1,0,1,0,0
265,"Lippstadt","ARN",53,1,1,1,0,0,0
266,"Soest","ARN",62,1,1,0,0,1,1
267,"Hamm","ARN",50,2,0,0,0,1,0
268,"Dortmund","ARN",53,2,0,0,0,1,0
269,"Bochum","ARN",50,3,0,0,0,0,0
270,"Hagen","ARN",68,2,1,3,0,0,0
271,"Iserlohn","ARN",37,0,0,1,0,0,0
272,"Altena","ARN",57,0,0,2,0,0,0
273,"Olpe","ARN",68,1,0,0,1,0,0
274,"Siegen","ARN",109,0,1,1,0,0,0
275,"Wittgenstein","ARN",48,0,0,0,0,0,0
276,"Wipperfurt","KOL",27,0,0,0,1,0,0
277,"Gummersbach","KOL",39,0,0,1,0,0,0
278,"Waldbroel","KOL",26,0,0,0,0,0,0
279,"Sieg","KOL",78,1,0,0,0,0,0
280,"Mühlheim","KOL",39,0,1,2,0,0,0
281,"Stadt Cöln","KOL",89,1,7,1,0,2,0
282,"Landkreis Cöln","KOL",67,0,0,0,0,0,1
283,"Bergheim","KOL",49,0,0,0,0,1,0
284,"Euskirchen","KOL",60,0,0,0,0,0,0
285,"Rheinbach","KOL",61,0,0,0,0,1,0
286,"Bonn","KOL",51,0,0,0,0,1,0
287,"Cleve","DUS",63,2,4,0,0,1,0
288,"Rees","DUS",47,3,4,0,0,2,0
289,"Duisburg","DUS",97,0,4,2,1,2,0
290,"Geldern","DUS",116,2,2,0,2,0,2
291,"Kempen","DUS",45,0,0,0,1,0,1
292,"Crefeld","DUS",46,1,1,2,0,0,0
293,"Düsseldorf","DUS",66,2,6,1,0,1,1
294,"Elberfeld","DUS",78,1,2,3,0,1,0
295,"Lennep","DUS",66,0,0,3,0,0,0
296,"Solingen","DUS",62,1,0,2,0,0,0
297,"Neuss","DUS",33,0,0,0,1,0,0
298,"Grevenbroich","DUS",45,0,0,0,0,0,0
299,"Gladbach","DUS",45,2,3,1,1,0,0
300,"Simmern","KOB",119,0,0,3,0,0,0
301,"Coblenz","KOB",71,0,0,2,0,1,0
302,"St. Goar","KOB",65,0,1,1,0,0,0
303,"Kreuznach","KOB",136,1,2,2,0,1,0
304,"Zell","KOB",61,0,0,0,1,0,0
305,"Kochheim","KOB",75,0,0,0,0,0,0
306,"Mayen","KOB",98,0,0,2,0,0,0
307,"Adenau","KOB",62,0,0,0,0,0,0
308,"Ahrweiler","KOB",66,0,3,0,0,0,0
309,"Neuwied","KOB",118,1,3,1,1,0,1
310,"Altenkirchen","KOB",116,0,0,1,0,0,0
311,"Wetzlar","KOB",84,1,1,0,0,1,0
312,"Daun","TRI",60,0,0,0,0,0,0
313,"Prüm","TRI",58,0,0,0,0,0,0
314,"Bitburg","TRI",85,0,0,0,0,0,0
315,"Wittlich","TRI",61,0,0,0,0,0,0
316,"Trier (Stadt)","TRI",25,0,1,1,0,1,0
317,"Trier (Land)","TRI",121,0,0,0,0,0,0
318,"Berncastel","TRI",91,1,0,0,0,0,0
319,"Saarburg","TRI",64,0,0,0,0,0,0
320,"Merzig","TRI",58,0,0,0,0,0,0
321,"Saarlouis","TRI",79,0,0,1,0,0,0
322,"Saarbrücken","TRI",71,1,2,0,0,1,0
323,"Ottweiler","TRI",66,0,0,0,0,0,0
324,"St. Wendel","TRI",91,0,0,1,0,0,0
325,"Erkelens","AAC",42,0,0,0,1,0,0
326,"Heinsberg","AAC",45,0,0,0,0,0,0
327,"Geilenkirchen","AAC",36,2,0,0,0,0,0
328,"Jülich","AAC",54,0,0,1,0,0,0
329,"Düren","AAC",76,0,1,0,0,1,0
330,"Stadt Aachen","AAC",45,0,4,1,0,1,0
331,"Landkreis Aachen","AAC",48,0,0,0,0,0,0
332,"Eupen","AAC",17,0,1,1,0,0,0
333,"Montjoie","AAC",29,0,0,1,0,0,0
334,"Schleiden","AAC",79,0,0,0,0,0,0
335,"Malmedy","AAC",72,0,1,1,0,0,0
