kreiskey1896,county,rb,yie1896_acr_wwh,yie1896_hec_wwh,yie1896_tot_wwh,yie1896_acr_wry,yie1896_hec_wry,yie1896_tot_wry,yie1896_acr_sba,yie1896_hec_sba,yie1896_tot_sba,yie1896_acr_oat,yie1896_hec_oat,yie1896_tot_oat,yie1896_acr_pot,yie1896_hec_pot,yie1896_tot_pot
522,"RHEINBACH","KOL",3090.2,20.27,62638,3844.7,18.28,70281,530.2,17.81,9443,3949.5,19.34,76383,2142.3,89.89,192571
523,"BONN STADTKREIS","KOL",87,24,2088,201,20,4020,0,0,0,163,24,3912,142,100,14200
524,"BONN LANDKREIS","KOL",2098,20.38,42757,3638.4,19.43,70694,125.7,14.68,1845,2524.7,18.89,47692,2173.5,88.55,192463
525,"DAUN","TRI",338.3,8.61,2913,3202.2,9.62,30805,314.4,7.93,2493,6141.6,8.59,52756,2865.9,88.43,253432
526,"PRUM","TRI",485.7,6.63,3220,3997.4,8.95,35777,116,5.7,661,5693.5,6.19,35243,3110,55.62,172978
527,"BITBURG","TRI",1420.6,8.88,12615,4153.1,11.06,45933,566.2,8.65,4898,7726.4,9.88,76337,4045.2,79.03,319692
528,"WITTLICH","TRI",944.4,9.98,9425,4377.7,12.33,53977,661.6,8.64,5716,4144.6,8.61,35685,3728,89.18,332463
529,"BERNKASTEL","TRI",572,11.15,6378,4240.9,11.48,48686,742.1,9.08,6738,4103.4,8.8,36110,4473.1,124.27,555872
530,"TRIER STADTKREIS","TRI",3.5,13,46,19,14.5,276,6,15,90,6.5,18.5,120,75.2,155,11656
531,"TRIER LANDKREIS","TRI",1582.9,11.17,17681,8203.9,12.38,101564,1397.3,10.29,14378,7056,9.45,66679,8454.8,102.66,867970
532,"SAARBURG","TRI",1086.3,12.18,13231,2003.5,13.7,27448,747.8,9.42,7044,4850.7,11.58,56171,3536.2,83.41,294954
533,"MERZIG","TRI",948.7,10.01,9496,4099.4,12.73,52185,570.8,10.9,6222,3267.9,11.73,38332,4164.7,91.06,379238
534,"SAARLOUIS","TRI",1805.8,9.95,17968,6323.9,13.4,84740,659.8,9.61,6341,4384.9,12.71,55732,6520.4,111.46,726764
535,"SAARBRUCKEN","TRI",644.1,10.64,6853,3553.5,12.87,45734,279.8,10.67,2985,2488.6,10.72,26678,4010.6,93.74,375954
536,"OTTWEILER","TRI",706.1,9.82,6934,3814.2,14.5,55306,421,10.06,4235,2803.1,9.53,26714,3997.5,97.06,387997
537,"SANKT WENDEL","TRI",778.2,11.29,8786,5810.4,13.82,80300,2851.2,11.58,33017,4540.6,9.05,41092,5789.5,100.66,582771
538,"ERKELENZ","AAC",2033,20.14,40945,5438,20.72,112675,4.1,17.83,73,4453.5,22.36,99580,1920,98.8,189696
539,"HEINSBERG","AAC",757.5,17.14,12984,5683.6,18.44,104806,62.4,13.8,861,3687,19.71,72671,1632.6,101.81,166215
540,"GEILENKIRCHEN","AAC",2046.7,16.24,33238,4207,16.67,70131,17.5,17.5,306,2903.1,19.14,55565,1066.5,121.45,129526
541,"JULICH","AAC",5040,20.28,102211,5131.8,20,102636,86.5,17.32,1498,4370.4,20.2,88282,1836.5,92.88,170574
542,"DUREN","AAC",5705.2,19.11,109026,7130.4,18.37,130985,1620,16.4,26568,7685.7,19.59,150563,2487.3,86.53,215226
543,"AACHEN STADTKREIS","AAC",75,16,1200,162,16,2592,0,0,0,136,16,2176,170,100,17000
544,"AACHEN LANDKREIS","AAC",2823.6,20.04,56585,3193.7,16.85,53814,157.3,14.69,2311,3835.5,19.35,74217,1356.8,105.13,142640
545,"EUPEN","AAC",20.9,12.25,256,90.2,14.43,1302,15.8,10.75,170,110.6,9.75,1078,86.1,67.67,5826
546,"MONTJOIE","AAC",1.4,11,15,958.7,13.34,12789,15,10.88,163,2209.6,11.29,24946,1094.4,77.32,84619
547,"SCHLEIDEN","AAC",948.5,12.43,11790,2470.5,11.52,28460,398.9,11.89,4743,6176.6,10.69,66028,2405.4,94.95,228393
548,"MALMEDY","AAC",15,15,225,1950,12.41,24200,4,7,28,4494.2,12.37,55593,1746,90.47,157961
549,"SIGMARINGEN","SIG",346.9,8.47,2938,526.2,7.3,3841,2821.3,7.92,22345,2350.5,9.3,21860,1417.8,49,69472
550,"GAMMERTINGEN","SIG",11.4,4.9,56,290.3,5.34,1550,1198.6,9.33,11183,4299,9.2,39551,1157,45.83,53025
551,"HECHINGEN","SIG",65.5,8.86,580,91,8.41,765,666.7,10.06,6707,1883.9,11.06,20836,1445,53.44,77221
552,"HAIGERLOCH","SIG",781.3,12.27,9587,72.5,10.62,770,1441.8,10.9,15716,600,11.19,6714,520.7,62.9,32752
