kreiskey1882,county,rb,occ1882_se_agr_pr,occ1882_emp_agr_pr,occ1882_se_for_pr,occ1882_emp_for_pr,occ1882_se_agr_cat,occ1882_emp_agr_cat,occ1882_se_for_cat,occ1882_emp_for_cat,occ1882_se_agr_jew,occ1882_emp_agr_jew,occ1882_se_for_jew,occ1882_emp_for_jew,occ1882_se_agr_tot,occ1882_emp_agr_tot,occ1882_se_for_tot,occ1882_emp_for_tot
176,"HABELSCHWERDT","BRE",11,30,4,12,4654,9843,10,387,0,0,0,0,4666,9879,14,399
177,"GRUNBERG","LIE",2772,7034,5,89,712,1582,3,35,0,0,0,0,3484,8616,8,124
178,"FREISTADT","LIE",3066,7561,11,113,263,877,2,17,0,0,0,0,3330,8438,13,130
179,"SAGAN","LIE",3369,6926,6,186,564,1312,0,19,0,0,0,0,3933,8238,6,205
180,"SPROTTAU","LIE",2013,5665,4,189,219,655,2,10,0,0,0,0,2232,6320,6,200
181,"GLOGAU","LIE",2981,9903,9,50,1072,3850,8,14,3,0,0,0,4056,13753,17,64
182,"LUBEN","LIE",1971,5853,2,130,110,839,1,30,1,0,0,0,2082,6692,3,160
183,"BUNZLAU","LIE",3418,7415,5,298,509,951,1,30,0,0,0,0,3928,8368,6,328
184,"GOLDBERG-HAINAU","LIE",2902,9357,1,53,70,496,0,2,0,0,0,0,2974,9859,1,55
185,"LIEGNITZ","LIE",153,710,6,4,7,65,0,1,1,0,0,0,161,775,6,5
186,"LIEGNITZ","LIE",2523,9592,3,55,193,1042,0,11,2,0,0,0,2719,10637,3,66
187,"JAUER","LIE",1196,4583,4,51,360,1932,0,8,0,0,0,0,1556,6515,4,60
188,"SCHONAU","LIE",1708,4193,3,85,237,640,0,9,0,0,0,0,1945,4833,3,94
189,"BOLKENHAIN","LIE",1949,4717,2,92,178,652,0,14,1,0,0,0,2130,5380,2,106
190,"LANDESHUT","LIE",1011,1904,3,78,1012,1832,1,68,0,0,0,1,2041,3759,4,148
191,"HIRSCHBERG","LIE",2432,5272,5,266,219,659,2,108,1,0,0,0,2654,5932,7,374
