kreiskey1858,county,rb,land1866_knight_estates
171,"NEURODE","BRE",31
172,"NIMPTSCH","BRE",76
173,"OLS","BRE",115
174,"OHLAU","BRE",37
175,"REICHENBACH","BRE",44
176,"SCHWEIDNITZ LANDKREIS","BRE",76
177,"STEINAU","BRE",53
178,"STREHLEN","BRE",52
179,"STRIEGAU","BRE",42
180,"TREBNITZ","BRE",106
181,"WALDENBURG","BRE",32
182,"GROSS WARTENBERG","BRE",62
183,"WOHLAU","BRE",106
184,"BOLKENHAIN","LIE",35
185,"BUNZLAU","LIE",42
186,"FREISTADT","LIE",70
187,"GLOGAU","LIE",90
188,"GORLITZ LANDKREIS","LIE",46
189,"GOLDBERG-HAINAU","LIE",76
190,"GRUNBERG","LIE",30
191,"HIRSCHBERG","LIE",49
192,"HOYERSWERDA","LIE",34
193,"JAUER","LIE",36
194,"LANDESHUT","LIE",14
195,"LAUBAN","LIE",59
196,"LIEGNITZ LANDKREIS","LIE",95
197,"LOWENBERG","LIE",39
198,"LUBEN","LIE",54
199,"ROTHENBURG","LIE",74
200,"SAGAN","LIE",98
201,"SCHONAU","LIE",35
202,"SPROTTAU","LIE",51
203,"ASCHERSLEBEN","MAG",11
204,"GARDELEGEN","MAG",16
205,"HALBERSTADT LANDKREIS","MAG",14
206,"JERICHOW I","MAG",53
207,"JERICHOW II","MAG",59
208,"KALBE","MAG",7
209,"MAGDEBURG","MAG",0
210,"NEUHALDENSLEBEN","MAG",20
211,"OSCHERSLEBEN","MAG",19
212,"OSTERBURG","MAG",57
213,"SALZWEDEL","MAG",17
214,"STENDAL","MAG",32
215,"WANZLEBEN","MAG",21
216,"WERNIGERODE","MAG",3
217,"WOLMIRSTEDT","MAG",9
218,"BITTERFELD","MER",45
219,"DELITZSCH","MER",47
220,"ECKARTSBERGA","MER",54
221,"HALLE","MER",0
222,"LIEBENWERDA","MER",20
223,"MANSFELDER GEBIRGSKR","MER",30
224,"MANSFELDER SEEKREIS","MER",38
225,"MERSEBURG","MER",57
226,"NAUMBURG","MER",4
227,"QUERFURT","MER",45
228,"SAALKREIS","MER",27
229,"SANGERHAUSEN","MER",47
230,"SCHWEINITZ","MER",26
231,"TORGAU","MER",27
232,"WEISSENFELS LANDKREIS","MER",50
233,"WITTENBERG","MER",12
234,"ZEITZ LANDKREIS","MER",29
235,"ERFURT LANDKREIS","ERF",2
236,"HEILIGENSTADT","ERF",27
237,"LANGENSALZA","ERF",41
238,"MUHLHAUSEN LANDKREIS","ERF",7
239,"NORDHAUSEN LANDKREIS","ERF",43
240,"SCHLEUSINGEN","ERF",2
241,"WEISSENSEE","ERF",24
242,"WORBIS","ERF",37
243,"ZIEGENRUCK","ERF",15
244,"BIELEFELD LANDKREIS","MIN",4
245,"BUREN","MIN",11
246,"HALLE","MIN",6
247,"HERFORD","MIN",11
248,"HOXTER","MIN",25
249,"LUBBECKE","MIN",10
250,"MINDEN","MIN",8
251,"PADERBORN","MIN",4
