kreiskey1864,county,rb,edu1864_pub_ele_sc,edu1864_pub_mim_sc,edu1864_pub_mif_sc,edu1864_pub_rea_sc,edu1864_pub_pgy_sc,edu1864_pub_gym_sc,edu1864_pub_sem_sc,edu1864_pri_ele_sc,edu1864_pri_hsm_sc,edu1864_pri_hsf_sc,edu1864_pri_voc_sc,edu1864_pri_sun_sc,edu1864_pri_kin_sc
84,"WONGROWITZ","BRO",89,1,0,"0",0,0,0,1,0,0,0,1,1
85,"BERLIN","POT",68,8,7,"9",1,8,3,66,9,33,1,3,37
86,"PRENZLAU","POT",114,1,2,"0",0,1,0,0,0,1,1,2,2
87,"TEMPLIN","POT",87,3,3,"0",0,0,0,0,0,0,0,1,1
88,"ANGERMUNDE","POT",91,2,2,"0",0,0,0,0,0,1,0,1,1
89,"OBERBARNIM","POT",104,1,2,"3",1,0,0,0,0,1,0,0,2
90,"NIEDERBARNIM","POT",125,1,1,"0",0,0,1,0,1,1,0,0,0
91,"TELTOW","POT",132,2,2,"0",1,0,1,1,1,1,0,2,3
92,"BEESKOW-STORKOW","POT",70,2,2,"0",0,0,0,0,0,0,0,0,0
93,"JUTERBOG-LUCKENWALDE","POT",107,2,2,"0",1,0,0,0,0,0,0,4,3
94,"ZAUCH-BELZIG","POT",124,4,4,"0",0,0,0,0,0,0,0,0,0
95,"POTSDAM","POT",17,2,2,"1",1,1,0,1,1,2,3,1,4
96,"OSTHAVELLAND","POT",85,4,5,"0",0,1,0,5,0,0,0,1,2
97,"WESTHAVELLAND","POT",87,1,2,"1",0,2,0,1,0,1,0,3,3
98,"RUPPIN","POT",141,0,1,"0",0,1,0,1,0,0,0,0,1
99,"OSTPRIGNITZ","POT",138,4,3,"1",0,0,0,5,0,1,0,0,1
100,"WESTPRIGNITZ","POT",132,2,2,"1",0,0,0,2,0,0,0,1,0
101,"KONIGSBERG IN NEUMARK","FRA",123,0,2,"1",0,1,0,4,3,2,0,1,0
102,"SOLDIN","FRA",68,2,1,"0",0,0,0,6,0,3,0,0,1
103,"ARNSWALDE","FRA",64,0,0,"0",0,0,0,8,0,0,0,0,0
104,"FRIEDEBERG","FRA",73,3,0,"0",0,0,0,1,0,1,0,1,1
105,"LANDSBERG LANDKREIS","FRA",100,1,1,"0",0,1,0,1,1,1,0,0,1
106,"LEBUS","FRA",106,1,1,"0",0,0,0,4,1,4,1,1,4
107,"FRANKFURT","FRA",10,1,4,"1",0,1,0,4,0,1,1,2,4
108,"STERNBERG","FRA",133,2,2,"0",0,0,1,4,1,1,0,0,1
109,"ZULLICHAU-SCHWIEBUS","FRA",64,2,0,"0",0,1,0,0,0,2,0,2,0
110,"KROSSEN","FRA",84,2,2,"2",0,0,0,4,0,2,0,1,1
111,"GUBEN LANDKREIS","FRA",68,0,1,"0",0,1,1,0,1,2,0,0,0
112,"LUBBEN","FRA",58,1,2,"1",0,0,0,2,0,1,0,0,1
113,"LUCKAU","FRA",109,0,1,"0",0,1,0,3,0,1,0,0,0
114,"KALAU","FRA",77,0,0,"0",0,0,1,0,0,0,0,0,1
115,"KOTTBUS LANDKREIS","FRA",82,0,0,"0",0,1,0,1,0,1,0,0,1
116,"SORAU","FRA",81,1,1,"0",0,1,0,2,1,1,0,0,1
117,"SPREMBERG","FRA",21,0,0,"1",0,0,0,1,0,0,0,0,0
118,"DEMMIN","STE",104,1,2,"0",1,0,0,3,0,0,0,0,1
119,"ANKLAM","STE",62,1,1,"0",0,1,0,3,0,0,0,0,2
120,"USEDOM-WOLLIN","STE",64,1,0,"0",0,0,0,2,1,2,1,0,0
121,"UCKERMUNDE","STE",55,1,1,"0",0,0,0,4,0,1,0,0,1
122,"RANDOW","STE",112,1,1,"0",0,0,1,4,0,3,1,1,1
123,"STETTIN","STE",17,2,2,"1",0,1,0,1,2,5,3,0,4
124,"GREIFENHAGEN","STE",80,0,0,"0",0,0,0,2,0,1,0,0,0
125,"PYRITZ","STE",91,0,0,"0",0,1,1,0,0,1,0,0,0
126,"SAATZIG","STE",95,1,1,"0",0,1,0,2,0,0,0,0,1
127,"NAUGARD","STE",105,2,1,"0",0,0,0,1,0,1,0,0,0
128,"KAMMIN","STE",113,1,0,"0",0,0,1,3,1,2,1,1,1
129,"GREIFENBERG","STE",86,0,1,"0",0,2,0,0,0,2,1,0,0
130,"REGENWALDE","STE",99,0,0,"0",0,0,0,4,3,3,0,0,1
131,"SCHIVELBEIN","KOS",44,1,1,"0",0,0,0,2,0,0,0,0,0
132,"DRAMBURG","KOS",58,1,1,"0",0,0,0,0,0,0,0,0,0
133,"NEUSTETTIN","KOS",107,2,2,"0",0,1,0,4,1,0,0,1,0
134,"BELGARD","KOS",89,2,2,"0",0,0,0,0,1,0,0,0,0
135,"FURSTENTHUM","KOS",224,1,2,"0",0,2,1,2,1,5,0,1,0
136,"SCHLAWE","KOS",154,0,0,"0",0,0,0,5,0,3,0,1,0
137,"RUMMELSBURG","KOS",58,1,1,"0",0,0,0,0,0,0,0,0,0
138,"STOLP LANDKREIS","KOS",168,0,1,"0",0,1,0,1,0,1,1,1,1
139,"LAUENBURG IN POMMERN","KOS",78,0,0,"1",0,0,0,0,0,1,0,0,0
140,"BUTOW","KOS",48,1,1,"0",0,0,1,2,1,1,0,1,0
141,"RUGEN","STR",89,0,0,"0",0,1,0,8,1,1,0,0,1
142,"FRANZBURG","STR",123,0,2,"1",0,1,2,18,0,5,5,2,3
143,"GREIFSWALD","STR",87,3,3,"0",0,1,0,17,1,4,1,2,3
144,"GRIMMEN","STR",89,2,2,"0",0,0,0,3,0,0,0,3,1
145,"NAMSLAU","BRE",57,0,0,"0",0,0,0,2,0,0,0,2,0
146,"GROSS WARTENBERG","BRE",79,0,0,"0",0,0,0,4,0,0,0,2,0
147,"OLS","BRE",97,0,1,"0",0,1,0,3,0,1,0,1,1
148,"TREBNITZ","BRE",83,0,0,"0",0,0,0,1,0,0,0,0,1
149,"MILITSCH","BRE",96,0,0,"0",0,0,0,3,0,0,0,4,0
150,"GUHRAU","BRE",69,0,0,"0",0,0,0,1,0,0,0,2,1
151,"STEINAU","BRE",50,0,0,"0",0,0,1,0,0,0,0,1,1
152,"WOHLAU","BRE",86,0,0,"0",0,0,0,2,0,0,0,1,0
153,"NEUMARKT","BRE",93,0,0,"0",0,0,0,1,0,0,0,0,1
154,"BRESLAU STADTKREIS","BRE",50,1,3,"2",0,4,1,9,3,10,4,2,17
155,"BRESLAU LANDKREIS","BRE",85,0,0,"0",0,0,0,0,0,0,0,0,0
156,"OHLAU","BRE",65,1,0,"0",0,0,0,1,0,1,0,1,0
157,"BRIEG","BRE",69,1,1,"0",0,1,0,1,0,1,1,1,1
158,"STREHLEN","BRE",45,0,0,"0",0,0,0,1,0,1,0,0,1
159,"NIMPTSCH","BRE",38,0,0,"0",0,0,0,0,1,0,0,0,0
160,"MUNSTERBERG","BRE",32,0,0,"0",0,0,1,0,0,0,0,0,0
161,"FRANKENSTEIN","BRE",56,1,0,"0",0,0,0,3,0,1,0,2,1
162,"REICHENBACH","BRE",66,0,0,"0",0,0,0,5,2,2,0,1,4
163,"SCHWEIDNITZ LANDKREIS","BRE",96,1,0,"0",0,1,0,1,0,3,1,4,1
164,"STRIEGAU","BRE",47,0,0,"0",0,0,0,2,0,1,0,1,1
165,"WALDENBURG","BRE",69,0,0,"0",0,0,0,4,1,1,1,2,0
166,"GLATZ","BRE",45,0,1,"0",0,1,0,2,0,1,0,3,3
167,"NEURODE","BRE",24,0,0,"0",0,0,0,2,0,0,0,1,0
168,"HABELSCHWERDT","BRE",62,0,0,"0",0,0,0,4,0,0,0,2,0
169,"KREUZBURG","OPP",49,0,0,"1",0,0,1,3,0,1,0,8,0
170,"ROSENBERG IN OBERSCHLESIEN","OPP",60,0,0,"1",0,0,0,1,1,0,0,5,0
171,"OPPELN LANDKREIS","OPP",102,0,0,"0",0,1,0,5,0,0,1,0,0
172,"GROSS STREHLITZ","OPP",52,0,0,"0",0,0,0,5,0,0,0,0,0
173,"LUBLINITZ","OPP",46,0,1,"0",0,0,0,3,1,0,0,0,0
174,"TOST-GLEIWITZ","OPP",57,0,0,"0",0,1,1,1,0,1,0,4,1
175,"BEUTHEN LANDKREIS","OPP",71,0,1,"0",0,0,0,17,0,1,1,5,3
176,"PLESS","OPP",59,0,0,"0",0,0,0,4,1,0,0,0,0
177,"RYBNIK","OPP",56,2,3,"0",0,0,0,4,0,0,1,3,0
178,"RATIBOR","OPP",85,0,0,"0",0,1,0,1,0,2,0,2,0
179,"KOSEL","OPP",53,0,1,"0",0,0,0,2,0,0,0,1,0
180,"LEOBSCHUTZ","OPP",80,0,0,"0",0,1,0,4,0,1,0,2,1
181,"NEUSTADT IN OBERSCHLESIEN","OPP",76,0,2,"1",0,0,1,2,0,0,0,7,1
182,"FALKENBERG","OPP",58,0,0,"0",0,0,0,0,1,0,0,2,0
183,"NEISSE","OPP",73,1,0,"1",0,1,0,0,1,1,1,4,1
184,"GROTTKAU","OPP",46,1,0,"0",0,0,0,0,0,1,0,3,0
185,"GRUNBERG","LIE",66,1,1,"1",0,0,0,1,0,2,0,2,2
186,"FREISTADT","LIE",65,1,1,"0",0,0,0,3,1,1,0,0,0
187,"SAGAN","LIE",80,1,1,"0",0,1,0,0,0,1,0,1,1
188,"SPROTTAU","LIE",53,0,0,"0",0,0,0,0,0,0,0,1,1
189,"GLOGAU","LIE",94,1,1,"0",0,2,0,1,0,2,0,1,2
190,"LUBEN","LIE",54,1,1,"0",0,0,0,0,0,0,0,0,1
191,"BUNZLAU","LIE",87,2,2,"0",0,1,1,1,0,0,0,1,1
192,"GOLDBERG-HAINAU","LIE",65,1,0,"0",0,0,0,1,0,1,0,1,1
193,"LIEGNITZ LANDKREIS","LIE",83,0,0,"0",1,2,0,1,1,1,1,1,2
194,"JAUER","LIE",50,1,0,"0",0,0,0,0,0,1,0,1,0
195,"SCHONAU","LIE",43,0,0,"0",0,0,0,1,0,1,0,0,0
196,"BOLKENHAIN","LIE",58,0,0,"0",0,0,0,0,1,1,0,0,0
197,"LANDESHUT","LIE",58,0,0,"1",0,0,0,0,0,1,0,0,1
198,"HIRSCHBERG","LIE",92,0,0,"0",0,1,0,0,1,1,1,1,2
199,"LOWENBERG","LIE",136,1,2,"0",0,0,1,1,0,1,0,2,1
200,"LAUBAN","LIE",72,1,1,"0",0,1,0,1,0,0,0,1,1
201,"GORLITZ LANDKREIS","LIE",56,1,2,"1",0,1,1,3,1,1,3,2,4
202,"ROTHENBURG","LIE",67,0,0,"0",1,1,0,3,0,2,0,1,2
203,"HOYERSWERDA","LIE",54,0,0,"0",0,0,0,0,2,0,0,4,0
204,"OSTERBURG","MAG",111,1,0,"0",1,0,1,0,1,1,0,1,0
205,"SALZWEDEL","MAG",142,1,2,"0",0,1,0,1,0,0,0,1,3
206,"GARDELEGEN","MAG",104,1,0,"0",0,0,0,0,0,0,0,0,3
207,"STENDAL","MAG",102,0,1,"0",0,1,0,3,0,0,0,2,1
208,"JERICHOW I","MAG",97,2,0,"0",0,1,0,1,0,1,0,2,1
209,"JERICHOW II","MAG",95,0,0,"0",0,0,0,3,0,0,0,0,1
210,"KALBE","MAG",58,8,6,"",0,0,1,3,0,0,0,1,3
211,"MAGDEBURG","MAG",16,9,4,"1",0,2,0,3,0,1,1,2,3
212,"WANZLEBEN","MAG",53,0,0,"0",0,0,0,4,0,0,0,0,1
213,"WOLMIRSTEDT","MAG",56,0,0,"0",0,0,0,3,1,0,0,0,2
214,"NEUHALDENSLEBEN","MAG",62,0,0,"0",0,0,0,1,0,1,0,1,1
215,"OSCHERSLEBEN","MAG",41,5,0,"0",0,0,0,1,0,0,1,0,0
216,"ASCHERSLEBEN","MAG",36,2,3,"1",0,1,0,6,1,1,1,1,1
217,"HALBERSTADT LANDKREIS","MAG",44,1,1,"1",0,1,1,2,0,1,1,1,2
218,"WERNIGERODE","MAG",22,1,1,"0",0,1,0,1,0,1,0,1,4
219,"LIEBENWERDA","MER",67,0,0,"0",0,0,1,0,0,0,0,0,0
220,"TORGAU","MER",77,2,2,"0",0,1,0,1,0,0,0,2,1
221,"SCHWEINITZ","MER",80,1,1,"0",0,0,0,0,0,1,0,0,0
222,"WITTENBERG","MER",70,0,0,"0",1,1,0,1,0,1,0,1,1
223,"BITTERFELD","MER",81,2,2,"0",0,0,0,1,0,0,0,1,0
224,"SAALKREIS","MER",89,0,0,"0",0,0,0,0,0,0,0,0,0
225,"DELITZSCH","MER",102,1,2,"1",0,0,0,2,0,1,0,2,2
226,"MANSFELDER GEBIRGSKR","MER",53,0,0,"0",0,0,0,0,0,0,0,0,0
227,"HALLE","MER",7,2,3,"1",1,2,0,0,0,1,1,1,3
228,"MANSFELDER SEEKREIS","MER",79,1,1,"0",0,1,1,4,0,0,1,1,1
229,"SANGERHAUSEN","MER",93,2,2,"0",0,0,0,0,0,0,0,1,2
230,"ECKARTSBERGA","MER",84,0,0,"0",1,0,0,1,4,0,0,0,0
231,"QUERFURT","MER",94,1,1,"0",0,1,0,0,2,1,0,1,0
232,"MERSEBURG","MER",96,1,2,"0",0,1,0,2,1,0,0,2,4
233,"WEISSENFELS LANDKREIS","MER",91,2,3,"0",0,0,3,1,1,0,0,0,1
234,"NAUMBURG","MER",35,0,1,"1",0,2,0,2,0,0,0,1,1
235,"ZEITZ LANDKREIS","MER",48,1,2,"1",0,1,0,0,0,0,0,2,1
236,"NORDHAUSEN LANDKREIS","ERF",78,0,0,"1",0,1,0,0,1,0,0,2,2
237,"WORBIS","ERF",59,0,0,"0",0,0,0,1,0,2,1,0,0
238,"HEILIGENSTADT","ERF",71,0,0,"0",0,1,1,0,0,1,0,0,1
239,"MUHLHAUSEN LANDKREIS","ERF",59,1,1,"0",0,1,1,1,0,0,1,1,2
240,"LANGENSALZA","ERF",55,2,2,"1",0,0,0,1,0,1,0,1,1
241,"WEISSENSEE","ERF",52,0,0,"0",0,0,0,1,0,0,0,0,0
242,"ERFURT LANDKREIS","ERF",62,0,1,"1",0,1,1,0,0,0,3,1,0
243,"ZIEGENRUCK","ERF",26,0,0,"0",0,0,0,0,0,0,0,3,0
244,"SCHLEUSINGEN","ERF",54,1,1,"0",0,1,0,0,0,0,0,3,0
245,"TECKLENBURG","MUN",65,2,0,"0",0,0,0,2,3,0,0,2,2
246,"WARENDORF","MUN",22,0,0,"0",0,1,0,1,0,1,0,1,0
247,"BECKUM","MUN",35,2,0,"0",0,0,0,6,2,0,0,0,0
248,"LUDINGHAUSEN","MUN",34,0,0,"0",0,0,0,3,3,0,1,0,0
249,"MUNSTER LANDKREIS","MUN",33,0,0,"0",0,0,0,1,2,1,0,0,0
250,"MUNSTER STADTKREIS","MUN",10,0,0,"1",0,1,1,2,0,2,1,1,2
251,"STEINFURT","MUN",37,0,0,"1",0,2,1,2,4,2,0,2,1
252,"KOESFELD","MUN",44,3,0,"0",0,1,0,4,0,3,0,0,1
253,"AHAUS","MUN",33,0,0,"0",1,0,0,0,2,0,0,1,0
254,"BORKEN","MUN",43,2,0,"0",0,0,0,2,1,1,0,1,2
255,"RECKLINGHAUSEN LANDKREIS","MUN",48,1,0,"0",1,1,0,2,1,1,0,2,2
256,"MINDEN","MIN",81,0,1,"0",0,1,1,4,4,1,1,1,1
257,"LUBBECKE","MIN",47,0,0,"0",0,0,0,2,2,0,0,0,0
258,"HERFORD","MIN",58,0,0,"0",0,1,0,2,2,1,0,2,3
259,"HALLE","MIN",32,0,0,"0",0,0,0,3,1,0,0,0,0
260,"BIELEFELD LANDKREIS","MIN",35,0,1,"0",0,1,0,1,0,1,2,1,1
261,"WIEDENBRUCK","MIN",53,1,0,"0",1,1,0,1,0,1,0,3,1
262,"PADERBORN","MIN",46,0,0,"0",0,1,1,1,0,2,0,5,1
263,"BUREN","MIN",70,0,0,"0",0,0,1,3,0,0,0,0,0
264,"WARBURG","MIN",68,0,1,"0",1,0,0,3,0,0,0,1,0
265,"HOXTER","MIN",85,1,0,"0",0,0,0,5,3,3,0,2,2
266,"ARNSBERG","ARN",42,1,0,"0",0,1,0,2,0,3,0,3,0
267,"MESCHEDE","ARN",42,3,0,"0",0,0,0,6,0,0,0,3,0
268,"BRILON","ARN",80,0,0,"0",0,1,0,3,0,0,0,2,0
269,"LIPPSTADT","ARN",47,1,0,"1",0,0,0,4,0,1,0,4,3
270,"SOEST","ARN",55,1,0,"0",0,1,1,19,0,1,0,9,3
271,"HAMM LANDKREIS","ARN",56,2,0,"0",0,1,0,2,0,3,0,3,4
272,"DORTMUND LANDKREIS","ARN",71,4,0,"1",0,1,0,3,0,3,0,7,4
273,"BOCHUM LANDKREIS","ARN",56,3,0,"0",0,0,0,5,7,3,1,3,3
274,"HAGEN LANDKREIS","ARN",83,4,2,"1",0,0,0,6,4,1,1,13,3
275,"ISERLOHN","ARN",39,3,0,"0",0,0,0,4,1,1,1,4,1
276,"ALTENA","ARN",55,1,1,"1",0,0,0,5,1,1,1,4,1
277,"OLPE","ARN",66,1,0,"0",1,0,0,1,1,0,0,2,0
278,"SIEGEN","ARN",105,1,0,"1",0,0,0,2,3,1,2,12,1
279,"WITTGENSTEIN","ARN",50,0,0,"0",0,0,0,6,0,0,0,3,1
280,"WIPPERFURTH","KOL",31,0,0,"1",1,0,0,1,0,0,0,0,0
281,"WALDBROL","KOL",30,0,0,"0",0,0,0,1,1,0,1,0,0
282,"GUMMERSBACH","KOL",39,0,0,"1",0,0,0,1,0,0,0,0,1
283,"SIEGKREIS","KOL",89,1,0,"0",1,0,0,2,2,3,0,2,2
284,"MULHEIM RHEIN LANDKREIS","KOL",40,0,0,"1",1,0,0,2,1,2,1,2,2
285,"KOLN STADTKREIS","KOL",71,0,0,"1",0,3,0,9,2,14,3,7,11
286,"KOLN LANDKREIS","KOL",73,0,0,"0",0,0,1,7,3,0,0,2,2
287,"BERGHEIM","KOL",58,1,0,"0",1,1,0,4,1,1,0,1,1
288,"EUSKIRCHEN","KOL",83,2,0,"0",0,0,0,2,1,0,0,0,0
289,"RHEINBACH","KOL",59,0,0,"0",0,1,0,1,2,1,0,0,0
290,"BONN LANDKREIS","KOL",56,0,0,"0",0,1,0,6,3,7,1,1,2
291,"KLEVE","DUS",71,0,3,"1",0,1,0,4,3,1,0,2,4
292,"REES","DUS",51,3,0,"0",0,2,0,1,1,5,0,1,7
293,"KREFELD LANDKREIS","DUS",47,0,3,"3",0,0,0,1,0,1,2,2,6
294,"DUISBURG","DUS",81,0,1,"3",0,1,0,3,2,3,0,2,5
295,"ESSEN LANDKREIS","DUS",45,0,3,"3",1,1,0,6,0,1,0,2,6
296,"MORS","DUS",76,1,0,"0",1,0,1,4,3,2,0,0,4
297,"GELDERN","DUS",43,0,1,"0",0,0,0,0,1,0,0,0,0
298,"KEMPEN","DUS",54,0,0,"1",0,1,1,0,4,2,0,3,1
299,"DUSSELDORF LANDKREIS","DUS",79,0,0,"2",0,1,1,7,3,8,1,2,9
300,"METTMANN","DUS",49,1,0,"0",0,0,0,2,4,0,0,0,4
301,"ELBERFELD","DUS",20,0,1,"1",0,1,0,5,0,1,2,3,8
302,"BARMEN","DUS",22,0,2,"1",1,0,0,1,0,0,1,2,11
303,"LENNEP","DUS",71,1,0,"3",0,0,0,2,2,2,0,0,2
304,"SOLINGEN LANDKREIS","DUS",64,0,0,"3",0,0,0,2,2,2,0,0,1
305,"NEUSS","DUS",39,0,0,"0",0,1,0,2,1,1,0,2,3
306,"GREVENBROICH","DUS",51,2,0,"0",0,0,0,1,2,0,0,2,0
307,"GLADBACH","DUS",55,2,2,"2",1,0,0,5,2,2,0,3,6
308,"KOBLENZ LANDKREIS","KOB",84,1,1,"1",0,1,0,4,2,10,1,2,2
309,"SANKT GOAR","KOB",63,0,0,"1",0,0,0,1,1,3,0,0,1
310,"KREUZNACH","KOB",152,0,0,"3",0,1,0,3,0,3,1,1,2
311,"SIMMERN","KOB",123,0,0,"3",0,0,0,0,0,0,0,1,0
312,"ZELL","KOB",70,1,0,"0",1,0,1,0,0,2,0,0,1
313,"KOCHEM","KOB",83,0,0,"0",0,0,0,1,1,0,0,1,0
314,"MAYEN","KOB",119,0,1,"1",1,0,0,1,1,0,0,1,1
315,"ADENAU","KOB",64,0,0,"0",0,0,0,0,0,0,0,0,0
316,"AHRWEILER","KOB",50,0,0,"1",0,0,0,3,1,3,0,0,1
