id1816,kreiskey1800,county,rb,edu1816_pub_ele_stud_m,edu1816_pub_ele_stud_f,edu1816_pri_ele_stud_m,edu1816_pri_ele_stud_f,edu1816_pub_mim_stud_m,edu1816_pub_mif_stud_f,edu1816_pri_mim_stud_m,edu1816_pri_mif_stud_f,edu1816_pub_gel_stud_m
143,212,"Lippstadt","ARN",1319,1378,0,0,0,0,0,0,0
144,144,"Löwenberg","LIE",4677,4945,0,0,61,38,0,0,0
145,124,"Lublinitz","OPP",1860,1812,0,0,0,0,0,0,0
146,76,"Luckau","FRA",1987,1935,0,0,0,0,0,0,0
147,34,"Lübben","FRA",1847,1731,0,0,0,0,0,0,0
148,139,"Lüben","LIE",1934,1924,0,0,0,0,0,0,0
149,191,"Lüdingshausen","MUN",2028,2212,0,0,0,0,0,0,0
150,155,"Magdeburg","MAG",1211,1164,325,368,211,0,183,422,389
151,253,"Maien","KOB",2178,1964,0,0,0,0,0,0,0
152,281,"Malmedy","AAC",518,607,131,95,0,0,29,13,0
153,171,"Mansfeld, Gebirgskreis","MER",2139,2088,0,0,0,0,0,0,0
154,170,"Mansfeld, Seekreis","MER",2513,2486,0,0,73,91,0,0,183
155,11,"Marienburg","DAN",3660,2772,0,0,151,102,0,0,0
156,17,"Marienwerder","MAR",3196,2964,46,63,0,0,0,0,145
157,38,"Memel","KON",1234,968,27,87,43,0,21,26,0
158,175,"Merseburg","MER",3042,3111,45,60,122,146,25,30,128
159,267,"Merzig","TRI",1225,1096,0,0,0,0,0,0,0
160,25,"Meseritz","POS",248,305,0,0,50,0,0,0,0
161,106,"Militsch","BRE",2942,2743,0,0,0,0,0,0,0
162,199,"Minden","MIN",3321,2739,157,226,0,0,0,0,117
163,3,"Mohrungen","KON",4962,4618,0,0,0,0,0,0,0
164,279,"Montjoie","AAC",539,456,0,0,0,0,0,0,0
165,182,"Mühlhausen","ERF",2453,2279,0,0,19,174,14,9,89
166,227,"Mühlheim","KOL",,,0,0,0,0,0,0,0
167,192,"Münster","MUN",1986,1751,0,0,0,0,0,0,77
168,116,"Münsterberg","BRE",1367,1129,0,0,0,0,0,0,0
169,102,"Namslau","BRE",1654,1604,0,0,0,0,0,0,0
170,86,"Naugard","STE",839,639,132,118,82,0,0,0,0
171,177,"Naumburg","MER",359,487,146,0,260,0,18,7,100
172,4,"Neidenburg","KON",3750,3499,0,0,0,0,0,0,0
173,132,"Neisse","OPP",4233,4079,0,0,0,0,0,0,282
174,110,"Neumarkt","BRE",2380,2241,0,0,0,0,0,0,0
175,244,"Neuss","DUS",1204,1153,138,85,80,50,0,0,0
176,130,"Neustadt","OPP",3468,3344,0,0,0,0,0,0,0
177,256,"Neuwied","KOB",2144,1922,0,36,36,0,153,73,0
178,8,"Niederung","GUM",1536,1392,0,0,0,0,0,0,0
179,115,"Nimptsch","BRE",1664,1538,0,0,0,0,0,0,0
180,179,"Nordhausen","ERF",2918,2930,0,0,63,40,0,0,0
181,42,"Obernik","POS",615,442,0,0,80,26,0,0,0
182,104,"Oels","BRE",3070,3041,83,77,0,0,0,28,196
183,112,"Ohlau","BRE",2365,2204,0,0,0,0,0,0,0
184,9,"Oletzko","GUM",3059,2855,0,0,0,0,0,0,0
185,122,"Oppeln","OPP",4183,4143,0,0,0,0,0,0,173
186,159,"Oschersleben","MAG",2122,2339,0,0,0,0,0,0,0
187,148,"Osterburg","MAG",2111,1866,0,0,0,0,0,0,0
188,37,"Osterwiek","MAG",3057,3060,0,0,0,0,0,0,195
189,270,"Ottweiler","TRI",111,748,0,0,0,0,0,0,0
190,205,"Paderborn","MIN",2194,1950,0,0,30,0,0,0,50
191,84,"Piritz","STE",2482,2365,0,0,0,0,0,0,0
192,31,"Pless","OPP",2259,1910,0,0,0,0,0,0,0
193,24,"Posen","POS",1627,487,311,289,158,57,33,209,593
194,51,"Prenzlow","POT",2244,1480,13,13,92,77,79,132,85
195,63,"(Ost-)Priegnitz","POT",2963,2839,128,99,80,0,0,0,0
196,64,"(West-)Priegnitz","POT",3005,2800,0,0,0,0,0,0,0
197,260,"Prüm","TRI",1435,1453,0,0,0,0,0,0,0
198,174,"Querfurt","MER",2443,2475,0,0,0,0,0,0,0
199,200,"Rahden","MIN",2437,2259,0,0,0,0,0,0,0
200,82,"Randow","STE",2832,2579,0,0,0,0,0,0,0
201,5,"Rastenburg","KON",3159,2997,0,0,0,0,0,0,0
202,127,"Ratibor","OPP",2009,1656,0,0,0,0,0,24,0
203,198,"Recklinghausen","MUN",2827,2580,0,0,0,0,0,0,0
204,235,"Rees","DUS",1227,1047,32,58,100,0,26,0,100
205,89,"Regenwalde","STE",871,722,0,0,0,0,0,0,0
206,118,"Reichenbach","BRE",2294,2213,0,0,522,0,0,0,0
207,232,"Rheinbach","KOL",,,,,,,,,
208,237,"Rheinberg","DUS",1861,1529,0,0,0,0,0,0,0
209,121,"Rosenberg","OPP",1637,1532,0,0,0,0,0,0,0
210,147,"Rothenburg","LIE",1944,1785,0,0,0,0,0,0,0
211,96,"Rummelsburg","KOS",743,639,0,0,0,0,0,0,0
212,62,"Ruppin","POT",3241,2825,129,147,0,0,0,26,90
213,168,"Saalkreis","MER",2361,2261,0,0,0,0,0,0,0
214,269,"Saarbrücken","TRI",584,645,0,0,46,0,14,0,0
215,266,"Saarburg","TRI",1518,1297,0,0,0,0,0,0,0
216,268,"Saarlouis","TRI",1987,1992,0,4,36,0,0,0,0
217,85,"Saazig","STE",3071,2568,70,50,54,108,0,47,205
218,136,"Sagan","LIE",2670,2599,7,12,130,86,86,38,38
219,149,"Salzwedel","MAG",2120,2075,80,103,0,0,0,35,176
220,172,"Sangerhausen","MER",2671,3328,0,0,133,0,0,0,0
221,90,"Schiefelbein","KOS",669,592,0,0,0,0,0,0,0
222,43,"Schildberg","POS",943,798,0,0,0,0,0,0,0
223,95,"Schlawe","KOS",2589,2047,0,0,33,0,0,0,0
224,187,"Schleusingen","ERF",1670,1660,0,0,274,155,0,0,0
225,40,"Schrimm","POS",492,305,0,0,0,0,0,0,0
226,39,"Schrodda","POS",194,129,0,0,0,0,0,0,0
227,30,"Schweidnitz","BRE",5870,5943,0,0,0,121,0,10,124
228,164,"Schweinitz","MER",1564,1563,0,0,0,0,0,0,0
229,226,"Siegburg","KOL",,,,,,,,,
230,221,"Siegen","ARN",2851,2620,0,0,0,0,0,0,55
231,247,"Simmern","KOB",1916,1671,0,0,0,0,0,0,0
232,213,"Soest","ARN",2312,2138,0,0,72,0,0,0,75
233,66,"Soldin","FRA",1694,1577,25,14,84,78,8,0,0
234,243,"Solingen","DUS",1647,1449,0,0,0,0,0,0,0
235,79,"Sorau","FRA",2815,2525,0,0,0,0,0,0,187
236,36,"Spremberg","FRA",1216,1229,0,0,0,0,0,0,0
237,137,"Sprottau","LIE",1457,1469,0,0,0,0,0,0,0
238,8,"Stallupöhnen","GUM",3416,3135,0,0,0,0,0,0,0
239,15,"Stargard","DAN",697,561,0,0,0,0,0,0,0
240,108,"Steinau","BRE",1239,1132,0,0,0,0,0,0,0
241,194,"Steinfurt","MUN",2023,1992,0,0,0,0,0,0,0
242,151,"Stendal","MAG",2204,1943,32,70,0,0,0,60,65
243,72,"Sternberg","FRA",2872,2811,0,0,0,0,0,0,0
244,92,"(Neu-)Stettin","KOS",2195,1925,0,0,0,0,0,0,0
245,97,"Stolp","KOS",2225,2022,0,0,268,85,45,31,0
246,114,"Strehlen","BRE",1101,998,0,0,0,0,0,0,0
247,123,"(Gross-)Strehlitz","OPP",881,754,0,0,0,0,0,0,0
248,119,"Striegau","BRE",1451,1424,0,0,0,0,0,0,0
249,188,"Teklenburg","MUN",2884,2419,0,0,0,0,0,0,0
250,56,"Teltow","POT",3636,3521,0,0,150,135,0,121,0
251,52,"Templin","POT",1871,1729,0,0,0,0,0,0,0
252,12,"Thorn","MAR",860,666,104,139,0,0,10,40,120
253,8,"Tilsit","GUM",2171,1653,10,24,0,0,0,98,145
254,163,"Torgau","MER",3855,2807,0,0,295,231,0,0,76
255,125,"Tost","OPP",2548,2371,0,0,0,0,0,0,141
256,105,"Trebnitz","BRE",2745,2718,0,0,0,0,0,0,0
257,263,"Trier, Stadtkreis","TRI",955,838,20,30,0,0,0,0,622
258,264,"Trier, Landkreis","TRI",2505,2280,0,0,0,0,0,0,0
259,23,"Tscharnikow","BRO",1434,1349,0,0,0,0,0,0,0
260,226,"Ukerath","KOL",,,,,,,,,
261,81,"Usedom","STE",713,668,42,66,125,74,20,8,0
262,225,"Waldbröl","KOL",,,,,,,,,
263,156,"Wanzleben","MAG",2250,2409,0,0,0,0,0,0,0
264,207,"Warburg","MIN",2496,2341,0,0,0,0,0,0,0
265,189,"Warendorf","MUN",2055,2050,0,0,15,0,20,8,51
266,103,"Wartenberg","BRE",1539,1543,0,0,0,0,0,0,0
267,176,"Weissenfels","MER",2646,2590,0,0,420,456,8,0,0
268,184,"Weissensee","ERF",1080,1046,0,0,0,0,0,0,0
269,258,"Wetzlar","KOB",1029,1012,0,0,135,125,0,0,21
270,204,"Wiedenbrück","MIN",1846,1662,0,0,0,0,0,0,0
271,223,"Wipperfürth","KOL",,,,,,,,,
272,22,"Wirlitz","BRO",1181,772,0,0,0,0,0,0,0
273,165,"Wittenberg","MER",1858,1849,0,0,422,465,0,0,36
274,222,"Wittgenstein","ARN",1378,1302,0,0,0,0,0,0,0
275,262,"Wittlich","TRI",1747,1469,0,0,0,0,0,0,0
276,109,"Wohlau","BRE",2522,2551,0,0,0,0,0,0,0
277,157,"Wollmirstädt","MAG",2715,2592,0,0,0,0,0,0,0
278,49,"Wongrowiz","BRO",177,86,0,0,0,0,0,0,0
279,180,"Worbis","ERF",2237,2142,0,0,0,0,0,0,0
280,178,"Zeiz","MER",1584,1630,89,28,0,136,0,0,271
281,251,"Zell","KOB",1693,1551,0,0,0,0,0,0,0
282,186,"Ziegenrück","ERF",471,529,0,0,0,0,0,0,0
283,73,"Züllichau","FRA",1859,1745,68,76,66,0,0,20,258
284,220,"Bilstein","ARN",1510,1429,0,0,0,0,0,0,0
285,280,"Blankenheim","AAC",793,784,0,0,0,0,0,0,0
286,1,"Brandenburg","KON",4015,3578,0,0,0,0,0,0,0
287,258,"Braunfels","KOB",1666,1535,0,0,0,0,0,0,0
288,11,"Christburg","MAR",1218,1019,0,0,0,0,0,0,0
289,16,"Dirschau","DAN",1644,1398,0,0,0,0,0,0,0
290,22,"Kammin","MAR",1058,755,0,0,0,0,0,0,0
291,256,"Linz","KOB",720,656,0,0,0,0,0,0,0
292,210,"Medebach","ARN",1370,1263,0,0,0,0,0,0,0
293,38,"Memel","GUM",1666,1712,0,0,0,0,0,0,0
294,241,"Mettmann","DUS",1391,1222,0,0,0,0,0,0,0
295,13,"Michelau","MAR",640,435,0,0,0,0,0,0,0
296,15,"Neuenburg","MAR",1012,903,0,0,0,0,0,0,0
297,243,"Opladen","DUS",1428,1155,0,0,0,0,0,0,0
298,89,"Osten","STE",255,215,0,0,0,0,0,0,0
299,26,"Peisern","POS",103,55,0,0,0,0,0,0,0
300,10,"Rhein","GUM",2073,1727,0,0,0,0,0,0,0
301,6,"Schaken","KON",5272,4375,0,0,0,0,0,0,0
302,7,"Tapiau","KON",2998,2886,0,0,0,0,0,0,0
303,281,"St. Vith","AAC",848,711,0,0,0,0,0,0,0
304,276,"Aachen","AAC",699,692,0,0,0,0,0,0,0
305,228,"Köln","KOL",,,,,,,,,
306,193,"Münster","MUN",974,1129,0,0,0,0,0,0,0
307,59,"Potsdam","POT",432,248,265,211,46,55,63,114,171
308,50,"Berlin","POT",3013,2469,1439,1392,1969,0,1356,2132,1789
