id1816,kreiskey1800,county,rb,land1816_far_ext_ov300,land1816_far_ext_15to30,land1816_far_ext_un15
194,51,"Prenzlow","POT",74,1020,566
195,63,"(Ost-)Priegnitz","POT",95,2576,936
196,64,"(West-)Priegnitz","POT",66,2099,1143
197,260,"Prüm","TRI",16,1565,1379
198,174,"Querfurt","MER",41,1395,3753
199,200,"Rahden","MIN",20,1606,2722
200,82,"Randow","STE",73,1332,683
201,5,"Rastenburg","KON",106,2463,477
202,127,"Ratibor","OPP",34,971,3923
203,198,"Recklinghausen","MUN",11,1355,1907
204,235,"Rees","DUS",17,690,619
205,89,"Regenwalde","STE",39,469,281
206,118,"Reichenbach","BRE",23,583,1482
207,232,"Rheinbach","KOL",,,
208,237,"Rheinberg","DUS",8,1400,2703
209,121,"Rosenberg","OPP",30,630,1560
210,147,"Rothenburg","LIE",59,672,3059
211,96,"Rummelsburg","KOS",55,658,260
212,62,"Ruppin","POT",73,2159,1503
213,168,"Saalkreis","MER",35,1148,1390
214,269,"Saarbrücken","TRI",12,1226,2272
215,266,"Saarburg","TRI",6,574,3238
216,268,"Saarlouis","TRI",32,1526,3844
217,85,"Saazig","STE",69,2213,469
218,136,"Sagan","LIE",78,1046,2061
219,149,"Salzwedel","MAG",16,1770,1054
220,172,"Sangerhausen","MER",28,995,2989
221,90,"Schiefelbein","KOS",35,438,219
222,43,"Schildberg","POS",41,505,2320
223,95,"Schlawe","KOS",71,1684,802
224,187,"Schleusingen","ERF",8,629,3448
225,40,"Schrimm","POS",34,670,1551
226,39,"Schrodda","POS",44,912,639
227,30,"Schweidnitz","BRE",78,1994,4938
228,164,"Schweinitz","MER",21,1197,2286
229,226,"Siegburg","KOL",,,
230,221,"Siegen","ARN",0,864,3490
231,247,"Simmern","KOB",1,1028,3270
232,213,"Soest","ARN",2,1140,1059
233,66,"Soldin","FRA",67,1073,451
234,243,"Solingen","DUS",1,302,1855
235,79,"Sorau","FRA",50,1155,3308
236,36,"Spremberg","FRA",26,497,3650
237,137,"Sprottau","LIE",17,488,993
238,8,"Stallupöhnen","GUM",47,5230,570
239,15,"Stargard","DAN",130,2085,451
240,108,"Steinau","BRE",34,278,1015
241,194,"Steinfurt","MUN",18,1246,2502
242,151,"Stendal","MAG",41,1693,1593
243,72,"Sternberg","FRA",62,2416,1366
244,92,"(Neu-)Stettin","KOS",58,1600,1548
245,97,"Stolp","KOS",161,1752,505
246,114,"Strehlen","BRE",40,741,1216
247,123,"(Gross-)Strehlitz","OPP",20,817,1470
248,119,"Striegau","BRE",32,423,1052
249,188,"Teklenburg","MUN",7,1193,3938
250,56,"Teltow","POT",126,2220,1599
251,52,"Templin","POT",40,886,606
252,12,"Thorn","MAR",103,1462,608
253,8,"Tilsit","GUM",35,3281,669
254,163,"Torgau","MER",45,981,1975
255,125,"Tost","OPP",32,1495,2945
256,105,"Trebnitz","BRE",134,695,3435
257,263,"Trier, Stadtkreis","TRI",3,15,650
258,264,"Trier, Landkreis","TRI",13,1789,5651
259,23,"Tscharnikow","BRO",12,1393,1068
260,226,"Ukerath","KOL",,,
261,81,"Usedom","STE",25,485,402
262,225,"Waldbröl","KOL",,,
263,156,"Wanzleben","MAG",59,1180,1336
264,207,"Warburg","MIN",29,1382,1352
