kreiskey1864,county,rb,edu1864_pub_ele_tea_m,edu1864_pub_ele_tea_f,edu1864_pub_mim_tea_m,edu1864_pub_mif_tea_m,edu1864_pub_mif_tea_f,edu1864_pub_rea_tea_m,edu1864_pub_pgy_tea_m,edu1864_pub_gym_tea_m,edu1864_pri_ele_tea_m,edu1864_pri_ele_tea_f,edu1864_pri_hsm_tea_m,edu1864_pri_hsf_tea,edu1864_pri_voc_tea_m,edu1864_pri_sun_tea_m
218,"WERNIGERODE","MAG",32,0,3,"3",3,0,0,12,0,1,0,"6",0,1
219,"LIEBENWERDA","MER",98,0,0,"0",0,0,0,0,0,0,0,"0",0,0
220,"TORGAU","MER",124,4,16,"6",4,0,0,15,1,0,0,"0",0,0
221,"SCHWEINITZ","MER",102,0,4,"3",0,0,0,0,0,0,0,"1",0,0
222,"WITTENBERG","MER",116,7,0,"0",0,0,8,13,1,0,0,"3",0,0
223,"BITTERFELD","MER",103,2,7,"7",0,0,0,0,1,0,0,"0",0,0
224,"SAALKREIS","MER",123,1,0,"0",0,0,0,0,0,0,0,"0",0,0
225,"DELITZSCH","MER",128,2,4,"6",2,8,0,0,1,0,0,"2",0,0
226,"MANSFELDER GEBIRGSKR","MER",77,1,0,"0",0,0,0,0,0,0,0,"0",0,0
227,"HALLE","MER",34,10,50,"29",21,23,4,42,0,0,0,"8",3,0
228,"MANSFELDER SEEKREIS","MER",112,2,6,"5",2,0,0,10,4,0,0,"0",2,0
229,"SANGERHAUSEN","MER",121,0,5,"5",2,0,0,0,0,0,0,"0",0,0
230,"ECKARTSBERGA","MER",107,0,0,"0",0,0,3,0,2,0,10,"0",0,0
231,"QUERFURT","MER",117,1,5,"4",0,0,0,9,0,0,2,"1",0,0
232,"MERSEBURG","MER",129,1,9,"11",5,0,0,11,5,0,1,"0",0,0
233,"WEISSENFELS LANDKREIS","MER",114,0,9,"9",1,0,0,0,1,0,3,"0",0,0
234,"NAUMBURG","MER",62,8,0,"5",3,7,0,31,1,1,0,"0",0,0
