kreiskey1888,county,rb,edu1886_loc_scd,edu1886_loc_sco,edu1886_dif_scd,edu1886_dif_sco,edu1886_tot_scd,edu1886_tot_sco,edu1886_pro_sco,edu1886_pro_cla,edu1886_cat_sco,edu1886_cat_cla,edu1886_ocr_sco,edu1886_ocr_cla,edu1886_jew_sco,edu1886_jew_cla,edu1886_mix_sco,edu1886_mix_cla,edu1886_new_num,edu1886_new_roo,edu1886_ext_num,edu1886_ext_roo
122,"BUBLITZ","KOS",31,31,13,13,44,44,44,74,0,0,0,0,0,0,0,0,0,0,4,0
123,"SCHLAWE","KOS",121,125,26,26,147,151,151,230,0,0,0,0,0,0,0,0,6,4,15,4
124,"RUMMELSBURG","KOS",38,40,25,25,63,65,65,96,0,0,0,0,0,0,0,0,3,1,5,1
125,"STOLP","KOS",139,142,40,40,179,182,182,278,0,0,0,0,0,0,0,0,12,9,28,2
126,"LAUENBURG","KOS",44,45,41,41,85,86,84,117,0,0,0,0,0,0,2,7,13,8,13,2
127,"BUTOW","KOS",27,27,19,19,46,46,37,50,8,13,0,0,0,0,1,10,6,3,4,0
128,"RUGEN","STR",7,7,82,84,89,91,91,145,0,0,0,0,0,0,0,0,12,8,16,0
129,"STRALSUND","STR",2,7,0,0,2,7,6,48,1,1,0,0,0,0,0,0,1,4,1,2
130,"FRANZBURG","STR",37,37,57,58,94,95,95,146,0,0,0,0,0,0,0,0,7,5,5,1
131,"GREIFSWALD","STR",21,25,63,63,84,88,87,178,1,1,0,0,0,0,0,0,1,1,4,0
132,"GRIMMEN","STR",37,38,51,52,88,90,90,138,0,0,0,0,0,0,0,0,2,3,7,1
133,"WRESCHEN","POS",11,11,35,36,46,47,9,10,36,64,0,0,2,3,0,0,11,4,11,1
134,"JAROTSCHIN","POS",14,14,48,48,62,62,11,20,44,75,0,0,4,6,3,9,21,4,9,0
135,"SCHRODA","POS",17,17,64,64,81,81,23,26,56,89,0,0,2,2,0,0,28,5,14,4
136,"SCHRIMM","POS",10,10,67,67,77,77,21,31,52,111,0,0,3,4,1,2,19,6,21,5
137,"POSEN","POS",1,5,0,0,1,5,0,0,0,0,0,0,0,0,5,99,2,6,0,0
138,"POSEN OST","POS",5,5,29,29,34,34,7,13,23,52,0,0,1,2,3,26,12,3,7,5
