kreiskey1849,county,rb,dis1849_deaf_m_un5,dis1849_deaf_f_un5,dis1849_deaf_m_5to15,dis1849_deaf_f_5to15,dis1849_deaf_m_15to30,dis1849_deaf_f_15to30,dis1849_deaf_m_ov30,dis1849_deaf_f_ov30,dis1849_deaf_tot,dis1849_blind_m_un15,dis1849_blind_f_un15,dis1849_blind_m_15to30,dis1849_blind_f_15to30,dis1849_blind_m_ov30,dis1849_blind_f_ov30,dis1849_blind_tot
126,"Cammin","STE",1,2,5,2,3,3,7,5,28,2,2,1,1,11,4,21
127,"Greiffenberg","STE",1,0,6,3,8,7,2,5,32,0,1,0,4,12,8,25
128,"Regenwalde","STE",1,0,6,3,8,5,4,4,31,2,3,1,0,9,8,0
129,"Schiefelbein","KOS",0,0,0,1,2,1,2,1,7,0,0,1,0,1,1,3
130,"Dramburg","KOS",1,0,5,2,2,4,2,1,17,0,1,1,3,2,3,10
131,"Neustettin","KOS",0,2,5,5,11,10,9,7,49,0,1,1,1,7,7,17
132,"Belgard","KOS",1,1,3,3,7,4,8,4,4,31,0,1,0,13,4,19
133,"Fürstenthum","KOS",4,1,12,8,8,15,17,11,76,2,3,9,6,21,19,60
134,"Schlawe","KOS",1,1,6,9,9,10,11,11,58,2,2,2,2,18,14,40
135,"Rummelsburg","KOS",2,0,7,5,5,9,8,1,37,1,1,2,1,11,8,24
136,"Stolpe","KOS",1,1,13,10,11,12,17,16,81,3,3,5,5,26,21,63
137,"Lauenburg","KOS",0,0,1,4,7,5,7,7,31,0,2,4,0,13,7,26
138,"Bütow","KOS",1,0,2,0,2,3,2,3,13,2,1,0,0,4,3,10
139,"Rügen","STR",3,1,6,2,6,4,8,10,40,1,1,2,4,12,13,33
140,"Franzburg","STR",0,0,6,9,17,3,4,14,53,2,0,4,8,20,19,53
141,"Greifswald","STR",0,0,4,2,3,6,6,9,30,2,1,6,3,11,12,35
142,"Grimmen","STR",0,0,3,0,4,1,8,5,21,0,1,2,2,10,7,22
143,"Namslau","BRE",0,0,0,1,5,4,6,8,24,1,0,0,0,7,12,20
144,"Wartenberg","BRE",1,1,7,3,13,6,8,9,48,2,3,5,5,11,21,47
145,"Oels","BRE",0,1,1,2,6,11,10,9,40,4,0,5,3,17,14,43
146,"Trebnitz","BRE",0,0,3,3,4,12,11,11,44,1,2,2,4,11,13,33
147,"Militsch","BRE",1,0,0,1,4,6,11,6,29,4,1,3,2,6,15,31
148,"Gurau","BRE",1,1,4,3,5,5,7,13,39,0,2,2,0,7,7,18
149,"Steinau","BRE",0,0,1,1,3,5,1,8,19,1,0,0,1,10,5,17
150,"Wolau","BRE",1,0,7,1,10,5,8,14,46,2,4,2,1,17,12,38
151,"Neumarkt","BRE",0,0,2,1,2,5,3,8,21,1,2,5,4,11,15,38
152,"Breslau","BRE",1,1,18,18,35,22,22,15,132,16,9,16,7,49,26,123
153,"Olau","BRE",0,0,1,1,6,2,14,9,33,4,2,0,0,9,8,23
154,"Brieg","BRE",1,1,4,2,16,5,12,8,49,3,0,2,0,7,12,24
155,"Strehlen","BRE",0,0,1,0,4,9,3,2,19,2,1,1,1,6,4,15
156,"Nimtsch","BRE",0,0,1,1,2,0,6,3,13,0,0,0,0,5,8,13
157,"Münsterberg","BRE",0,0,0,2,4,5,8,3,22,1,0,0,0,9,8,18
158,"Frankenstein","BRE",0,0,1,2,4,7,6,6,26,0,1,2,0,14,9,26
159,"Reichenbach","BRE",2,0,7,1,8,16,12,8,54,1,0,6,3,22,22,54
160,"Schweidnitz","BRE",1,0,2,3,6,11,4,8,35,3,1,2,2,18,18,44
161,"Striegau","BRE",0,0,0,0,2,0,4,6,12,4,0,0,1,7,4,16
162,"Waldenburg","BRE",0,0,5,4,5,7,15,17,53,4,1,2,0,18,19,44
163,"Glatz","BRE",0,2,4,4,11,8,9,11,49,1,1,5,9,16,21,53
164,"Habelschwerdt","BRE",0,0,2,0,4,10,16,8,40,2,2,1,4,12,11,32
165,"Creutzburg","OPP",0,0,4,4,10,7,9,6,40,3,1,5,1,10,5,25
166,"Rosenberg","OPP",1,0,7,8,6,3,4,1,30,3,1,2,2,7,13,28
167,"Oppeln","OPP",1,3,14,12,16,9,28,12,95,2,2,2,3,14,22,45
168,"Gross-Strehlitz","OPP",3,1,5,5,7,11,5,7,44,5,1,8,2,9,11,36
169,"Lublinitz","OPP",3,0,6,8,4,8,3,5,37,0,0,1,3,7,12,23
170,"Tost","OPP",2,1,15,4,11,12,8,8,61,1,0,4,5,15,26,51
171,"Beuthen","OPP",0,0,15,4,11,18,7,5,60,2,1,5,5,13,22,48
172,"Pless","OPP",1,2,12,8,17,8,11,4,63,6,0,2,2,17,23,50
173,"Riebnick","OPP",1,0,11,8,16,12,4,4,56,2,2,6,3,15,12,40
174,"Ratibor","OPP",1,2,21,19,15,6,12,5,81,3,1,3,6,22,31,66
175,"Cosel","OPP",5,0,9,11,9,14,6,8,62,2,2,0,0,19,22,45
176,"Leobschütz","OPP",4,0,8,5,11,11,9,8,56,2,0,6,0,14,23,45
177,"Neustadt","OPP",1,2,14,14,17,8,13,7,76,4,2,5,1,15,23,50
178,"Falkenberg","OPP",0,0,2,2,2,3,3,11,23,3,0,2,2,8,10,25
179,"Neisse","OPP",1,0,2,3,7,11,0,7,31,2,0,3,3,14,12,34
180,"Grotkau","OPP",0,0,0,3,8,2,12,6,31,0,2,1,1,6,6,16
181,"Grünberg","LIE",2,1,4,3,13,4,7,7,41,1,0,1,4,17,13,36
182,"Freistadt","LIE",1,0,1,2,6,7,12,9,38,0,0,2,1,10,9,22
183,"Sagan","LIE",0,1,2,4,3,4,8,8,30,1,0,1,5,7,17,31
184,"Sprottau","LIE",0,1,1,2,1,4,7,1,17,0,2,1,1,3,8,15
185,"Glogau","LIE",0,0,6,4,5,12,8,14,49,3,0,3,2,26,23,57
186,"Lüben","LIE",1,0,1,2,5,7,8,8,32,0,2,0,0,6,3,11
187,"Bunzlau","LIE",1,0,2,1,13,8,8,8,41,2,2,4,2,19,14,43
188,"Hainau-Goldberg","LIE",0,1,1,2,1,2,9,3,19,2,1,5,2,17,10,37
189,"Liegnitz","LIE",0,1,9,3,12,6,6,8,45,0,2,1,6,15,13,37
190,"Jauer","LIE",0,0,1,2,1,3,6,1,14,1,2,0,1,6,11,21
191,"Schönau","LIE",0,0,2,1,3,3,13,10,32,0,0,1,0,7,13,21
192,"Bolkenhain","LIE",2,1,3,2,3,3,8,5,27,1,0,1,0,11,10,23
193,"Landshut","LIE",1,0,2,2,2,2,10,7,26,2,0,1,3,13,18,37
194,"Hirschberg","LIE",0,0,2,5,10,3,9,9,38,0,0,0,0,15,10,25
195,"Löwenberg","LIE",0,0,5,5,16,15,10,8,59,1,0,5,3,31,15,55
196,"Lauban","LIE",0,3,6,4,10,9,8,13,53,4,3,0,3,33,20,63
197,"Görlitz","LIE",0,0,4,3,4,6,11,4,32,1,0,1,4,19,22,47
198,"Rothenburg","LIE",0,0,3,1,4,5,6,11,30,0,2,3,0,11,6,22
199,"Hoyerswerda","LIE",0,1,2,3,6,10,5,4,31,0,0,1,0,7,6,14
200,"Osterburg","MAG",2,0,2,2,7,3,9,5,30,2,0,3,0,8,14,27
201,"Salzwedel","MAG",1,0,5,1,7,5,8,10,37,1,2,3,2,9,12,29
202,"Gardelegen","MAG",0,0,3,1,6,11,12,9,42,2,2,4,3,9,11,31
203,"Stendal","MAG",2,1,0,0,3,0,9,2,17,1,0,0,2,14,13,30
204,"Jerichow II","MAG",0,0,0,2,4,6,3,5,20,0,0,2,0,7,8,17
205,"Jerichow I","MAG",1,1,8,1,7,8,9,9,44,1,0,0,2,15,10,28
206,"Calbe","MAG",2,0,1,1,7,5,8,6,30,0,1,0,2,12,12,27
207,"Magdeburg","MAG",0,0,0,2,7,7,3,0,19,0,1,3,1,9,9,23
208,"Wanzleben","MAG",2,0,1,3,4,5,8,6,29,1,0,4,0,9,9,23
209,"Wollmirstädt","MAG",1,0,5,5,1,6,7,6,31,3,2,2,7,14,9,37
210,"Neuhaldensleben","MAG",1,0,0,0,6,4,5,3,19,0,1,3,2,16,13,35
211,"Oschersleben","MAG",0,2,6,0,3,5,8,7,31,0,0,0,1,9,6,16
212,"Aschersleben","MAG",1,0,2,0,6,6,6,9,30,3,0,2,1,16,13,35
213,"Halberstadt","MAG",0,0,13,13,15,11,5,8,65,1,0,3,1,14,9,28
214,"Grafschaft Wernigerode","MAG",0,1,0,0,2,1,9,2,15,0,0,0,2,8,5,15
215,"Liebenwerda","MER",0,1,3,2,5,4,11,7,33,0,0,1,0,11,14,26
216,"Torgau","MER",2,1,4,2,10,10,4,9,42,0,1,2,1,18,27,49
217,"Schweinitz","MER",0,1,6,4,3,2,7,9,32,2,1,1,3,10,17,34
218,"Wittenberg","MER",1,2,0,4,4,5,10,13,39,3,0,1,0,15,15,34
219,"Bitterfeld","MER",1,0,3,2,8,4,9,12,39,2,0,2,3,12,13,32
220,"Delitsch","MER",0,0,0,3,0,4,8,8,23,4,1,1,2,13,11,32
221,"Saal-Kreis","MER",0,0,1,2,4,4,10,11,32,1,1,1,1,12,13,29
222,"Halle","MER",1,1,11,11,6,2,1,3,36,5,3,8,4,11,6,37
223,"Seekreis Mannsfeld","MER",2,0,0,1,3,5,10,2,23,0,2,2,3,14,12,33
224,"Gebirgskreis Mannsfeld","MER",1,0,3,3,3,4,4,3,21,3,1,2,1,18,13,38
225,"Sangerhausen","MER",0,0,6,9,15,8,9,11,58,2,1,0,1,19,21,44
226,"Eckartsberga","MER",0,1,1,1,2,2,2,10,19,0,2,2,2,16,8,30
227,"Querfurt","MER",0,0,2,1,0,3,7,9,22,2,1,0,0,12,15,30
228,"Merseburg","MER",1,0,3,3,2,6,10,7,32,2,3,2,4,14,18,43
229,"Weissenfels","MER",0,0,18,11,16,3,3,6,57,2,4,3,1,8,9,27
230,"Naumburg","MER",0,1,3,1,3,3,3,5,19,4,1,1,1,12,14,33
231,"Zeitz","MER",0,0,2,1,4,4,5,7,23,1,0,0,1,6,11,19
232,"Nordhausen","ERF",0,0,5,5,8,2,10,4,34,3,1,5,5,10,6,28
233,"Worbis","ERF",0,0,0,0,12,5,11,7,35,2,1,1,1,15,11,31
234,"Heiligenstadt","ERF",1,0,7,6,7,5,5,11,42,3,2,4,4,20,21,52
235,"Mühlhausen","ERF",2,3,2,3,11,7,11,11,50,2,0,3,0,14,12,31
236,"Langensalza","ERF",0,1,2,0,6,6,8,1,24,0,0,0,1,11,8,20
237,"Weissensee","ERF",0,0,1,2,3,5,6,4,21,0,1,2,2,9,6,20
238,"Erfurt","ERF",0,0,15,12,8,10,8,7,60,1,1,3,1,12,7,25
239,"Ziegenrück","ERF",0,0,0,4,2,1,1,0,8,1,1,0,0,5,6,13
240,"Schleusingen","ERF",0,1,0,0,3,4,12,12,32,1,3,6,2,16,12,40
241,"Tecklenburg","MUN",0,0,0,0,5,3,3,5,19,1,1,1,0,7,9,19
242,"Warendorf","MUN",0,0,0,1,0,1,3,0,5,0,0,0,1,9,7,18
243,"Beckum","MUN",0,0,1,1,3,1,5,2,13,0,0,1,0,10,3,14
244,"Lüdinghausen","MUN",0,0,1,0,5,2,2,2,12,0,0,1,0,10,6,17
245,"Landkreis Münster","MUN",0,0,0,0,1,2,5,0,8,0,0,2,3,8,6,20
246,"Stadt Münster","MUN",0,0,0,0,5,1,2,1,9,0,1,2,0,4,2,9
247,"Steinfurt","MUN",0,0,6,5,8,5,6,3,33,1,1,1,0,12,6,21
248,"Coesfeld","MUN",0,0,0,0,2,0,6,4,12,1,0,1,0,0,3,17
249,"Ahaus","MUN",0,0,1,0,0,0,7,3,11,0,1,2,2,0,6,25
250,"Borken","MUN",1,0,4,0,5,0,7,4,21,0,0,2,1,0,9,24
251,"Recklinghausen","MUN",0,1,1,2,5,5,4,3,21,2,0,2,2,0,8,20
252,"Minden","MIN",1,0,8,8,11,11,6,4,49,0,1,2,3,14,13,33
253,"Lübbecke","MIN",0,0,4,2,3,2,3,4,18,1,0,3,0,11,11,26
254,"Herfort","MIN",0,2,3,2,14,12,4,8,45,3,4,3,4,22,9,45
255,"Halle","MIN",0,0,2,1,3,1,4,4,15,3,0,2,2,8,8,23
256,"Bielefeld","MIN",0,0,1,1,1,1,5,6,15,0,2,1,0,4,6,13
257,"Wiedenbrück","MIN",1,0,5,1,4,1,2,1,15,0,1,1,0,5,3,10
258,"Paderborn","MIN",0,0,1,1,2,2,4,1,11,3,7,3,4,4,8,29
259,"Büren","MIN",1,0,22,13,17,11,2,2,68,1,0,3,2,6,2,14
260,"Warburg","MIN",1,1,5,1,4,2,7,2,23,0,2,2,0,11,5,20
261,"Höxter","MIN",1,0,1,2,6,1,7,3,21,0,0,5,1,11,13,30
262,"Arnsberg","ARN",2,1,1,1,2,1,1,4,13,3,0,2,1,8,5,19
263,"Meschede","ARN",1,0,4,2,10,1,9,1,28,0,1,4,2,14,8,29
264,"Brillon","ARN",1,0,2,0,6,6,5,4,24,3,0,1,1,10,9,24
265,"Lippstadt","ARN",0,0,2,0,5,7,4,2,20,0,1,0,0,8,7,16
266,"Soest","ARN",0,0,22,15,2,1,4,7,51,4,3,6,4,8,5,30
267,"Hamm","ARN",1,0,0,1,6,4,6,5,23,0,1,0,3,17,10,31
268,"Dortmund","ARN",0,1,3,3,12,8,8,4,39,1,0,4,2,15,17,39
269,"Bochum","ARN",0,0,2,2,4,1,2,0,11,1,3,1,0,13,7,25
270,"Hagen","ARN",2,0,3,2,2,4,6,3,22,1,0,2,1,14,7,25
271,"Iserlohn","ARN",2,0,1,1,3,1,5,3,16,0,1,1,1,11,4,18
272,"Altena","ARN",0,0,3,2,6,3,4,1,19,0,0,1,1,7,4,13
273,"Olpe","ARN",0,0,2,0,0,1,5,3,11,0,0,1,2,4,4,11
274,"Siegen","ARN",2,0,2,2,2,1,3,6,18,1,1,1,3,6,7,19
275,"Wittgenstein","ARN",0,0,0,1,2,2,4,6,15,1,0,1,2,7,4,15
276,"Wipperfurt","KOL",0,1,0,1,3,0,4,1,10,0,0,0,0,4,4,8
277,"Gummersbach","KOL",0,0,0,1,5,4,4,4,18,0,0,1,0,5,4,10
278,"Waldbroel","KOL",0,0,0,0,0,4,1,1,6,0,0,0,0,4,2,6
279,"Sieg","KOL",0,0,5,8,10,9,7,3,42,2,0,5,6,19,13,45
280,"Mühlheim","KOL",0,0,3,3,4,3,5,2,20,0,0,3,4,11,8,26
281,"Stadt Cöln","KOL",0,0,23,6,12,2,4,2,49,2,0,5,1,18,24,50
282,"Landkreis Cöln","KOL",1,0,2,1,6,5,3,2,20,0,2,0,2,9,12,25
283,"Bergheim","KOL",0,1,3,0,7,3,3,3,20,0,1,2,1,15,13,32
284,"Euskirchen","KOL",0,0,0,0,6,3,4,0,13,0,1,1,2,12,8,24
285,"Rheinbach","KOL",0,0,0,0,3,0,1,3,7,1,1,0,1,9,8,20
286,"Bonn","KOL",2,1,6,3,7,2,1,4,26,1,0,2,0,15,16,34
287,"Cleve","DUS",0,0,3,0,2,1,4,0,10,1,1,0,0,10,6,18
288,"Rees","DUS",0,1,2,1,7,7,8,3,29,0,2,6,2,16,14,40
289,"Duisburg","DUS",1,1,9,7,9,14,8,2,51,4,1,6,3,21,9,44
290,"Geldern","DUS",0,0,18,9,15,9,3,0,54,1,1,4,1,21,9,37
291,"Kempen","DUS",0,1,21,23,10,10,5,6,76,2,0,0,2,10,12,26
292,"Crefeld","DUS",0,1,1,1,8,4,5,2,22,1,3,1,2,13,3,23
293,"Düsseldorf","DUS",0,0,5,4,13,6,6,1,35,3,4,6,2,19,14,48
294,"Elberfeld","DUS",0,0,3,2,2,4,10,5,26,0,1,5,4,17,13,40
295,"Lennep","DUS",0,0,5,1,4,2,2,1,15,0,0,0,1,12,11,24
296,"Solingen","DUS",0,0,0,2,10,6,2,3,23,0,0,1,1,6,11,19
297,"Neuss","DUS",1,0,2,0,5,1,3,3,15,2,0,2,1,12,3,20
298,"Grevenbroich","DUS",0,0,1,2,2,1,5,2,13,0,0,1,1,12,14,28
299,"Gladbach","DUS",0,2,2,0,9,4,4,5,26,0,2,4,1,16,8,31
