id1816,kreiskey1800,county,rb,ani1816_horses,ani1816_foals,ani1816_bulls,ani1816_oxen,ani1816_cattle,ani1816_youngcattle,ani1816_merino,ani1816_halfmerino,ani1816_nomerino,ani1816_goats,ani1816_pigs
267,176,"Weissenfels","MER",2231,198,118,265,12961,3086,4135,13754,22153,1122,4874
268,184,"Weissensee","ERF",1482,262,63,41,4201,2040,44,13732,10357,1206,3133
269,258,"Wetzlar","KOB",338,38,52,1447,3059,1927,0,0,9091,51,3730
270,204,"Wiedenbrück","MIN",2722,415,173,137,9277,3900,0,0,9358,575,2242
271,223,"Wipperfürth","KOL",253,14,79,1056,7103,2676,0,0,461,1113,1132
272,22,"Wirlitz","BRO",3146,551,147,4233,5215,2829,182,4830,29959,30,5985
273,165,"Wittenberg","MER",3952,885,160,2245,5992,5230,5583,9992,18448,739,7212
274,222,"Wittgenstein","ARN",447,76,94,1148,4153,2199,0,0,10265,507,1506
275,262,"Wittlich","TRI",560,88,118,2687,5046,1593,1202,1141,13610,88,3430
276,109,"Wohlau","BRE",2835,528,225,4948,8837,3931,9642,25274,25633,28,960
277,157,"Wollmirstädt","MAG",2832,610,116,1004,5142,2489,8998,12464,25556,224,6310
278,49,"Wongrowiz","BRO",3204,544,255,3608,3341,2355,848,2466,34171,5,5879
279,180,"Worbis","ERF",1650,262,79,540,4158,1220,1921,4174,14841,1240,2019
280,178,"Zeiz","MER",1323,167,69,72,6783,11146,870,2761,6138,510,2366
281,251,"Zell","KOB",588,88,69,636,3683,1379,0,0,3207,915,2550
282,186,"Ziegenrück","ERF",49,3,34,1675,1942,1407,334,876,6824,544,901
283,73,"Züllichau","FRA",1732,159,108,2392,6071,3522,8661,17629,22514,141,2192
284,220,"Bilstein","ARN",1036,263,195,732,8608,5904,15,7,10309,1135,2654
285,280,"Blankenheim","AAC",938,88,43,45,4095,1635,21,343,12941,147,416
286,1,"Brandenburg","KON",19964,5253,885,10765,20436,13049,1215,7982,28121,41,27587
287,258,"Braunfels","KOB",420,41,69,2280,3750,2770,2,290,13900,716,5487
288,11,"Christburg","MAR",4147,677,151,894,3370,1305,70,896,4082,11,4526
289,16,"Dirschau","DAN",6889,1118,286,6589,9441,4617,4693,441,22491,152,10875
290,22,"Kammin","MAR",3024,491,125,3878,4057,3061,0,440,34016,141,5272
291,256,"Linz","KOB",69,12,31,430,2412,403,0,0,425,625,356
292,210,"Medebach","ARN",1309,340,104,462,5171,2301,31,60,15043,808,1994
293,38,"Memel","GUM",7686,1308,340,1038,9418,4485,0,18,7839,69,6444
294,241,"Mettmann","DUS",872,15,22,33,4547,533,0,0,3134,2124,1242
295,13,"Michelau","MAR",7074,704,184,6892,8875,4916,0,611,37489,164,16300
296,15,"Neuenburg","MAR",3768,749,156,1235,3907,1523,1786,1862,11731,0,5723
297,243,"Opladen","DUS",622,69,35,642,5522,1167,204,264,2112,506,1101
298,89,"Osten","STE",,,,,,,,,,,
299,26,"Peisern","POS",2152,352,108,2012,3358,1810,279,3379,21428,0,4137
300,10,"Rhein","GUM",7639,1262,200,6684,5186,4402,40,803,14574,486,8094
301,6,"Schaken","KON",16271,3858,683,7494,15460,7631,5,794,17164,532,16528
302,7,"Tapiau","KON",13540,2989,522,4827,13582,7417,1017,2642,15192,91,19490
303,281,"St. Vith","AAC",695,95,78,751,4297,2918,1243,2468,19001,119,1136
304,276,"Aachen","AAC",,,,,,,,,,,
305,228,"Köln","KOL",,,,,,,,,,,
306,193,"Münster","MUN",,,,,,,,,,,
307,59,"Potsdam","POT",,,,,,,,,,,
308,50,"Berlin","POT",3754,8,5,58,3636,18,203,913,2764,156,515
