kreiskey1888,county,rb,edu1886_apa_m_free,edu1886_apa_m_ren,edu1886_apa_f_free,edu1886_apa_f_ren,edu1886_val_she,edu1886_wag_m_tot,edu1886_wag_f_tot,edu1886_fin_fee_wag,edu1886_fin_fou_wag,edu1886_fin_soc_wag,edu1886_fin_pat_wag,edu1886_fin_sfu_wag,edu1886_fin_sgr_wag,edu1886_tot_bui,edu1886_new_sum,edu1886_new_num,edu1886_new_apa,edu1886_new_roo,edu1886_ext_sum,edu1886_ext_num,edu1886_ext_apa,edu1886_ext_roo,edu1886_tot_ren,edu1886_fin_pat_bui,edu1886_fin_sgr_bui,edu1886_fin_fou_bui,edu1886_fin_soc_bui,edu1886_fin_mun_bui,edu1886_fin_oth_bui,edu1886_fin_tot_mai,edu1886_fin_fou_mai,edu1886_fin_soc_mai,edu1886_fin_mun_mai,edu1886_fin_sgr_mai,edu1886_fin_oth_mai,edu1886_fin_tot
1,"MEMEL","KON",65,8,3,0,184,74600,5190,7456,6364,18588,20554,146,26682,15051,6556,5,3,3,1514,4,1,0,6981,1216,1220,113,7021,2815,2666,25735,0,14366,11002,361,6,40786
2,"FISCHHAUSEN","KON",95,4,1,0,268,82492,1224,1462,12931,18840,38505,1076,10902,19693,3975,6,2,2,7963,13,3,3,7755,1109,1333,679,3583,12851,138,46670,489,7653,26752,11776,0,66363
3,"KONIGSBERG","KON",22,0,0,0,260,213321,46550,54537,1854,200,202680,600,0,154415,22265,2,0,16,131446,7,2,42,704,828,0,199,0,153388,0,85394,1348,0,81471,0,2575,239809
4,"KONIGSBERG","KON",116,5,2,0,180,96618,2280,570,25620,25968,39533,682,6525,26341,16573,4,2,2,1259,12,3,3,8509,12972,0,114,4117,9110,28,37722,617,12631,20989,3295,190,64063
5,"LABIAU","KON",91,2,0,0,102.5,75188,0,0,8500,41220,6207,275,18986,13938,1737,5,0,0,5867,16,3,3,6334,3146,0,753,8413,1606,20,27526,415,22144,3429,1510,28,41464
6,"WEHLAU","KON",101,3,0,0,158.5,85683,450,4038,13466,36736,15505,390,15998,22326,12489,6,3,20,3541,12,5,3,6296,1794,0,207,13354,6971,0,28071,26,15949,10016,2051,29,50397
7,"GERDAUEN","KON",90,0,0,0,196,76972,2000,6688,22155,25777,14240,283,9829,17317,5628,5,5,6,5247,13,4,3,6442,2989,0,331,10786,2999,212,26588,114,14738,11530,206,0,43905
8,"RASTENBURG","KON",97,0,0,0,214.5,85430,811,1242,26956,21140,25659,171,11073,11988,3041,4,3,1,2436,7,3,1,6511,1349,0,29,2893,7693,24,35122,329,11915,18517,4324,37,47110
9,"FRIEDLAND","KON",87,1,0,0,163.5,79411,0,3756,14223,37845,11825,0,11762,8844,2712,2,2,2,2288,10,2,0,3844,337,0,19,6233,2154,101,23107,325,14750,7721,175,136,31951
10,"PREUSSISCH EYLAU","KON",133,1,0,0,170.5,114589,0,3732,18212,52610,18391,2689,18955,16882,10892,6,5,6,310,7,0,0,5680,635,0,29,10653,5565,0,35116,473,20502,11845,2296,0,51998
11,"HEILIGENBEIL","KON",98,1,0,0,179.5,86704,1040,4870,16189,31408,15464,2284,17529,12964,2612,3,2,2,3346,12,1,0,7006,829,0,180,8502,3402,51,34416,115,16774,11883,5603,41,47380
12,"BRAUNSBERG","KON",91,1,5,0,153,106840,12151,2658,8802,74465,6013,730,26323,24483,13937,7,8,8,4127,11,2,2,6419,1217,293,0,19016,3957,0,37956,208,28360,9388,0,0,62439
13,"HEILSBERG","KON",110,3,6,0,176,109783,7290,778,15773,45801,31244,456,23021,14735,3333,5,1,1,3843,21,3,4,7559,195,303,392,5836,8009,0,35906,90,18454,16075,1287,0,50641
14,"ROSSEL","KON",91,0,2,0,186.5,94594,4992,289,7696,21217,39316,716,30352,31576,22416,9,10,10,3240,19,1,2,5920,28,1653,47,12366,17452,30,37273,755,8761,27146,611,0,68849
15,"ALLENSTEIN","KON",119,7,3,0,158.5,122821,6170,0,8831,20370,66973,910,31907,30747,20602,13,6,6,6981,17,5,5,4664,498,3646,0,8128,17583,892,43789,30,10447,32993,273,46,74536
16,"ORTELSBURG","KON",144,15,0,0,191.5,140626,900,10300,31630,1113,44247,97,54139,46454,31410,43,17,17,5742,20,2,2,7802,9155,8507,88,423,28181,100,48663,0,306,32574,15783,0,95117
17,"NEIDENBURG","KON",121,8,0,0,203,106865,0,5355,13200,26424,20786,1797,39303,35141,29263,21,11,12,2996,4,1,1,3883,2875,5435,2150,18781,5723,177,40053,356,20793,17686,1211,7,75194
18,"OSTERODE","KON",129,28,0,0,239.5,137204,837,9251,19793,48512,18375,2150,39960,34153,24397,19,14,14,3218,17,6,4,5537,4399,5879,357,17681,5382,455,56967,627,27857,22146,5854,483,91120
19,"MOHRUNGEN","KON",125,2,1,0,163.5,110471,1954,9966,21306,38832,18832,606,22883,13730,4679,7,2,2,3606,24,0,0,5445,3675,0,151,5202,4684,18,37388,521,20862,15525,479,1,51118
20,"PREUSSISCH HOLLAND","KON",111,0,0,0,212.5,102966,0,7718,23829,29989,26307,453,14670,10164,943,2,1,1,2551,10,2,0,6670,662,0,395,3169,5904,34,37352,1167,16105,14782,5141,157,47516
21,"HEYDEKRUG","GUM",81,4,0,2,150,64546,1275,3265,12979,19072,12443,0,18062,15187,3424,3,3,3,6600,17,6,4,5163,1299,0,0,11514,2374,0,24130,250,12903,5565,5412,0,39317
22,"NIEDERUNG","GUM",90,5,3,0,155,74344,1740,4463,9884,236,47765,0,13736,36730,14839,6,5,5,11539,18,11,7,10352,5158,0,0,316,31218,38,34183,0,298,26652,7163,70,70913
23,"TILSIT","GUM",91,3,1,0,179,82838,9330,5341,10389,3914,53140,0,19384,35236,21922,7,7,7,4937,13,2,3,8377,6645,0,1824,11254,15180,333,42672,158,2484,32340,7690,0,77908
24,"RAGNIT","GUM",104,7,0,0,186,87389,750,4766,12210,0,48231,553,22379,28472,19151,13,12,14,852,6,2,3,8469,5455,2864,0,0,20034,119,31167,0,0,28879,2288,0,59639
25,"PILLKALLEN","GUM",99,2,0,0,166.5,86762,2340,8209,13578,10092,34974,30,22219,18360,3956,4,4,4,5922,4,3,3,8482,2591,0,733,2427,12546,63,28850,503,5524,22110,713,0,47210
26,"STALLUPONEN","GUM",106,0,0,0,201.5,84651,800,5250,9045,2902,43737,6236,18281,16356,544,1,0,0,5283,12,1,1,10529,2761,387,0,2735,10473,0,40303,3,5059,26853,8311,77,56659
27,"GUMBINNEN","GUM",95,4,0,0,211,85253,980,4700,10973,9999,35396,1509,23656,25336,4616,2,3,3,11794,17,2,1,8926,7235,0,57,3237,14807,0,28824,202,3696,16116,8710,100,54160
28,"INSTERBURG","GUM",113,2,0,0,194,109555,2976,4846,14153,0,71364,75,22093,31381,16459,8,7,8,5982,17,5,3,8940,8821,266,0,76,22151,67,45310,0,894,35028,9117,271,76691
29,"DARKEHMEN","GUM",77,2,0,0,203.5,69572,1400,4908,11410,540,38366,0,15748,14567,2757,4,2,2,6281,17,3,2,5529,1735,0,100,3321,9411,0,32038,0,766,23984,6898,390,46605
30,"ANGERBURG","GUM",84,1,1,0,222.5,69555,650,3103,20852,7552,23556,0,15142,15090,893,1,1,1,7442,13,1,0,6755,3281,0,287,5452,6018,52,31847,22,8785,14423,8460,157,46937
31,"GOLDAP","GUM",102,1,0,0,159.5,85390,450,3885,13940,0,37998,2370,27647,26227,12906,6,5,5,4418,12,4,3,8903,3409,1000,0,191,21612,15,31377,0,0,26799,4574,4,57604
32,"OLETZKO","GUM",99,2,0,0,184,88718,845,4802,17937,0,42250,0,24574,27087,14454,3,7,7,5514,18,0,0,7119,8072,0,10,0,19005,0,37401,409,0,33501,3491,0,64488
33,"LYCK","GUM",110,1,0,0,182.5,93884,675,4372,14807,11808,38767,0,24805,23801,11897,7,7,5,3400,10,4,6,8504,810,78,47,8629,14166,71,33765,15,5405,25652,2663,30,57566
34,"LOTZEN","GUM",94,0,0,0,167,77820,730,5528,13597,376,36116,0,22933,28064,11058,7,4,4,7345,26,1,1,9661,3717,185,329,2128,21705,0,36984,0,0,27706,9278,0,65048
35,"SENSBURG","GUM",101,5,0,0,165.5,86518,0,4208,15454,15102,22809,150,28795,31482,20162,31,7,7,4579,24,4,3,6741,1044,4166,333,10404,14981,554,39746,0,14948,20291,4507,0,71228
36,"JOHANNISBURG","GUM",118,0,0,0,202,94481,0,4425,12726,1357,41141,0,34832,52592,42460,22,18,18,4573,8,1,1,5559,7215,8153,89,310,36825,0,41007,15,1518,29313,10161,0,93599
37,"ELBING","DAN",10,0,0,0,250,71328,4798,33442,863,0,41821,0,0,16877,0,0,0,0,5348,1,0,3,11529,16709,0,0,0,168,0,31625,0,0,29349,0,2276,48502
38,"ELBING","DAN",80,0,3,0,138.5,72404,3640,3154,9371,22542,26968,633,13376,15262,4290,5,2,1,4130,9,3,3,6842,1332,0,1980,4604,6693,653,30852,483,12602,15053,2458,256,46114
39,"MARIENBURG","DAN",124,2,1,0,221.5,130400,2876,7098,22457,16816,68697,3259,14949,24122,9150,7,2,2,3775,9,2,2,11197,2250,472,88,5677,15608,27,53821,117,9196,41511,2976,21,77943
40,"DANZIG","DAN",9,0,1,0,394,136565,60325,0,12080,0,184450,360,0,50088,14359,1,0,12,23099,4,0,14,12630,0,0,205,0,49883,0,106235,250,0,105985,0,0,156323
41,"DANZIG NIEDERUNG","DAN",75,1,1,0,196,60635,540,5989,8157,20919,18065,154,7891,34335,25588,9,11,11,2456,6,4,0,6291,454,4012,839,11370,17537,123,26989,1074,12146,13163,569,37,61324
42,"DANZIG HOHE","DAN",77,2,2,0,148,64396,4180,441,7268,18564,27206,1651,13446,38216,24367,9,7,13,6654,11,4,2,7195,2553,2067,539,12447,20610,0,29549,1678,10326,14019,3345,181,67765
43,"DIRSCHAU","DAN",56,1,2,0,215.5,64232,3210,7487,7683,11827,32225,28,8192,15979,10328,5,3,3,2316,8,3,2,3335,77,0,268,857,14274,503,26751,118,4239,21425,904,65,42730
44,"PREUSSISCH STARGARD","DAN",86,11,0,0,197.5,78477,2727,3498,9476,20461,24649,756,22364,12931,5574,8,1,1,1721,9,0,0,5636,194,1200,0,3974,7476,87,26061,30,10004,15106,840,81,38992
45,"BERENT","DAN",82,6,0,0,152,82834,0,0,5394,246,37004,270,39920,22674,16472,11,5,5,1100,8,1,1,5102,625,5593,0,384,16072,0,28456,49,627,26722,640,418,51130
46,"KARTHAUS","DAN",93,17,0,2,138,84818,1500,0,5705,28714,13114,2510,36275,42888,27238,17,13,9,7728,14,2,6,7922,7783,8501,273,20722,5475,134,28148,0,15920,10303,1830,95,71036
47,"NEUSTADT","DAN",64,7,2,1,167,67232,2310,695,6800,12146,21867,3684,24350,32277,26002,7,7,15,728,4,1,0,5547,3655,10244,0,7115,10434,829,24185,0,8500,14214,1333,138,56462
48,"PUTZIG","DAN",55,4,0,0,162,48681,750,245,5833,9645,20587,888,12233,17773,10554,4,3,3,2703,8,1,1,4516,2633,5400,796,3704,4772,468,15566,17,5322,10055,145,27,33339
49,"STUHM","MAR",83,0,0,0,183,68842,0,75,6302,0,46715,502,15248,19335,7355,8,2,2,4323,13,3,2,7657,1765,1911,0,0,15659,0,23784,0,0,23784,0,0,43119
50,"MARIENWERDER","MAR",114,0,3,0,199,109442,2390,7786,12255,9107,66584,693,15407,46069,32026,6,6,19,6413,15,4,4,7630,3444,35,0,627,41566,397,53576,17,638,41303,11564,54,99645
51,"ROSENBERG","MAR",89,0,0,0,196.5,96061,850,7731,25901,16066,34783,1053,11377,37195,19682,9,10,10,10706,14,3,3,6807,402,2667,5,5661,22202,6258,38356,215,11193,26499,0,449,75551
52,"LOBAU","MAR",92,6,0,0,249.5,86485,0,0,7743,0,50729,21,27992,45018,36676,24,13,13,7196,12,3,4,1146,3833,4273,0,0,34713,2199,40106,36,0,30133,9922,15,85124
53,"STRASBURG","MAR",77,1,0,0,212,71096,645,1470,5147,34161,17194,49,13720,37332,26914,7,8,7,4130,10,2,1,6288,1982,1584,1012,27632,5122,0,31044,0,16576,13629,744,95,68376
54,"BRIESEN","MAR",59,0,0,0,216,62794,0,1372,6034,24527,18384,16,12461,29337,23170,5,8,19,2771,7,1,1,3396,70,1900,0,9703,7687,9977,25233,150,13123,11199,761,0,54570
55,"THORN","MAR",72,4,2,0,233,107226,5880,6203,5711,1292,83831,900,15169,34357,21863,9,6,17,3794,7,1,4,8700,0,4537,905,0,23573,5342,49218,2625,0,46195,398,0,83575
56,"KULM","MAR",64,4,1,0,245.5,72436,2960,4993,6721,15304,38525,402,9451,29622,18397,14,5,5,2541,8,2,2,8684,10570,1608,0,6265,11139,40,23887,0,8085,15485,152,165,53509
57,"GRAUDENZ","MAR",85,1,4,0,210.5,89743,4791,4327,9884,28082,35909,288,16044,20801,2550,5,0,0,10550,15,6,7,7701,230,107,0,12150,8287,27,38901,0,18484,20161,256,0,59702
58,"SCHWETZ","MAR",131,7,0,1,195.5,120670,1240,5494,9994,27314,52183,4215,22710,33985,16725,8,8,9,2938,15,1,2,14322,835,1979,0,10369,16987,3815,49024,0,14525,33920,413,166,83009
59,"TUCHEL","MAR",55,7,0,0,153.5,49359,0,0,3440,0,29867,579,15473,16016,13247,3,5,6,933,1,0,0,1836,1518,3525,0,0,3653,7320,16146,0,0,15881,265,0,32162
60,"KONITZ","MAR",73,27,1,0,208,87822,540,1500,4557,25750,26244,220,30091,25572,17169,7,7,7,3082,9,4,4,5321,1987,10031,0,8742,4712,100,34449,0,19981,12789,1679,0,60021
61,"SCHLOCHAU","MAR",109,15,0,0,183,122026,900,8292,8180,1082,66230,638,38504,24622,14724,11,6,8,2197,13,0,1,7701,1522,7633,167,71,15112,117,48315,0,232,46721,1252,110,72937
62,"FLATOW","MAR",123,11,2,0,214,119604,1560,404,12478,5712,60718,804,41048,31673,14063,9,5,5,9124,30,4,5,8486,2145,5625,25,4415,19430,33,49708,36,5472,43702,408,90,81381
63,"DEUTSCH KRONE","MAR",116,3,0,0,207.5,118007,0,15636,14745,35565,33120,70,18871,30098,16564,7,2,7,6527,24,7,2,7007,1280,257,0,7816,20642,103,49020,652,15143,27568,5186,471,79118
64,"BERLIN","BER",140,0,7,0,407,3470568,990850,26421,2135,16504,4411582,2244,2532,1470481,1318536,11,20,355,8866,2,0,0,143079,0,0,500,10280,1274439,185262,1974772,3401,14709,1954147,0,2515,3445253
65,"PRENZLAU","POT",104,0,1,0,215.5,140188,8234,37978,31612,13619,45702,3559,15952,31102,19182,1,0,8,3183,14,1,0,8737,461,0,4893,605,24753,390,46408,1980,12912,31410,25,81,77510
66,"TEMPLIN","POT",96,2,0,0,180.5,113932,0,28533,22857,7177,34389,2653,18323,9816,450,2,0,0,1321,11,0,0,8045,1794,0,987,1326,5645,64,34905,1381,9077,24334,96,17,44721
