id1816,kreiskey1800,county,rb,pop1816_f_wedlock
288,11,"Christburg","MAR",3746
289,16,"Dirschau","DAN",8525
290,22,"Kammin","MAR",4260
291,256,"Linz","KOB",1841
292,210,"Medebach","ARN",2420
293,38,"Memel","GUM",4700
294,241,"Mettmann","DUS",4363
295,13,"Michelau","MAR",8679
296,15,"Neuenburg","MAR",3871
297,243,"Opladen","DUS",3670
298,89,"Osten","STE",
299,26,"Peisern","POS",4967
300,10,"Rhein","GUM",6216
301,6,"Schaken","KON",16659
302,7,"Tapiau","KON",9723
303,281,"St. Vith","AAC",1755
304,276,"Aachen","AAC",5329
305,228,"Köln","KOL",7930
306,193,"Münster","MUN",2226
307,59,"Potsdam","POT",2668
308,50,"Berlin","POT",30716
