kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
88,"LEBUS","FRA",6311,6288,12599,16346,12,2,34,99,0,0,214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,215,0,250,16394,16346,12,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"FRANKFURT","FRA",524,559,1083,5264,342,1,3,2,0,0,82,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,95,0,95,5276,5264,8,1,3,1,6,0,6,334,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"WESTSTERNBERG","FRA",3245,3197,6442,7950,21,32,29,61,0,0,102,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,64,106,0,137,8032,7950,21,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"OSTSTERNBERG","FRA",3560,3607,7167,8379,61,7,50,53,0,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,111,0,139,8497,8379,61,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,"ZULLICHAU-SCHWIEBUS","FRA",3252,3257,6509,7467,1134,47,8,30,9,0,91,13,0,0,0,0,0,0,2,1,0,0,0,0,0,0,57,91,3,124,7658,7448,155,47,8,8,13,0,16,998,19,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"KROSSEN","FRA",4255,4204,8459,10892,89,0,14,47,2,0,125,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,84,129,0,197,10924,10892,18,0,14,2,2,0,2,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"GUBEN","FRA",174,299,473,4473,115,30,8,1,1,0,58,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,61,0,66,4521,4473,10,30,8,1,1,0,1,105,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"GUBEN","FRA",3485,3494,6979,7131,363,23,15,30,4,0,79,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,79,0,108,7187,7131,18,23,15,3,6,0,6,345,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"LUBBEN","FRA",2866,2822,5688,5837,30,0,6,29,1,0,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,74,0,108,5849,5837,6,0,6,1,1,0,1,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"LUCKAU","FRA",4372,4235,8607,11555,24,1,5,88,0,0,152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104,153,0,218,11585,11555,24,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
