kreiskey1888,county,rb,edu1886_stud_mix_m,edu1886_stud_mix_f,edu1886_stud_mix_tot,edu1886_stud_pro,edu1886_stud_cat,edu1886_stud_ocr,edu1886_stud_jew,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_sco,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_pro_cla,edu1886_pro_stud_tot,edu1886_pro_stud_pro,edu1886_pro_stud_cat,edu1886_pro_stud_ocr,edu1886_pro_stud_jew,edu1886_cat_sco,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_cat_cla,edu1886_cat_stud_tot,edu1886_cat_stud_pro,edu1886_cat_stud_cat,edu1886_cat_stud_ocr,edu1886_cat_stud_jew,edu1886_ocr_sco,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_ocr_cla,edu1886_ocr_stud_tot,edu1886_ocr_stud_pro,edu1886_ocr_stud_cat,edu1886_ocr_stud_ocr,edu1886_ocr_stud_jew,edu1886_jew_sco,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_jew_cla,edu1886_jew_stud_tot,edu1886_jew_stud_pro,edu1886_jew_stud_cat,edu1886_jew_stud_ocr,edu1886_jew_stud_jew,edu1886_mix_sco,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup,edu1886_mix_cla,edu1886_mix_stud_tot,edu1886_mix_stud_pro,edu1886_mix_stud_cat,edu1886_mix_stud_ocr,edu1886_mix_stud_jew
185,"BRESLAU","BRE",7323,7747,15070,9351,5711,6,2,13,23,0,72,46,0,0,16,2,0,0,2,2,0,0,0,0,0,0,55,88,2,159,9783,8784,993,6,0,37,48,2,82,5287,567,4718,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"OHLAU","BRE",4796,4704,9500,6310,4475,4,6,15,20,0,68,48,0,0,0,2,0,0,1,2,0,0,0,0,0,0,38,54,1,95,5688,5113,569,4,2,26,43,1,67,3640,221,3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,14,7,0,0,1,23,1467,976,487,0,4
187,"BRIEG","BRE",3892,4039,7931,8888,1549,0,77,35,6,0,112,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,66,119,0,175,9274,8888,309,0,77,7,18,0,20,1240,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"STREHLEN","BRE",3134,3227,6361,5958,1291,0,8,20,5,0,59,12,0,0,6,0,0,0,0,1,0,0,0,0,0,0,37,65,1,101,6302,5953,341,0,8,7,12,0,16,955,5,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,"NIMPTSCH","BRE",3299,3319,6618,5465,1151,0,2,25,7,0,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,0,95,5562,5414,146,0,2,9,13,0,23,1056,51,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,"MUNSTERBERG","BRE",2362,2323,4685,936,4873,0,7,5,20,0,12,53,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,12,0,17,991,858,126,0,7,25,60,0,83,4825,78,4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"FRANKENSTEIN","BRE",3740,3772,7512,1719,7070,10,24,9,35,0,23,85,0,0,0,2,0,0,1,0,0,0,0,0,0,0,15,23,1,34,1718,1649,45,10,14,44,87,0,127,7105,70,7025,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"REICHENBACH","BRE",5040,5208,10248,8367,3541,100,3,12,20,0,72,36,1,0,3,4,2,0,0,0,0,0,0,0,0,0,40,74,0,133,8349,8272,37,38,2,24,40,0,63,3515,10,3504,0,1,2,4,0,5,147,85,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,"SCHWEIDNITZ","BRE",6149,6372,12521,10454,6071,25,52,12,30,0,116,65,0,0,9,6,0,0,0,1,0,0,0,0,0,0,63,125,1,191,10892,10299,518,25,50,42,71,0,104,5710,155,5553,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,"STRIEGAU","BRE",2855,2945,5800,4681,2880,22,5,5,16,0,45,31,0,0,7,3,0,0,1,0,0,0,0,0,0,0,31,52,1,82,4833,4658,148,22,5,19,34,0,44,2755,23,2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"WALDENBURG","BRE",8326,8536,16862,16642,5657,43,51,15,9,0,171,50,0,0,10,4,0,0,0,1,0,0,0,0,0,0,68,181,1,276,17555,16619,842,43,51,16,54,0,70,4838,23,4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"GLATZ","BRE",4495,4670,9165,490,10245,1,26,3,25,0,7,107,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,7,0,9,444,413,22,0,9,50,111,0,116,10318,77,10223,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,"NEURODE","BRE",4076,4233,8309,293,9135,30,2,1,22,0,3,86,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,201,200,1,0,0,33,86,0,134,9171,50,9119,0,2,1,1,0,2,88,43,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,"HABELSCHWERDT","BRE",4375,4357,8732,205,9940,4,9,3,46,0,3,113,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,3,153,146,1,1,5,68,119,0,145,10005,59,9939,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"GRUNBERG","LIE",3561,3697,7258,7564,1580,17,11,15,10,0,85,23,0,0,3,1,0,0,0,0,0,0,0,0,0,0,50,88,0,137,7636,7541,69,17,9,15,24,0,32,1536,23,1511,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,"FREISTADT","LIE",3604,3659,7263,7369,1022,1,25,21,14,0,82,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,56,87,0,143,7466,7367,75,1,23,13,19,0,24,951,2,947,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,"SAGAN","LIE",3820,4080,7900,8011,1543,17,24,18,21,0,94,27,0,0,2,0,0,0,3,0,0,0,0,0,0,0,60,96,1,158,8124,7924,163,13,24,20,27,2,42,1471,87,1380,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"SPROTTAU","LIE",2502,2478,4980,5010,757,0,13,9,9,0,63,12,0,0,1,0,0,0,0,2,0,0,0,0,0,0,45,64,0,109,5168,5007,150,0,11,8,12,2,18,612,3,607,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"GLOGAU","LIE",4630,4743,9373,7961,3091,11,24,22,29,0,92,48,0,0,2,0,0,0,1,0,0,0,1,0,0,0,61,94,1,151,8077,7876,168,10,23,32,48,0,66,3010,85,2923,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"LUBEN","LIE",2537,2722,5259,5454,518,3,10,21,6,0,64,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,65,0,110,5549,5454,82,3,10,7,7,0,13,436,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"BUNZLAU","LIE",4425,4587,9012,8531,1452,24,6,27,10,0,100,22,1,0,0,0,1,0,1,0,0,0,0,0,0,0,68,100,2,165,8607,8522,79,0,6,14,22,0,30,1383,9,1373,1,0,1,2,0,3,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,"GOLDBERG-HAINAU","LIE",2938,2988,5926,7350,469,0,20,26,7,0,84,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,54,86,0,137,7470,7346,104,0,20,5,7,0,9,369,4,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"LIEGNITZ","LIE",495,453,948,4197,990,74,37,0,3,0,59,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,60,0,69,4347,4197,42,74,34,2,11,0,14,951,0,948,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"LIEGNITZ","LIE",3794,4087,7881,7374,560,2,0,36,4,0,85,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,86,0,153,7547,7342,203,2,0,7,6,0,11,389,32,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,"JAUER","LIE",2057,2198,4255,3868,1457,7,11,14,13,0,49,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,49,1,74,3886,3805,63,7,11,17,23,0,33,1457,63,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"SCHONAU","LIE",1994,2112,4106,3552,537,13,4,22,9,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0,70,3596,3552,27,13,4,9,10,0,16,510,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"BOLKENHAIN","LIE",2617,2756,5373,4701,770,16,0,19,10,0,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,0,95,4779,4694,69,16,0,10,12,0,17,708,7,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"LANDESHUT","LIE",3132,3372,6504,3684,4079,17,14,8,14,0,43,50,0,0,0,1,0,0,0,2,0,0,0,0,0,0,28,42,1,71,3736,3429,277,17,13,28,50,1,70,3799,105,3693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,4,259,150,109,0,0
213,"HIRSCHBERG","LIE",4109,4313,8422,8489,1560,35,9,30,14,0,100,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,100,1,158,8757,8482,240,27,8,18,24,0,37,1336,7,1320,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"LOWENBERG","LIE",4402,4435,8837,7180,2300,5,7,27,22,0,97,35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,78,97,1,170,7299,7157,130,5,7,30,36,0,53,2193,23,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"LAUBAN","LIE",4879,5092,9971,10123,1018,5,4,34,8,0,111,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,111,0,185,10243,10120,114,5,4,8,14,0,19,907,3,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,"GORLITZ","LIE",285,327,612,6062,711,42,8,0,0,0,90,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,90,0,97,6153,6062,44,39,8,1,10,2,11,670,0,667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,"GORLITZ","LIE",3957,4100,8057,8869,199,0,4,40,1,0,83,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,58,89,0,153,8928,8869,55,0,4,2,2,0,3,144,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,"ROTHENBURG","LIE",4725,4996,9721,9812,100,0,1,30,1,0,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,96,0,170,9883,9811,71,0,1,1,1,0,1,30,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,"HOYERSWERDA","LIE",2575,2625,5200,5579,721,0,1,21,2,0,64,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,65,0,114,5616,5568,47,0,1,4,9,0,12,685,11,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,"KREUZBURG","OPP",3977,3888,7865,6018,1934,3,90,29,9,0,75,17,0,0,1,0,0,0,0,2,0,0,0,0,0,0,39,65,2,96,5992,5327,620,3,42,9,15,0,17,1200,12,1185,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,11,2,0,0,0,12,853,679,129,0,45
221,"ROSENBERG","OPP",4364,4370,8734,1107,7674,0,99,4,24,0,12,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0,16,802,744,58,0,0,51,77,0,105,7655,282,7307,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,7,0,0,0,8,423,81,309,0,33
222,"OPPELN","OPP",9876,9761,19637,2530,18975,0,142,13,28,0,37,183,0,0,2,3,0,0,5,7,0,0,0,0,0,0,24,38,7,41,2590,2205,287,0,98,95,185,5,224,18936,295,18597,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,2,121,30,91,0,0
223,"GROSS STREHLITZ","OPP",5573,5732,11305,395,11638,0,111,2,23,0,6,129,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,4,249,222,25,0,2,61,122,4,141,11320,89,11184,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,7,0,1,0,10,575,84,429,0,62
224,"LUBLINITZ","OPP",4107,4032,8139,252,7737,0,150,3,16,0,3,81,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,125,85,40,0,0,44,76,0,107,7447,126,7265,0,56,0,0,0,0,0,0,0,0,0,1,1,0,1,43,0,0,0,43,1,7,1,5,0,1,0,7,524,41,432,0,51
225,"TOST-GLEIWITZ","OPP",6601,6615,13216,667,15506,12,258,1,34,0,8,164,1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,47,47,0,0,0,66,140,2,171,14051,222,13706,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,7,24,1,3,0,35,2345,398,1800,12,135
226,"TARNOWITZ","OPP",2584,2691,5275,373,8129,0,186,3,12,0,4,74,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,43,30,13,0,0,26,66,0,94,7220,127,7024,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,4,11,0,1,0,16,1425,216,1092,0,117
227,"BEUTHEN","OPP",6320,6537,12857,1676,21143,0,534,0,2,0,21,226,0,8,3,20,0,2,0,0,0,0,0,0,0,0,4,21,0,22,1369,1369,0,0,0,30,228,0,237,19858,219,19578,0,61,0,0,0,0,0,0,0,0,0,2,10,0,10,465,0,0,0,465,2,21,3,18,0,0,0,21,1661,88,1565,0,8
228,"ZABRZE","OPP",2573,2415,4988,576,10942,0,141,2,5,0,9,66,0,2,2,31,0,0,1,2,0,1,0,0,0,0,2,8,3,8,549,438,110,0,1,19,82,0,99,9166,35,9116,0,15,0,0,0,0,0,0,0,0,0,1,2,1,3,118,0,0,0,118,1,18,3,15,0,0,0,19,1826,103,1716,0,7
229,"KATTOWITZ","OPP",5481,5368,10849,1064,17564,0,572,0,3,1,12,168,0,9,4,9,0,1,0,3,0,0,0,0,0,0,2,6,0,6,435,410,25,0,0,30,132,3,156,13796,64,13616,0,116,0,0,0,0,0,0,0,0,0,3,6,0,6,202,0,0,0,202,4,59,10,45,0,4,0,60,4767,590,3923,0,254
230,"PLESS","OPP",8464,8463,16927,1321,16620,2,235,4,22,0,10,174,0,1,3,6,0,0,0,1,0,0,0,0,0,0,8,12,0,15,1038,952,33,0,53,80,179,0,226,16902,338,16427,2,135,0,0,0,0,0,0,0,0,0,1,1,1,1,47,0,0,0,47,1,2,1,1,0,0,0,3,191,31,160,0,0
231,"RYBNIK","OPP",7521,7244,14765,470,15225,0,189,2,28,0,5,152,0,2,1,3,0,0,0,0,0,1,0,0,0,0,5,5,0,5,327,316,0,0,11,74,151,0,189,14982,130,14787,0,65,0,0,0,0,0,0,0,0,0,1,1,1,2,55,0,0,0,55,1,6,1,4,0,1,0,6,520,24,438,0,58
232,"RATIBOR","OPP",10296,10516,20812,541,23414,0,177,1,47,0,5,223,0,0,5,6,0,0,0,2,0,0,0,0,0,0,2,2,0,2,39,28,0,0,11,101,204,2,261,21526,115,21349,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,8,25,0,0,0,33,2567,398,2065,0,104
233,"KOSEL","OPP",6104,6093,12197,386,12447,15,29,2,24,0,6,129,1,0,0,1,0,0,0,0,2,0,0,0,0,0,3,4,0,4,145,134,11,0,0,60,122,0,142,12052,135,11916,0,1,1,1,2,1,18,2,1,15,0,0,0,0,0,0,0,0,0,0,1,10,2,8,0,0,0,10,662,115,519,0,28
234,"LEOBSCHUTZ","OPP",6220,6336,12556,1410,14937,0,77,7,51,0,18,162,0,0,1,21,0,1,1,0,0,0,0,0,0,0,12,19,0,25,1318,1282,9,0,27,77,183,1,192,15093,128,14928,0,37,0,0,0,0,0,0,0,0,0,1,1,0,1,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
235,"NEUSTADT","OPP",7465,7357,14822,1399,16672,5,34,5,43,0,17,171,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,16,0,20,1295,1285,3,5,2,71,167,0,208,15927,74,15842,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,10,0,0,0,11,888,40,827,0,21
236,"FALKENBERG","OPP",3986,4016,8002,2275,5726,0,1,6,17,0,31,66,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24,31,5,37,2333,2062,270,0,1,39,66,0,84,5669,213,5456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,"NEISSE","OPP",6409,6322,12731,734,15329,1,50,3,51,0,10,181,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,10,0,12,706,662,3,1,40,77,186,0,236,15408,72,15326,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"GROTTKAU","OPP",3719,3757,7476,364,8250,0,10,1,34,0,5,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,5,223,223,0,0,0,47,100,1,121,8401,141,8250,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,"OSTERBURG","MAG",2963,2919,5882,6615,11,6,2,109,0,0,136,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,111,138,0,155,6634,6615,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,"SALZWEDEL","MAG",3586,3536,7122,7942,28,6,17,112,1,0,158,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,137,158,1,181,7971,7942,6,6,17,1,1,0,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,"GARDELEGEN","MAG",3743,3740,7483,8527,31,1,2,88,1,0,134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,135,0,161,8538,8527,8,1,2,1,1,0,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"STENDAL","MAG",2799,2961,5760,8507,67,0,5,94,1,0,136,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,93,143,1,158,8527,8507,15,0,5,1,1,0,1,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,"JERICHOW I","MAG",4754,4750,9504,12295,101,0,8,102,1,0,174,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,101,178,0,190,12353,12295,50,0,8,1,1,0,1,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,"JERICHOW II","MAG",4487,4446,8933,9109,31,1,2,93,0,0,130,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,95,134,0,143,9143,9109,31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,"KALBE","MAG",4084,3878,7962,16088,387,3,22,55,1,0,206,2,0,0,14,2,0,0,1,0,0,0,0,0,0,0,55,220,1,236,16182,16088,69,3,22,3,4,0,5,318,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"WANZLEBEN","MAG",4991,4993,9984,11971,1372,5,15,71,6,0,150,14,0,0,7,3,0,0,0,0,0,0,0,0,0,0,49,157,0,166,12116,11971,125,5,15,14,17,0,17,1247,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,"MAGDEBURG","MAG",435,416,851,19491,933,211,71,7,2,0,299,10,0,0,46,2,0,0,3,1,0,0,1,0,0,0,27,345,4,332,19949,19491,176,211,71,4,12,1,12,757,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,"WOLMIRSTEDT","MAG",3967,4092,8059,9147,118,13,5,59,1,0,110,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,55,115,0,124,9192,9147,27,13,5,2,2,0,2,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,"NEUHALDENSLEBEN","MAG",4402,4398,8800,9135,448,0,0,63,1,0,109,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,110,0,134,9237,9135,102,0,0,2,4,0,4,346,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,"OSCHERSLEBEN","MAG",2835,2784,5619,7595,803,0,2,50,6,0,102,10,0,0,9,1,0,0,0,0,0,0,0,0,0,0,37,111,0,114,7674,7595,77,0,2,6,11,0,11,726,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,"ASCHERSLEBEN","MAG",2867,2905,5772,9840,256,0,3,40,3,0,119,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,36,128,0,135,9907,9840,64,0,3,3,3,0,4,192,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,"HALBERSTADT","MAG",2602,2521,5123,8870,517,0,73,53,4,0,144,4,0,2,2,2,0,0,3,0,0,1,0,0,0,1,39,146,2,149,8917,8870,41,0,6,2,6,0,6,476,0,476,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,67,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
253,"WERNIGERODE","MAG",850,863,1713,3744,11,1,1,18,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,0,55,3757,3744,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,"LIEBENWERDA","MER",4365,4347,8712,9482,28,2,0,57,1,0,111,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,112,0,158,9495,9482,11,2,0,1,1,0,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,"TORGAU","MER",3792,3748,7540,9273,48,0,0,75,1,0,114,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,77,117,1,153,9281,9273,8,0,0,1,1,0,1,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,"SCHWEINITZ","MER",3745,3740,7485,8405,18,0,0,81,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,114,0,148,8423,8405,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,"WITTENBERG","MER",3880,3890,7770,9840,25,16,5,68,1,0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,123,0,159,9864,9840,3,16,5,1,1,0,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,"BITTERFELD","MER",4032,4054,8086,9911,103,0,0,69,1,0,125,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,78,128,0,150,9924,9911,13,0,0,2,2,0,2,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
