kreiskey1888,county,rb,edu1886_con_pro,edu1886_con_cat,edu1886_con_jew,edu1886_rel_emp_m_pro,edu1886_rel_emp_m_cat,edu1886_rel_emp_m_ocr,edu1886_rel_emp_m_jew,edu1886_rel_emp_f_pro,edu1886_rel_emp_f_cat,edu1886_rel_emp_f_ocr,edu1886_rel_emp_f_jew,edu1886_rel_sup_m_pro,edu1886_rel_sup_m_cat,edu1886_rel_sup_m_ocr,edu1886_rel_sup_m_jew,edu1886_rel_sup_f_pro,edu1886_rel_sup_f_cat,edu1886_rel_sup_f_ocr,edu1886_rel_sup_f_jew,edu1886_pro_tea_emp,edu1886_pro_tea_sup,edu1886_cat_tea_emp,edu1886_cat_tea_sup,edu1886_ocr_tea_emp,edu1886_ocr_tea_sup,edu1886_jew_tea_emp,edu1886_jew_tea_sup,edu1886_mix_tea_emp_tot,edu1886_mix_tea_emp_pro,edu1886_mix_tea_emp_cat,edu1886_mix_tea_emp_ocr,edu1886_mix_tea_emp_jew,edu1886_mix_tea_sup
290,"TONDERN","SCH",69,0,0,199,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0
291,"OLDENBURG","SCH",24,0,0,147,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,157,1,0,0,0,0,0,0,0,0,0,0,0,0
292,"PLON","SCH",17,0,0,179,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0
293,"KIEL","SCH",0,1,0,123,1,0,0,3,2,0,0,2,0,0,0,0,0,0,0,126,2,3,0,0,0,0,0,0,0,0,0,0,0
294,"KIEL","SCH",6,1,0,135,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,146,0,1,0,0,0,0,0,0,0,0,0,0,0
295,"RENDSBURG","SCH",21,0,0,154,0,0,1,6,1,0,0,1,1,0,0,0,0,0,0,160,1,1,1,0,0,1,0,0,0,0,0,0,0
296,"NORDERDITHMARSCHEN","SCH",27,0,0,126,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,131,4,0,0,0,0,0,0,0,0,0,0,0,0
297,"SUDERDITHMARSCHEN","SCH",18,0,0,151,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0
298,"STEINBURG","SCH",28,0,0,176,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,181,1,0,0,0,0,0,0,0,0,0,0,0,0
299,"SEGEBERG","SCH",15,0,0,141,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
300,"STORMARN","SCH",20,0,1,189,0,0,1,16,0,0,0,2,0,0,0,0,0,0,0,205,2,0,0,0,0,1,0,0,0,0,0,0,0
301,"PINNEBERG","SCH",15,0,1,183,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,1,0,0,0,0,0,0,0
302,"ALTONA","SCH",1,1,0,173,3,0,4,50,3,0,3,0,0,0,2,0,0,0,0,223,0,6,0,0,0,7,2,0,0,0,0,0,0
303,"LAUENBURG","SCH",33,0,0,141,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"DIEPHOLZ","HAN",13,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"SYKE","HAN",17,0,1,78,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,8,0,0,0,0,0,0,0,0,0,0,0
306,"HOYA","HAN",21,0,1,66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0
307,"NIENBURG","HAN",24,1,1,51,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0,1,0,0,0,0,0,0,0
308,"STOLZENAU","HAN",35,0,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,0
309,"SULINGEN","HAN",17,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"NEUSTADT","HAN",42,0,2,71,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,71,0,1,0,0,0,2,0,0,0,0,0,0,0
311,"HANNOVER","HAN",0,1,0,188,10,0,0,11,7,0,0,0,0,0,0,0,0,0,0,199,0,17,0,0,0,0,0,0,0,0,0,0,0
312,"HANNOVER","HAN",29,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
313,"LINDEN (Wennigsen)","HAN",2,1,0,49,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,49,0,8,0,0,0,0,0,0,0,0,0,0,0
314,"LINDEN (Wennigsen)","HAN",42,0,1,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,0,0
315,"SPRINGE","HAN",41,0,1,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0
316,"HAMELN","HAN",68,1,0,101,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,102,1,2,0,0,0,0,0,0,0,0,0,0,0
317,"PEINE","HIL",50,3,0,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,4,0,0,0,0,0,0,0,0,0,0,0
318,"HILDESHEIM","HIL",1,3,2,34,7,0,2,0,9,0,0,0,0,0,0,0,0,0,0,34,0,16,0,0,0,2,0,0,0,0,0,0,0
319,"HILDESHEIM","HIL",21,23,2,22,25,0,2,0,1,0,0,0,0,0,0,0,0,0,0,22,0,26,0,0,0,2,0,0,0,0,0,0,0
320,"MARIENBURG","HIL",53,28,0,61,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,61,0,35,0,0,0,0,0,0,0,0,0,0,0
321,"GRONAU","HIL",29,3,0,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,0,0,0,0,0,0,0,0,0,0
322,"ALFELD","HIL",40,3,0,51,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0,7,0,0,0,0,0,0,0,0,0,0,0
323,"GOSLAR","HIL",42,14,0,63,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,66,0,14,0,0,0,0,0,0,0,0,0,0,0
324,"OSTERODE AM HARZ","HIL",40,2,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,2,0,0,0,0,0,0,0,0,0,0,0
325,"DUDERSTADT","HIL",3,37,1,5,42,0,1,0,12,0,0,0,0,0,0,0,0,0,0,5,0,54,0,0,0,1,0,0,0,0,0,0,0
326,"GOTTINGEN","HIL",2,1,0,24,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,24,1,3,0,0,0,0,0,0,0,0,0,0,0
327,"GOTTINGEN","HIL",66,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
328,"MUNDEN","HIL",38,1,2,52,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,52,2,1,0,0,0,2,0,0,0,0,0,0,0
329,"USLAR","HIL",29,0,1,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,2,0,0,0,0,0,0,0
330,"EINBECK","HIL",35,2,0,49,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,1,2,0,0,0,0,0,0,0,0,0,0,0
331,"NORTHEIM","HIL",46,2,1,59,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59,1,3,0,0,0,1,0,0,0,0,0,0,0
332,"ZELLERFELD","HIL",21,0,0,55,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,56,1,1,0,0,0,0,0,0,0,0,0,0,0
333,"ILFELD","HIL",28,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
