id1816,kreiskey1800,county,rb,pop1816_m_un7,pop1816_m_7to14,pop1816_m_15to18,pop1816_m_19to45,pop1816_m_46to60,pop1816_m_ov60,pop1816_m_tot,pop1816_f_un7,pop1816_f_7to14,pop1816_f_15to45,pop1816_f_46to60,pop1816_f_ov60,pop1816_f_tot,pop1816_tot
270,204,"Wiedenbrück","MIN",3003,2466,1123,5238,2221,1221,15272,3162,2420,7344,2089,1116,16131,31403
271,223,"Wipperfürth","KOL",,,,,,,9878,,,,,,9958,19836
272,22,"Wirlitz","BRO",4378,2828,1545,6185,2311,1046,18293,4094,2539,7373,1965,950,16921,35214
273,165,"Wittenberg","MER",2715,2308,1144,4653,1792,907,13519,2587,2323,6951,1813,923,14597,28116
274,222,"Wittgenstein","ARN",1620,1346,810,2748,1025,379,7928,1559,1299,3821,1053,360,8092,16020
275,262,"Wittlich","TRI",2439,2000,959,2532,1859,608,10397,2402,1959,4648,2204,680,11893,22290
276,109,"Wohlau","BRE",3396,2801,1473,5031,2166,991,15858,3471,2666,8261,2167,887,17452,33310
277,157,"Wollmirstädt","MAG",2514,2174,1114,4805,1788,881,13276,2610,2109,6567,1765,850,13901,27177
278,49,"Wongrowiz","BRO",3423,2094,1140,4876,2089,795,14417,3153,1965,5726,1714,1245,13803,28220
279,180,"Worbis","ERF",2882,2379,1334,4670,2006,998,14269,2872,2457,6580,2188,971,15068,29337
280,178,"Zeiz","MER",2036,1691,923,3671,1622,955,10898,2162,1733,5434,1572,887,11788,22686
281,251,"Zell","KOB",2221,1925,900,3118,1586,661,10411,2253,1789,4239,1661,951,10893,21304
282,186,"Ziegenrück","ERF",754,571,338,1383,620,353,4019,715,564,1810,576,428,4093,8112
283,73,"Züllichau","FRA",2977,2206,1311,5531,1815,1171,15011,2968,1990,7934,1869,1145,15906,30917
284,220,"Bilstein","ARN",2082,1858,1075,4312,1646,709,11682,1977,1820,5800,1591,600,11788,23470
285,280,"Blankenheim","AAC",1283,974,568,1887,930,436,6078,1326,1004,2569,1162,443,6504,12582
286,1,"Brandenburg","KON",7455,3989,2585,10424,4390,1686,30529,7276,4011,15392,4096,1650,32425,62954
287,258,"Braunfels","KOB",1621,1564,735,3125,1144,554,8743,1672,1459,4108,1190,589,9018,17764
288,11,"Christburg","MAR",2404,1629,753,3051,1542,552,9931,2299,1453,4388,1267,385,9792,19723
289,16,"Dirschau","DAN",5438,3729,1733,6493,3465,1320,22178,5301,3251,8691,2835,1058,21136,43314
290,22,"Kammin","MAR",2713,1744,867,3601,1635,740,11300,2414,1464,4436,1221,517,10052,21352
291,256,"Linz","KOB",1025,922,427,1646,828,445,5293,1065,865,2561,891,506,5888,11181
292,210,"Medebach","ARN",1668,1635,1036,3008,1217,582,9146,1542,1488,4037,1378,538,8983,18129
293,38,"Memel","GUM",2643,2039,1021,5033,1804,658,13198,2680,1877,6638,1710,682,13587,26785
294,241,"Mettmann","DUS",2707,2097,1041,4382,1794,965,12987,2678,1971,5654,1452,807,12562,25549
295,13,"Michelau","MAR",4893,3053,1431,7545,2959,1069,20950,4725,2655,10272,2331,839,20822,41772
296,15,"Neuenburg","MAR",2702,1677,833,3395,1436,548,10591,2602,1470,4871,1113,406,10462,21053
297,243,"Opladen","DUS",2256,2025,928,3774,1598,958,11539,2289,1905,4783,1517,737,11231,22770
298,89,"Osten","STE",,,,,,,,,,,,,,
299,26,"Peisern","POS",3112,2278,988,4065,1800,747,12990,2990,2062,5777,1268,530,12627,25617
300,10,"Rhein","GUM",3826,1875,1111,5147,1976,1102,15037,3617,1870,7095,1615,1020,15217,30254
301,6,"Schaken","KON",8955,7565,4208,17293,6770,3208,47999,9738,8025,25840,8089,3922,55614,103613
