kreiskey1888,county,rb,edu1886_wag_m_tot,edu1886_wag_f_tot
297,"SUDERDITHMARSCHEN","SCH",146427,5350
298,"STEINBURG","SCH",206074,4220
299,"SEGEBERG","SCH",153180,2490
300,"STORMARN","SCH",222371,12950
301,"PINNEBERG","SCH",210078,7030
302,"ALTONA","SCH",244800,42740
303,"LAUENBURG","SCH",149584,1500
304,"DIEPHOLZ","HAN",35608,0
305,"SYKE","HAN",70283,660
306,"HOYA","HAN",57075,750
307,"NIENBURG","HAN",49462,1752
308,"STOLZENAU","HAN",51675,0
309,"SULINGEN","HAN",32160,0
310,"NEUSTADT","HAN",60365,650
311,"HANNOVER","HAN",256864,15000
312,"HANNOVER","HAN",52011,0
313,"LINDEN (Wennigsen)","HAN",63470,3300
314,"LINDEN (Wennigsen)","HAN",69593,0
315,"SPRINGE","HAN",66779,0
316,"HAMELN","HAN",93621,1200
317,"PEINE","HIL",63471,0
318,"HILDESHEIM","HIL",51184,7050
319,"HILDESHEIM","HIL",43816,750
320,"MARIENBURG","HIL",81182,1993
321,"GRONAU","HIL",42305,0
322,"ALFELD","HIL",48619,620
323,"GOSLAR","HIL",73582,2160
324,"OSTERODE AM HARZ","HIL",77034,0
325,"DUDERSTADT","HIL",38144,8060
326,"GOTTINGEN","HIL",29812,1720
327,"GOTTINGEN","HIL",60068,0
328,"MUNDEN","HIL",48225,0
329,"USLAR","HIL",39029,0
330,"EINBECK","HIL",43964,0
331,"NORTHEIM","HIL",54670,0
332,"ZELLERFELD","HIL",59573,1355
333,"ILFELD","HIL",29343,0
334,"CELLE","LUN",26024,697
335,"CELLE","LUN",78360,0
336,"GIFHORN","LUN",71722,750
337,"BURGDORF","LUN",74980,610
338,"ISENHAGEN","LUN",37477,0
339,"FALLINGBOSTEL","LUN",71136,0
340,"SOLTAU","LUN",44917,600
341,"ULZEN","LUN",105877,2070
342,"LUCHOW","LUN",54011,0
343,"DANNENBERG","LUN",32623,540
344,"BLECKEDE","LUN",50174,0
345,"LUNEBURG","LUN",33735,0
346,"LUNEBURG","LUN",41519,0
347,"WINSEN","LUN",62149,810
348,"HARBURG","LUN",58250,11180
349,"HARBURG","LUN",83893,1440
350,"JORK","STA",54974,0
351,"STADE","STA",81785,0
352,"KEHDINGEN","STA",49941,0
353,"NEUHAUS","STA",60983,0
354,"HADELN (Otterndorf)","STA",41139,0
355,"LEHE","STA",70820,0
356,"GEESTEMUNDE","STA",100337,0
357,"OSTERHOLZ","STA",75650,0
358,"BLUMENTHAL","STA",46081,0
359,"VERDEN","STA",62089,1560
360,"ACHIM","STA",53640,1540
361,"ROTENBURG","STA",57093,0
362,"ZEVEN","STA",43328,0
363,"BREMERVORDE","STA",47947,0
364,"MEPPEN","OSN",37022,4910
365,"ASCHENDORF","OSN",32511,7078
366,"HÜMMLING","OSN",26577,0
367,"LINGEN","OSN",49312,6265
368,"BENTHEIM","OSN",68295,1970
369,"BERSENBRUCK","OSN",77030,1792
370,"OSNABRUCK","OSN",51760,21520
371,"OSNABRUCK","OSN",50036,0
372,"WITTLAGE","OSN",32126,2005
373,"MELLE","OSN",39863,2269
374,"IBURG","OSN",32070,7592
375,"NORDEN","AUR",77498,0
376,"EMDEN","AUR",38748,2350
377,"EMDEN","AUR",57747,0
378,"WITTMUND","AUR",107838,900
379,"AURICH","AUR",79977,0
380,"LEER","AUR",110933,1680
381,"WEENER","AUR",56803,475
382,"TECKLENBURG","MUN",70233,16045
383,"WARENDORF","MUN",22881,19442
384,"BECKUM","MUN",50970,29059
385,"LUDINGHAUSEN","MUN",46209,21349
386,"MUNSTER","MUN",42260,28905
387,"MUNSTER","MUN",32987,20566
388,"STEINFURT","MUN",56740,28857
389,"KOESFELD","MUN",52441,20742
390,"AHAUS","MUN",39342,19570
391,"BORKEN","MUN",54693,26540
392,"RECKLINGHAUSEN","MUN",88736,47365
393,"MINDEN","MIN",148933,5078
394,"LUBBECKE","MIN",83828,2130
395,"HERFORD","MIN",148867,3550
396,"HALLE","MIN",62905,1800
397,"BIELEFELD","MIN",102601,3208
398,"BIELEFELD","MIN",73560,0
399,"WIEDENBRUCK","MIN",77862,10035
400,"PADERBORN","MIN",64711,24593
401,"BUREN","MIN",64678,22317
402,"WARBURG","MIN",61640,19730
403,"HOXTER","MIN",100996,28890
404,"ARNSBERG","ARN",66974,31265
405,"MESCHEDE","ARN",57894,22160
406,"BRILON","ARN",71994,22756
407,"LIPPSTADT","ARN",63882,24861
408,"SOEST","ARN",101340,21647
409,"HAMM","ARN",163806,30492
410,"DORTMUND","ARN",249700,58000
411,"DORTMUND","ARN",146926,30460
412,"HORDE","ARN",184637,43295
413,"BOCHUM","ARN",108496,47865
414,"BOCHUM","ARN",234454,70274
415,"GELSENKIRCHEN","ARN",189148,77561
416,"HATTINGEN","ARN",116577,30045
417,"HAGEN","ARN",82870,25230
418,"HAGEN","ARN",143210,25376
419,"SCHWELM","ARN",116249,17765
420,"ISERLOHN","ARN",146327,18524
421,"ALTENA","ARN",168142,10990
422,"OLPE","ARN",67054,23211
423,"SIEGEN","ARN",200564,6710
424,"WITTGENSTEIN","ARN",57304,1540
425,"KASSEL","KAS",193425,23430
426,"KASSEL","KAS",82531,0
427,"ESCHWEGE","KAS",109140,0
428,"FRITZLAR","KAS",62456,1800
429,"HOFGEISMAR","KAS",78332,900
430,"HOMBERG","KAS",53667,1900
431,"MELSUNGEN","KAS",70718,0
432,"ROTENBURG","KAS",71710,0
433,"WITZENHAUSEN","KAS",77702,900
