kreiskey1849,county,rb,occ1849_baker_master,occ1849_baker_assi,occ1849_pastrychef_master,occ1849_pastrychef_assi,occ1849_butcher_master,occ1849_butcher_assi,occ1849_soapboiler_master,occ1849_soapboiler_assi,occ1849_tanner_master,occ1849_tanner_assi,occ1849_shoemaker_master,occ1849_shoemaker_assi,occ1849_glover_master,occ1849_glover_assi,occ1849_furrier_master,occ1849_furrier_assi,occ1849_lorimer_master,occ1849_lorimer_assi,occ1849_ropemaker_master,occ1849_ropemaker_assi,occ1849_sailmaker_master,occ1849_sailmaker_assi,occ1849_firehosemaker_master,occ1849_firehosemaker_assi,occ1849_tailor_master,occ1849_tailor_assi,occ1849_passementer_self_emp,occ1849_passementer_assi,occ1849_milliner_self_emp,occ1849_milliner_assi,occ1849_embroiderer_self_emp,occ1849_embroiderer_assi,occ1849_paperhanger_self_emp,occ1849_paperhanger_assi,occ1849_hatter_master,occ1849_hatter_assi,occ1849_cloth_cutter_self_emp,occ1849_cloth_cutter_assi,occ1849_dyer_self_emp,occ1849_dyer_assi,occ1849_bleacher_self_emp,occ1849_bleacher_assi,occ1849_carpenter_self_emp,occ1849_carpenter_assi,occ1849_carpenter_patchers,occ1849_wellsinker_master,occ1849_wellsinker_assi,occ1849_cabinetmaker_master,occ1849_cabinetmaker_assi,occ1849_wheelwright_master,occ1849_wheelwright_assi,occ1849_wainwright_master,occ1849_wainwright_assi,occ1849_cooper_master,occ1849_cooper_assi,occ1849_turner_master,occ1849_turner_assi,occ1849_manufacturer_f_self_emp,occ1849_manufacturer_f_assi,occ1849_manufacturer_c_self_emp,occ1849_manufacturer_c_assi,occ1849_combmaker_master,occ1849_combmaker_assi,occ1849_brushmaker_master,occ1849_brushmaker_assi,occ1849_basketmaker_master,occ1849_basketmaker_assi,occ1849_bricklayer_master,occ1849_bricklayer_assi,occ1849_bricklayer_patchers,occ1849_slater_master,occ1849_slater_assi,occ1849_stonemason_master,occ1849_stonemason_assi,occ1849_paver_master,occ1849_paver_assi,occ1849_chimneysweep_self_emp,occ1849_chimneysweep_assi,occ1849_potter_master,occ1849_potter_assi,occ1849_glazier_master,occ1849_glazier_assi,occ1849_colourist_self_emp,occ1849_colourist_assi,occ1849_painter_self_emp,occ1849_painter_assi,occ1849_lacquerer_self_emp,occ1849_lacquerer_assi,occ1849_sculptor_self_emp,occ1849_sculptor_assi,occ1849_blacksmith_master,occ1849_blacksmith_assi,occ1849_locksmith_master,occ1849_locksmith_assi,occ1849_beltmaker_master,occ1849_beltmaker_assi,occ1849_millwright_self_emp,occ1849_millwright_assi,occ1849_spoolmaker_self_emp,occ1849_spoolmaker_assi,occ1849_coppersmith_master,occ1849_coppersmith_assi,occ1849_bellfounder_master,occ1849_bellfounder_assi,occ1849_tinmoulder_master,occ1849_tinmoulder_assi,occ1849_plumber_master,occ1849_plumber_assi,occ1849_wiredrawer_master,occ1849_wiredrawer_assi,occ1849_sc_instrument_self_emp,occ1849_sc_instrument_assi,occ1849_mus_instrument_self_emp,occ1849_mus_instrument_assi,occ1849_clockmaker_self_emp,occ1849_clockmaker_assi,occ1849_goldsmith_self_emp,occ1849_goldsmith_assi,occ1849_stonecutter_self_emp,occ1849_stonecutter_assi,occ1849_gold_beater_self_emp,occ1849_gold_beater_assi,occ1849_barber_self_emp,occ1849_barber_assi,occ1849_hairdresser_self_emp,occ1849_hairdresser_assi,occ1849_fisher_self_emp,occ1849_fisher_assi,occ1849_gardener_self_emp,occ1849_gardener_assi,occ1849_bookbinder_self_emp,occ1849_bookbinder_assi,occ1849_goldborder_self_emp,occ1849_goldborder_assi,occ1849_papiermache_self_emp,occ1849_papiermache_assi,occ1849_umbrellamaker_self_emp,occ1849_umbrellamaker_assi,occ1849_cigarmaker_self_emp,occ1849_cigarmaker_assi,occ1849_plasterfigurine_self_emp,occ1849_plasterfigurine_assi,occ1849_waxcandlemaker_self_emp,occ1849_waxcandlemaker_assi,occ1849_waddingmaker_self_emp,occ1849_waddingmaker_assi,occ1849_blanketmaker_self_emp,occ1849_blanketmaker_assi,occ1849_carder_self_emp,occ1849_carder_assi,occ1849_yarnspinner_self_emp,occ1849_yarnspinner_assi,occ1849_ingnitermaker_self_emp,occ1849_ingnitermaker_assi,occ1849_product_corn_self_emp,occ1849_product_corn_assi,occ1849_writing_utens_self_emp,occ1849_writing_utens_assi,occ1849_autioneer_self_emp,occ1849_autioneer_assi,occ1849_executioner_self_emp,occ1849_executioner_assi,occ1849_musicteacher_self_emp,occ1849_musicteacher_assi,occ1849_actor_self_emp,occ1849_actor_assi,occ1849_cleaner_self_emp,occ1849_cleaner_assi,occ1849_metalworker_self_emp,occ1849_metalworker_assi,occ1849_pastoralist_self_emp,occ1849_pastoralist_assi,occ1849_bargee_self_emp,occ1849_bargee_assi,occ1849_tinker_self_emp,occ1849_tinker_assi,occ1849_thatcher_self_emp,occ1849_thatcher_assi,occ1849_charburner_self_emp,occ1849_charburner_assi,occ1849_castrator_self_emp,occ1849_castrator_assi
45,"Stuhm","MAR",22,16,1,0,17,5,0,0,13,9,205,61,0,0,11,7,27,1,7,8,0,0,0,0,113,23,0,0,7,1,1,0,0,0,3,0,6,0,6,1,2,0,16,14,21,0,0,58,11,32,23,0,0,26,9,4,1,0,0,4,0,0,0,0,0,1,0,2,37,8,0,1,0,0,0,0,1,0,10,12,12,2,0,0,5,1,1,0,0,0,72,42,16,9,0,0,1,2,2,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,13,2,1,4,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Marienwerder","MAR",49,34,4,8,37,23,3,2,6,8,302,220,2,1,15,16,35,16,8,12,0,0,0,0,169,120,2,2,11,10,0,0,1,1,3,0,1,0,6,5,2,0,8,100,12,1,1,104,75,55,24,1,5,27,20,7,5,0,0,3,0,4,3,1,0,78,1,10,137,12,1,5,0,0,2,2,4,3,23,27,14,10,0,0,11,11,1,0,0,0,125,76,36,36,0,0,1,0,0,0,2,4,3,0,0,0,9,8,3,0,4,0,2,4,6,6,2,6,1,0,0,0,9,9,1,0,21,3,5,2,10,13,0,0,0,0,0,0,3,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"Rosenberg","MAR",29,27,3,2,43,24,0,0,20,8,290,157,2,0,19,19,25,28,10,16,0,0,0,0,128,46,0,0,8,5,0,0,0,0,4,2,1,0,10,8,0,0,10,96,12,1,1,99,59,43,19,0,0,39,22,17,2,0,0,2,0,0,0,1,0,2,0,2,175,10,0,0,0,0,1,0,5,2,30,38,13,5,0,0,7,4,0,0,0,0,90,42,32,33,0,0,1,1,2,0,2,2,1,0,1,0,7,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,7,1,0,0,30,12,14,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Löbau","MAR",24,17,3,0,25,4,0,0,6,1,180,50,0,0,9,6,8,4,4,1,0,0,0,0,60,30,0,0,2,0,0,0,0,0,1,1,4,0,4,5,0,0,2,26,1,1,0,35,18,17,5,0,0,8,1,9,2,0,0,1,0,1,2,1,0,0,0,3,28,0,1,0,0,0,0,1,2,3,21,8,9,2,0,0,2,2,0,0,0,0,88,10,13,11,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,20,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Strassburg","MAR",32,17,3,4,34,14,1,1,19,7,260,86,1,2,17,4,15,4,10,4,0,0,0,0,143,52,0,0,4,1,0,0,0,0,5,2,7,0,8,3,0,0,13,30,2,0,0,79,28,65,17,0,0,28,17,13,1,0,0,0,0,1,0,0,0,7,0,15,53,1,0,1,0,0,1,0,3,4,37,26,9,4,0,0,3,4,0,0,0,0,138,38,14,11,0,0,0,0,0,0,2,2,1,0,0,0,3,4,0,0,1,1,0,0,4,0,2,0,0,0,0,0,4,1,0,0,20,13,6,2,5,2,0,0,0,0,0,0,6,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Thorn","MAR",50,51,9,24,46,27,5,5,9,6,241,195,4,7,11,8,17,20,6,9,0,0,1,0,151,75,3,2,10,4,0,0,1,1,2,1,2,0,6,7,0,0,12,74,13,0,0,77,64,29,20,0,0,26,17,9,4,0,0,0,0,1,1,1,1,13,5,7,93,4,0,0,0,0,1,3,4,6,10,12,18,6,0,0,9,14,0,0,1,2,128,54,26,51,2,1,0,0,0,0,2,2,0,1,1,1,11,10,1,1,1,0,2,2,4,4,4,7,0,0,0,0,7,5,2,0,20,10,15,0,4,5,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Culm","MAR",34,27,5,10,30,17,2,1,1,0,223,88,2,0,14,12,20,5,8,5,0,0,0,0,133,70,1,0,3,1,0,0,0,0,1,0,1,0,4,2,0,0,9,37,1,0,0,65,38,44,12,0,0,35,5,8,3,0,0,0,0,0,0,0,0,1,2,3,67,11,1,2,0,0,0,0,2,5,21,21,10,6,0,0,7,8,0,0,0,0,114,43,20,23,1,0,0,0,0,0,1,0,1,1,0,0,5,2,1,0,0,0,0,0,5,1,3,0,0,0,0,0,5,4,0,0,24,3,3,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Graudenz","MAR",33,25,3,6,37,27,4,4,3,3,212,176,2,8,7,13,18,26,10,7,0,0,0,0,146,109,2,4,7,3,0,0,0,0,3,2,2,1,5,6,0,0,8,50,14,0,0,73,57,39,18,0,0,16,13,8,9,0,0,0,0,4,3,3,5,3,5,3,77,14,4,2,0,0,3,1,2,2,14,26,12,6,0,0,6,14,0,1,0,1,105,57,24,50,1,1,0,0,0,0,2,4,3,5,1,0,5,7,3,5,1,1,2,0,5,6,2,4,0,0,0,0,4,7,0,0,11,8,3,2,2,5,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0
53,"Schwetz","MAR",36,22,3,3,26,12,1,0,7,5,243,120,2,1,14,10,10,5,5,4,0,0,0,0,162,65,0,0,11,0,0,0,1,0,2,1,0,0,6,4,0,0,24,27,11,0,0,132,65,51,17,0,0,41,8,9,2,0,0,8,0,0,0,0,0,10,0,18,34,13,2,0,0,0,7,0,2,2,36,29,16,2,0,0,6,7,0,0,1,0,139,46,20,7,0,0,1,2,0,0,3,2,0,0,1,0,4,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,1,0,0,37,5,10,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Konitz","MAR",32,29,4,7,25,8,3,2,7,4,147,73,1,0,8,5,10,6,8,5,0,0,0,0,100,39,0,0,9,5,0,0,0,0,2,0,2,4,8,5,0,0,4,38,10,1,1,59,36,27,9,0,0,20,5,6,0,0,0,1,0,0,0,0,0,1,0,3,47,5,1,2,0,0,1,0,4,2,16,11,10,2,0,0,6,6,0,0,0,0,130,41,17,11,0,0,0,0,0,0,2,1,0,0,0,0,4,1,0,0,0,0,0,0,4,1,3,1,0,0,0,0,6,2,0,0,11,3,4,2,3,4,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,3,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Schlochau","MAR",31,10,3,1,27,4,2,0,13,4,212,74,0,0,7,4,17,12,6,2,0,0,0,0,181,45,0,0,6,0,0,0,0,0,3,1,2,0,11,5,5,5,4,55,5,1,0,112,33,71,11,0,0,30,10,20,6,0,0,8,2,5,2,0,0,0,0,3,38,9,1,0,0,0,2,1,4,2,29,6,15,0,0,0,3,1,0,0,2,0,121,44,25,11,0,0,0,0,1,1,2,3,1,0,0,0,4,1,1,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,13,9,2,2,4,0,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Flatow","MAR",38,14,0,0,31,1,3,0,9,8,186,35,0,0,5,1,20,5,6,2,0,0,0,0,181,50,0,0,10,3,0,0,0,0,3,1,14,9,7,5,0,0,5,49,10,0,0,109,18,76,6,0,0,40,4,10,2,0,0,15,6,0,0,0,0,12,0,4,59,2,9,5,0,0,4,0,3,4,35,9,13,0,1,0,3,3,0,0,0,0,143,36,17,12,1,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,13,7,10,2,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,6,7,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
57,"Deutsch-Crone","MAR",45,25,5,1,39,23,1,0,3,2,230,107,0,0,7,6,25,10,8,4,0,0,0,0,196,84,2,0,12,0,0,0,0,0,3,0,4,2,17,14,0,0,9,51,13,2,0,134,65,61,24,0,0,35,13,16,3,0,0,14,2,0,0,0,0,4,0,9,96,16,3,15,0,0,4,3,5,3,25,9,15,2,0,0,6,3,0,0,0,0,173,64,40,21,0,0,3,1,0,0,4,3,1,0,0,0,7,2,2,1,0,0,0,0,5,0,2,0,0,0,0,0,6,1,0,0,24,18,4,1,3,3,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,3,0,0,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"Wreschen","POS",33,20,2,0,52,9,3,0,5,7,192,63,1,0,26,17,15,12,7,2,0,0,0,0,183,78,2,0,0,0,0,0,0,0,5,1,0,0,8,1,0,0,2,19,2,0,0,35,23,37,13,0,0,30,12,4,0,0,0,0,0,1,0,0,0,3,0,2,18,1,1,1,0,0,1,0,4,5,22,6,11,0,0,0,1,0,0,0,0,0,87,58,11,8,0,0,2,0,0,0,2,3,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"Pleschen","POS",52,29,5,3,57,17,3,2,8,1,274,80,1,0,28,9,19,6,9,5,0,0,0,0,140,66,1,0,4,0,0,0,0,0,2,0,0,0,14,4,0,0,8,18,7,0,0,60,31,64,11,1,3,35,8,3,3,0,0,1,0,1,0,1,0,3,0,4,35,7,2,0,0,0,1,0,3,7,24,3,10,1,0,0,0,0,0,0,0,0,130,53,24,15,0,0,0,0,0,0,2,0,0,0,0,0,4,5,5,0,0,0,0,0,2,2,2,0,0,0,0,0,5,1,0,0,0,0,25,7,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"Schroda","POS",36,18,2,2,43,17,2,2,0,0,162,61,1,0,33,20,16,5,7,3,0,0,0,0,79,46,0,0,5,0,0,0,0,0,3,1,0,0,5,2,0,0,7,16,13,0,0,58,28,35,20,0,0,18,8,10,4,0,0,0,0,0,0,0,0,2,0,4,52,11,1,2,0,0,1,0,6,9,7,8,7,0,2,0,1,0,0,0,0,0,117,35,10,6,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,4,19,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Schrimm","POS",77,21,3,1,70,27,3,3,6,8,246,132,0,0,33,13,16,5,7,1,0,0,0,0,187,75,2,0,8,3,0,0,0,0,7,4,1,0,6,4,0,0,3,33,1,0,0,62,39,36,14,1,0,29,16,2,0,0,0,0,0,1,0,0,0,6,2,3,20,2,1,1,0,0,0,0,5,8,47,27,6,0,0,0,1,0,2,0,0,0,129,61,22,20,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,19,11,7,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,3,5,0,0,0,0,8,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"Kosten","POS",43,24,4,2,52,22,4,0,10,8,273,106,1,1,40,16,15,17,8,5,0,0,0,0,137,38,1,0,5,0,0,0,0,0,3,1,1,0,11,9,0,0,29,15,0,4,2,71,29,37,13,0,0,22,6,2,2,0,0,0,0,0,0,0,0,6,21,6,36,7,1,3,0,0,3,0,6,7,28,20,9,2,1,1,3,1,0,0,0,0,135,61,12,9,0,0,0,0,0,0,3,1,0,0,0,0,4,0,5,3,1,1,1,0,3,0,0,0,0,0,0,0,8,1,0,0,8,3,28,4,3,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,8,0,12,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,"Buk","POS",64,29,7,1,42,26,5,0,13,12,295,109,2,0,29,17,24,11,9,4,0,0,0,0,178,92,2,0,18,8,0,0,0,0,10,7,1,0,11,8,0,0,8,79,9,0,0,100,35,76,23,0,0,51,18,14,6,0,0,12,1,2,1,6,2,4,0,6,46,5,3,4,1,0,3,1,5,7,12,2,15,0,2,0,7,1,0,0,0,0,116,45,21,17,0,0,0,2,0,0,5,3,0,0,0,0,7,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,5,0,0,0,2,3,13,1,6,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"Posen","POS",137,156,20,70,164,111,16,14,8,15,487,547,11,24,75,59,46,54,8,13,0,0,0,0,394,336,17,25,24,58,2,0,19,5,15,14,8,6,10,2,0,0,24,168,6,2,2,198,227,73,42,7,13,47,47,11,17,0,0,1,0,7,2,5,5,13,11,16,337,4,8,7,10,5,2,4,8,23,31,50,29,4,12,6,46,22,10,4,5,3,146,114,89,169,8,11,2,0,1,1,7,14,8,14,1,3,24,37,3,0,7,3,8,6,21,12,17,15,5,1,0,0,36,34,7,1,36,10,30,13,29,26,0,0,0,0,1,0,19,19,2,0,2,1,5,14,0,0,1,1,0,0,2,0,15,4,0,0,185,3,0,1,14,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Obornik","POS",36,21,3,1,35,17,3,3,7,1,168,51,2,3,21,4,14,7,7,4,0,0,1,0,163,75,0,0,12,0,0,0,0,0,5,1,1,1,6,5,0,0,6,30,5,0,0,62,31,48,9,0,0,13,4,10,2,0,0,3,0,0,0,0,0,1,1,3,51,3,6,1,1,0,0,0,6,5,28,7,12,0,0,0,5,1,0,0,0,0,109,44,16,6,0,0,1,0,1,0,4,4,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,4,0,0,12,8,2,7,3,0,0,0,0,0,0,0,3,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"Samter","POS",52,34,5,3,55,32,6,1,7,6,213,84,0,0,50,14,21,8,8,6,0,0,0,0,208,125,1,0,8,2,0,0,0,0,2,3,2,0,7,11,0,0,7,39,6,0,0,64,35,36,21,1,1,29,11,2,1,0,0,4,0,1,0,0,0,4,0,5,65,1,4,4,0,0,2,0,5,8,28,13,16,1,0,0,7,2,0,0,0,0,118,57,18,13,0,0,1,0,0,0,3,2,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,5,0,0,12,4,10,10,2,1,0,0,0,0,0,0,2,1,0,0,0,0,3,2,1,0,12,0,0,0,0,0,1,0,0,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Birnbaum","POS",55,38,3,6,54,25,4,0,9,10,191,111,2,0,21,13,20,13,9,6,0,0,0,0,202,97,3,1,12,5,0,0,1,0,6,3,4,4,10,3,0,0,8,121,5,0,1,78,34,38,18,2,4,26,31,9,3,0,0,6,0,1,0,2,0,11,3,6,135,0,4,13,0,0,0,0,5,6,28,18,14,5,1,1,4,0,0,0,1,0,105,73,42,19,1,1,2,2,0,0,3,4,1,1,0,0,8,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,4,0,0,23,6,23,7,3,2,0,0,0,0,1,0,9,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Meseritz","POS",40,25,2,2,42,21,3,0,6,1,213,81,1,0,18,16,15,9,14,4,0,0,0,0,163,58,7,6,18,2,0,0,0,0,5,1,2,2,13,7,0,0,19,70,5,2,0,91,37,38,15,0,0,28,13,5,1,0,0,7,0,1,0,0,0,14,6,3,133,0,10,5,1,0,2,0,5,5,26,17,9,2,0,0,2,1,0,0,0,0,113,50,27,24,0,0,2,2,5,0,6,5,1,0,0,0,6,5,4,0,0,0,2,1,5,1,1,0,1,0,0,0,8,2,0,0,26,10,14,1,6,4,0,0,0,0,1,0,4,1,0,0,0,0,3,1,0,0,1,2,15,0,1,0,1,0,0,0,13,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Schildberg","POS",74,15,4,2,75,8,2,1,2,1,219,68,2,0,43,25,15,2,6,1,0,0,0,0,223,42,2,0,9,2,0,0,0,0,3,2,0,0,5,1,0,0,20,32,8,0,0,44,14,72,2,0,0,14,2,1,0,0,0,0,0,1,0,0,0,3,0,6,41,7,0,1,0,0,1,4,5,10,16,3,7,0,3,0,2,1,0,0,0,0,86,20,16,6,0,0,0,0,0,0,1,2,0,0,0,0,4,2,2,1,0,0,0,0,2,2,3,2,0,0,0,0,6,1,0,0,0,0,10,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Bomst","POS",77,38,4,5,49,30,4,2,11,8,374,92,3,2,26,17,25,9,10,9,0,0,0,0,200,77,2,0,34,15,0,0,0,0,5,0,5,3,13,7,0,0,1,41,30,3,0,97,35,64,20,0,0,35,21,11,4,0,0,13,0,2,2,0,0,6,0,3,81,15,5,3,1,0,4,0,5,9,24,11,16,1,0,0,3,0,0,0,0,0,100,47,24,23,0,0,0,0,0,0,4,4,1,0,1,0,0,6,1,2,0,0,0,0,4,1,0,0,0,0,0,0,8,3,0,0,25,7,21,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"Fraustadt","POS",94,52,8,5,64,26,10,5,28,18,377,177,5,4,164,59,30,24,19,7,0,0,0,0,239,61,5,3,21,18,0,0,1,0,8,6,6,4,13,10,0,0,4,106,15,0,0,93,50,45,19,0,0,31,20,10,2,0,0,0,0,6,3,3,0,12,5,4,107,3,3,5,1,1,8,8,10,10,20,12,16,4,0,0,8,7,0,0,4,3,109,71,60,41,3,1,0,0,1,0,5,4,1,1,0,0,9,8,1,2,0,0,1,0,3,2,3,1,0,0,0,0,12,10,2,0,6,17,29,6,15,7,0,0,0,0,0,0,1,0,0,0,1,0,7,4,0,0,21,63,0,0,0,0,1,0,1,0,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72,"Kröben","POS",89,62,8,2,78,35,9,3,24,9,417,167,3,0,83,40,29,10,19,9,0,0,1,0,221,64,6,2,16,4,0,0,1,0,9,4,4,5,11,2,0,0,6,70,11,0,0,101,48,105,28,1,1,44,21,8,4,0,0,1,1,7,3,1,0,7,2,5,89,7,4,1,0,1,0,0,8,9,39,13,21,2,0,0,2,1,0,0,0,0,151,89,43,37,1,0,1,0,1,0,6,8,1,1,1,0,7,7,3,1,0,0,0,0,5,0,2,2,0,0,0,0,16,9,0,0,0,0,33,18,7,1,0,0,0,0,2,0,1,1,0,0,0,0,13,13,0,0,10,2,0,0,0,0,2,0,0,0,11,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"Krotoschin","POS",86,36,12,8,73,36,4,4,13,6,407,156,3,0,85,32,32,18,12,3,0,0,0,0,216,57,3,0,16,13,0,0,0,0,11,8,3,2,15,8,0,0,7,22,29,1,3,94,51,52,17,0,0,51,29,16,7,0,0,16,0,7,2,3,0,5,1,6,26,22,4,1,2,0,8,2,7,8,27,12,20,7,0,0,5,3,1,0,0,0,138,48,33,21,2,0,0,0,0,0,3,0,1,3,0,0,8,4,6,2,0,0,1,0,6,0,1,0,0,0,0,0,8,10,0,0,1,0,15,3,8,3,0,0,0,0,0,0,7,11,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Adelnau","POS",47,17,5,2,63,7,4,2,9,5,219,70,1,0,34,7,16,0,8,1,0,0,0,0,155,36,2,0,2,2,0,0,1,0,2,2,0,0,6,1,0,0,1,44,3,0,1,57,19,45,10,0,0,36,13,1,0,1,0,1,0,0,0,1,0,9,0,2,33,2,2,2,0,0,1,1,6,6,21,5,9,1,0,0,3,1,0,0,1,0,107,54,11,13,0,0,1,0,0,0,2,4,1,1,0,0,2,2,6,0,0,0,1,0,1,0,1,0,0,0,0,0,5,1,0,0,0,0,10,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
