kreiskey1849,county,rb,occ1849_mar_ships,occ1849_mar_capacity,occ1849_river_ships,occ1849_river_capacity,occ1849_carriage_horses,occ1849_inn_carriage_inns
195,"Löwenberg","LIE",0,0,0,0,31,146
196,"Lauban","LIE",0,0,0,0,40,67
197,"Görlitz","LIE",0,0,0,0,138,97
198,"Rothenburg","LIE",0,0,0,0,16,86
199,"Hoyerswerda","LIE",0,0,0,0,15,45
200,"Osterburg","MAG",0,0,8,253,12,187
201,"Salzwedel","MAG",0,0,3,45,28,44
202,"Gardelegen","MAG",0,0,0,0,24,162
203,"Stendal","MAG",0,0,40,1622,25,183
204,"Jerichow II","MAG",0,0,184,5663,3,143
205,"Jerichow I","MAG",0,0,8,334,60,147
206,"Calbe","MAG",0,0,151,6280,58,101
207,"Magdeburg","MAG",0,0,258,11100,222,39
208,"Wanzleben","MAG",0,0,3,105,12,117
209,"Wollmirstädt","MAG",0,0,9,238,15,93
210,"Neuhaldensleben","MAG",0,0,0,0,14,92
211,"Oschersleben","MAG",0,0,0,0,8,79
212,"Aschersleben","MAG",0,0,0,0,132,82
213,"Halberstadt","MAG",0,0,0,0,110,112
214,"Grafschaft Wernigerode","MAG",0,0,0,0,204,36
215,"Liebenwerda","MER",0,0,6,68,30,53
216,"Torgau","MER",0,0,22,642,22,40
217,"Schweinitz","MER",0,0,0,0,2,20
218,"Wittenberg","MER",0,0,29,1032,16,48
219,"Bitterfeld","MER",0,0,0,0,11,21
220,"Delitsch","MER",0,0,0,0,99,45
221,"Saal-Kreis","MER",0,0,78,3493,28,64
222,"Halle","MER",0,0,10,378,231,26
223,"Seekreis Mannsfeld","MER",0,0,171,7720,56,60
224,"Gebirgskreis Mannsfeld","MER",0,0,0,0,19,51
225,"Sangerhausen","MER",0,0,4,110,83,51
226,"Eckartsberga","MER",0,0,1,27,15,62
227,"Querfurt","MER",0,0,24,516,36,47
228,"Merseburg","MER",0,0,10,241,82,93
229,"Weissenfels","MER",0,0,4,143,45,50
230,"Naumburg","MER",0,0,1,28,107,18
231,"Zeitz","MER",0,0,0,0,92,19
232,"Nordhausen","ERF",0,0,0,0,96,37
233,"Worbis","ERF",0,0,0,0,33,55
234,"Heiligenstadt","ERF",0,0,0,0,19,20
235,"Mühlhausen","ERF",0,0,0,0,54,101
236,"Langensalza","ERF",0,0,0,0,37,56
237,"Weissensee","ERF",0,0,0,0,28,37
238,"Erfurt","ERF",0,0,0,0,96,49
239,"Ziegenrück","ERF",0,0,0,0,7,18
240,"Schleusingen","ERF",0,0,0,0,182,50
241,"Tecklenburg","MUN",0,0,0,0,21,56
242,"Warendorf","MUN",0,0,0,0,8,33
243,"Beckum","MUN",0,0,0,0,0,56
244,"Lüdinghausen","MUN",0,0,1,25,11,24
245,"Landkreis Münster","MUN",0,0,1,2,5,37
246,"Stadt Münster","MUN",0,0,0,0,19,1
247,"Steinfurt","MUN",0,0,0,0,6,59
248,"Coesfeld","MUN",0,0,0,0,32,55
249,"Ahaus","MUN",0,0,24,48,24,37
250,"Borken","MUN",0,0,0,0,18,42
251,"Recklinghausen","MUN",0,0,5,178,21,80
252,"Minden","MIN",0,0,18,539,33,43
253,"Lübbecke","MIN",0,0,0,0,19,24
254,"Herfort","MIN",0,0,15,453,24,50
255,"Halle","MIN",0,0,0,0,20,5
256,"Bielefeld","MIN",0,0,0,0,22,23
257,"Wiedenbrück","MIN",0,0,0,0,47,47
258,"Paderborn","MIN",0,0,0,0,18,46
259,"Büren","MIN",0,0,0,0,10,15
260,"Warburg","MIN",0,0,0,0,11,53
261,"Höxter","MIN",0,0,23,459,64,50
262,"Arnsberg","ARN",0,0,0,0,51,36
263,"Meschede","ARN",0,0,0,0,36,32
264,"Brillon","ARN",0,0,0,0,38,50
265,"Lippstadt","ARN",0,0,0,0,45,38
266,"Soest","ARN",0,0,0,0,30,26
267,"Hamm","ARN",0,0,0,0,40,48
268,"Dortmund","ARN",0,0,0,0,140,76
269,"Bochum","ARN",0,0,6,272,77,112
270,"Hagen","ARN",0,0,1,.5,409,124
271,"Iserlohn","ARN",0,0,0,0,124,31
272,"Altena","ARN",0,0,0,0,147,150
273,"Olpe","ARN",0,0,0,0,110,62
274,"Siegen","ARN",0,0,0,0,174,116
275,"Wittgenstein","ARN",0,0,0,0,46,19
276,"Wipperfurt","KOL",0,0,0,0,78,30
277,"Gummersbach","KOL",0,0,0,0,116,27
278,"Waldbroel","KOL",0,0,0,0,12,2
279,"Sieg","KOL",0,0,34,743,27,101
280,"Mühlheim","KOL",0,0,38,123,38,114
281,"Stadt Cöln","KOL",2,391,52,8049,432,110
282,"Landkreis Cöln","KOL",0,0,1,5,41,55
283,"Bergheim","KOL",0,0,0,0,3,42
