kreiskey1864,county,rb,pop1864_tot,pop1864_civ,pop1864_mil,pop1864_m_0to15,pop1864_f_0to15,pop1864_tot_15to65,pop1864_m_ov65,pop1864_f_ov65
189,"GLOGAU","LIE",76174,71947,4227,11274,11105,46093,1599,1876
190,"LUBEN","LIE",33117,32666,451,5598,5472,19947,758,891
191,"BUNZLAU","LIE",59605,59576,29,9485,9356,37258,1628,1849
192,"GOLDBERG-HAINAU","LIE",50426,50249,177,7100,7208,32839,1507,1595
193,"LIEGNITZ LANDKREIS","LIE",68298,66766,1532,10603,10468,42379,1492,1824
194,"JAUER","LIE",32772,32738,34,4988,4986,21001,797,966
195,"SCHONAU","LIE",27273,27254,19,3973,4178,17402,845,856
196,"BOLKENHAIN","LIE",33340,33318,22,5216,5207,21149,846,900
197,"LANDESHUT","LIE",43001,42969,32,6720,6906,27192,1024,1127
198,"HIRSCHBERG","LIE",61670,60975,695,8858,8988,39742,1604,1783
199,"LOWENBERG","LIE",69540,69159,381,9767,9965,45102,2103,2222
200,"LAUBAN","LIE",64986,64952,34,9513,9959,42012,1659,1809
201,"GORLITZ LANDKREIS","LIE",77103,76301,802,11844,11818,49312,1586,1741
202,"ROTHENBURG","LIE",51672,51642,30,9105,9185,30742,1164,1446
203,"HOYERSWERDA","LIE",31759,31734,25,5446,5458,19148,781,901
204,"OSTERBURG","MAG",45417,45382,35,7567,7413,28159,1096,1147
205,"SALZWEDEL","MAG",49423,49067,356,8055,8030,30617,1126,1239
206,"GARDELEGEN","MAG",49107,49046,61,8416,8209,30165,1091,1165
207,"STENDAL","MAG",47133,46466,667,7786,7549,28837,1113,1181
208,"JERICHOW I","MAG",63343,62819,524,11523,11139,37593,1190,1374
209,"JERICHOW II","MAG",52885,52850,35,9172,8981,32448,1113,1136
210,"KALBE","MAG",71243,71031,212,13155,13211,42013,1195,1457
211,"MAGDEBURG","MAG",98501,91028,7473,14680,14616,59218,1075,1439
212,"WANZLEBEN","MAG",61683,61653,30,11517,11792,36469,871,1004
213,"WOLMIRSTEDT","MAG",47954,47939,15,8818,8770,28571,873,907
214,"NEUHALDENSLEBEN","MAG",48282,48227,55,8652,8452,29092,975,1056
215,"OSCHERSLEBEN","MAG",42376,42347,29,7571,7592,25524,802,858
216,"ASCHERSLEBEN","MAG",59916,58264,1652,10236,10055,35836,955,1182
217,"HALBERSTADT LANDKREIS","MAG",55427,54316,1111,8998,8952,33933,1124,1309
218,"WERNIGERODE","MAG",20658,20650,8,3581,3275,12803,472,519
219,"LIEBENWERDA","MER",43199,43172,27,8110,8183,25041,836,1002
220,"TORGAU","MER",58208,53687,4521,10224,9978,31001,1145,1339
221,"SCHWEINITZ","MER",41009,40977,32,7563,7632,23903,878,1001
222,"WITTENBERG","MER",52769,49695,3074,9262,9544,28740,951,1198
223,"BITTERFELD","MER",48561,48084,477,9058,8913,27907,988,1218
224,"SAALKREIS","MER",59257,59239,18,11629,11530,33814,1089,1177
225,"DELITZSCH","MER",57898,57849,49,10422,10347,34359,1171,1450
226,"MANSFELDER GEBIRGSKR","MER",41374,41342,32,7699,7574,24423,828,818
227,"HALLE","MER",45972,45729,243,7598,7002,29542,656,931
228,"MANSFELDER SEEKREIS","MER",62167,62043,124,11734,11646,36279,1188,1196
229,"SANGERHAUSEN","MER",65891,65186,705,11888,11848,38752,1385,1313
230,"ECKARTSBERGA","MER",40067,40038,29,7358,6931,23767,1035,947
231,"QUERFURT","MER",52447,52423,24,9377,9478,30988,1306,1274
232,"MERSEBURG","MER",63595,63070,525,11491,11493,37072,1490,1524
233,"WEISSENFELS LANDKREIS","MER",60595,59715,880,10961,10759,35483,1233,1279
234,"NAUMBURG","MER",26233,25789,444,4136,4104,16202,631,716
235,"ZEITZ LANDKREIS","MER",39124,39044,80,7116,7048,23224,816,840
236,"NORDHAUSEN LANDKREIS","ERF",61494,61455,39,11408,11064,36848,1034,1101
237,"WORBIS","ERF",44763,44729,34,8181,7909,26977,830,832
238,"HEILIGENSTADT","ERF",41919,41889,30,7362,7156,25594,863,914
239,"MUHLHAUSEN LANDKREIS","ERF",50528,50011,517,8709,8694,30355,1163,1090
240,"LANGENSALZA","ERF",34474,34112,362,5981,5738,20678,922,793
241,"WEISSENSEE","ERF",26567,26509,58,5035,4969,15355,621,529
242,"ERFURT LANDKREIS","ERF",60627,55979,4648,8926,8712,35817,1245,1279
243,"ZIEGENRUCK","ERF",14497,14475,22,2603,2446,8793,309,324
244,"SCHLEUSINGEN","ERF",37359,37317,42,6580,6395,22776,766,800
245,"TECKLENBURG","MUN",46851,46821,30,8532,8326,27760,1082,1121
246,"WARENDORF","MUN",28915,28861,54,4524,4488,18082,912,855
247,"BECKUM","MUN",38723,38691,32,6466,6161,23945,1138,961
248,"LUDINGHAUSEN","MUN",39425,39402,23,6608,6438,24374,1038,944
249,"MUNSTER LANDKREIS","MUN",43899,43885,14,6697,6524,28239,1278,1147
250,"MUNSTER STADTKREIS","MUN",27773,22705,5068,2987,2889,15655,517,657
251,"STEINFURT","MUN",44550,44527,23,7233,6999,27802,1281,1212
252,"KOESFELD","MUN",41565,41549,16,6560,6457,26345,1147,1040
253,"AHAUS","MUN",39516,39494,22,6152,6163,24849,1220,1110
254,"BORKEN","MUN",41330,41281,49,6558,6391,26064,1191,1077
255,"RECKLINGHAUSEN LANDKREIS","MUN",49925,49895,30,8987,8683,29554,1400,1271
256,"MINDEN","MIN",73862,69530,4332,13458,13064,40455,1253,1300
257,"LUBBECKE","MIN",49602,49566,36,9428,9175,29004,1025,934
258,"HERFORD","MIN",69977,69039,938,13315,12920,40257,1346,1201
259,"HALLE","MIN",30013,29994,19,5536,5538,17683,638,599
260,"BIELEFELD LANDKREIS","MIN",53816,53137,679,9832,9346,32200,848,811
261,"WIEDENBRUCK","MIN",42992,42804,188,7462,7482,25909,983,958
262,"PADERBORN","MIN",39442,38692,750,6869,6595,23984,604,640
263,"BUREN","MIN",38010,37979,31,7091,6998,22775,621,494
264,"WARBURG","MIN",32772,32740,32,6002,5895,19494,725,624
265,"HOXTER","MIN",52662,51976,686,9487,9088,31397,1013,991
266,"ARNSBERG","ARN",35833,35782,51,6585,6574,21286,718,619
267,"MESCHEDE","ARN",32588,32542,46,5802,5817,19910,579,434
268,"BRILON","ARN",38581,38553,28,7005,6928,23102,799,719
