kreiskey1858,county,rb,misc1858_area
136,"POTSDAM","POT",5015
137,"PRENZLAU","POT",443822
138,"RUPPIN","POT",693036
139,"TELTOW","POT",652248
140,"TEMPLIN","POT",560744
141,"WESTHAVELLAND","POT",505424
142,"WESTPRIGNITZ","POT",573989
143,"ZAUCH-BELZIG","POT",753505
144,"BEUTHEN LANDKREIS","OPP",296028
145,"FALKENBERG","OPP",235768
146,"GROTTKAU","OPP",203225
147,"KOSEL","OPP",263667
148,"KREUZBURG","OPP",215603
149,"LEOBSCHUTZ","OPP",270099
150,"LUBLINITZ","OPP",394848
151,"NEISSE","OPP",278244
152,"NEUSTADT IN OBERSCHLESIEN","OPP",312388
153,"OPPELN LANDKREIS","OPP",559189
154,"PLESS","OPP",414910
155,"RATIBOR","OPP",335364
156,"ROSENBERG IN OBERSCHLESIEN","OPP",352651
157,"RYBNIK","OPP",333166
158,"GROSS STREHLITZ","OPP",352438
159,"TOST-GLEIWITZ","OPP",352208
160,"BRESLAU STADTKREIS","BRE",8136
161,"BRESLAU LANDKREIS","BRE",297224
162,"BRIEG","BRE",236089
163,"FRANKENSTEIN","BRE",187624
164,"GLATZ","BRE",207328
165,"GUHRAU","BRE",265685
166,"HABELSCHWERDT","BRE",309767
167,"MILITSCH","BRE",364062
168,"MUNSTERBERG","BRE",134581
169,"NAMSLAU","BRE",228715
170,"NEUMARKT","BRE",276771
171,"NEURODE","BRE",124161
172,"NIMPTSCH","BRE",148390
173,"OLS","BRE",351914
174,"OHLAU","BRE",241234
175,"REICHENBACH","BRE",141641
176,"SCHWEIDNITZ LANDKREIS","BRE",231775
177,"STEINAU","BRE",163860
178,"STREHLEN","BRE",134806
179,"STRIEGAU","BRE",117175
180,"TREBNITZ","BRE",321810
181,"WALDENBURG","BRE",147783
182,"GROSS WARTENBERG","BRE",317964
183,"WOHLAU","BRE",315701
184,"BOLKENHAIN","LIE",140458
185,"BUNZLAU","LIE",406924
186,"FREISTADT","LIE",343252
187,"GLOGAU","LIE",366523
188,"GORLITZ LANDKREIS","LIE",343061
189,"GOLDBERG-HAINAU","LIE",238774
190,"GRUNBERG","LIE",335440
191,"HIRSCHBERG","LIE",234280
192,"HOYERSWERDA","LIE",339761
193,"JAUER","LIE",128216
194,"LANDESHUT","LIE",155657
195,"LAUBAN","LIE",202801
196,"LIEGNITZ LANDKREIS","LIE",249868
197,"LOWENBERG","LIE",293224
198,"LUBEN","LIE",246825
199,"ROTHENBURG","LIE",444329
200,"SAGAN","LIE",434268
201,"SCHONAU","LIE",136566
202,"SPROTTAU","LIE",284788
203,"ASCHERSLEBEN","MAG",176271
204,"GARDELEGEN","MAG",512735
205,"HALBERSTADT LANDKREIS","MAG",192527
206,"JERICHOW I","MAG",537423
207,"JERICHOW II","MAG",539711
208,"KALBE","MAG",206124
209,"MAGDEBURG","MAG",21783
210,"NEUHALDENSLEBEN","MAG",265265
211,"OSCHERSLEBEN","MAG",198132
212,"OSTERBURG","MAG",432603
213,"SALZWEDEL","MAG",474713
214,"STENDAL","MAG",351605
215,"WANZLEBEN","MAG",212939
216,"WERNIGERODE","MAG",108920
217,"WOLMIRSTEDT","MAG",272544
218,"BITTERFELD","MER",272934
219,"DELITZSCH","MER",295466
220,"ECKARTSBERGA","MER",219722
221,"HALLE","MER",9754
222,"LIEBENWERDA","MER",310856
223,"MANSFELDER GEBIRGSKR","MER",190662
224,"MANSFELDER SEEKREIS","MER",232854
225,"MERSEBURG","MER",225175
226,"NAUMBURG","MER",60109
227,"QUERFURT","MER",267913
228,"SAALKREIS","MER",200143
229,"SANGERHAUSEN","MER",303220
230,"SCHWEINITZ","MER",398252
231,"TORGAU","MER",386140
232,"WEISSENFELS LANDKREIS","MER",197325
233,"WITTENBERG","MER",322966
234,"ZEITZ LANDKREIS","MER",103983
235,"ERFURT LANDKREIS","ERF",127472
236,"HEILIGENSTADT","ERF",169792
237,"LANGENSALZA","ERF",165294
238,"MUHLHAUSEN LANDKREIS","ERF",178834
239,"NORDHAUSEN LANDKREIS","ERF",194554
240,"SCHLEUSINGEN","ERF",179570
241,"WEISSENSEE","ERF",114236
242,"WORBIS","ERF",174289
243,"ZIEGENRUCK","ERF",76546
244,"BIELEFELD LANDKREIS","MIN",107029
245,"BUREN","MIN",299502
246,"HALLE","MIN",119012
247,"HERFORD","MIN",171473
248,"HOXTER","MIN",280761
249,"LUBBECKE","MIN",220521
250,"MINDEN","MIN",230438
251,"PADERBORN","MIN",232690
252,"WARBURG","MIN",201008
253,"WIEDENBRUCK","MIN",194102
254,"AHAUS","MUN",267608
255,"BECKUM","MUN",267816
256,"BORKEN","MUN",254280
257,"KOESFELD","MUN",294975
258,"LUDINGHAUSEN","MUN",272983
259,"MUNSTER LANDKREIS","MUN",336154
260,"MUNSTER STADTKREIS","MUN",749
261,"RECKLINGHAUSEN LANDKREIS","MUN",305541
262,"STEINFURT","MUN",301297
263,"TECKLENBURG","MUN",317034
264,"WARENDORF","MUN",219026
265,"ALTENA","ARN",260212
266,"ARNSBERG","ARN",265163
267,"BOCHUM LANDKREIS","ARN",140962
268,"BRILON","ARN",309037
269,"DORTMUND LANDKREIS","ARN",173229
270,"HAGEN LANDKREIS","ARN",163205
271,"HAMM LANDKREIS","ARN",177314
272,"ISERLOHN","ARN",129697
273,"LIPPSTADT","ARN",195733
274,"MESCHEDE","ARN",305870
275,"OLPE","ARN",241997
276,"SIEGEN","ARN",253226
277,"SOEST","ARN",207552
278,"WITTGENSTEIN","ARN",189515
279,"BARMEN","DUS",8508
280,"DUSSELDORF LANDKREIS","DUS",160859
281,"DUISBURG","DUS",183565
282,"ESSEN LANDKREIS","DUS",77674
283,"ELBERFELD","DUS",11140
284,"GELDERN","DUS",212838
285,"GLADBACH","DUS",93914
286,"GREVENBROICH","DUS",92848
287,"KEMPEN","DUS",154980
288,"KLEVE","DUS",198885
289,"KREFELD LANDKREIS","DUS",72832
290,"LENNEP","DUS",118765
291,"METTMANN","DUS",98083
292,"MORS","DUS",221231
293,"NEUSS","DUS",114963
294,"REES","DUS",205160
295,"SOLINGEN LANDKREIS","DUS",114952
296,"BERGHEIM","KOL",122032
297,"BONN LANDKREIS","KOL",127452
298,"EUSKIRCHEN","KOL",117543
299,"GUMMERSBACH","KOL",299860
300,"KOLN LANDKREIS","KOL",152102
301,"KOLN STADTKREIS","KOL",3014
302,"MULHEIM RHEIN LANDKREIS","KOL",174417
303,"RHEINBACH","KOL",142349
304,"SIEGKREIS","KOL",143483
305,"WALDBROL","KOL",155418
306,"WIPPERFURTH","KOL",118910
307,"AACHEN LANDKREIS","AAC",132534
308,"AACHEN STADTKREIS","AAC",11897
309,"DUREN","AAC",220378
310,"ERKELENZ","AAC",113191
311,"EUPEN","AAC",68888
312,"GEILENKIRCHEN","AAC",77445
313,"HEINSBERG","AAC",95081
314,"JULICH","AAC",124696
315,"MALMEDY","AAC",318414
316,"MONTJOIE","AAC",141598
317,"SCHLEIDEN","AAC",322639
318,"ADENAU","KOB",215083
319,"AHRWEILER","KOB",145371
320,"ALTENKIRCHEN","KOB",249699
321,"SANKT GOAR","KOB",181787
322,"KOBLENZ LANDKREIS","KOB",106327
323,"KOCHEM","KOB",196593
324,"KREUZNACH","KOB",217658
325,"MAYEN","KOB",226543
326,"NEUWIED","KOB",242775
327,"SIMMERN","KOB",223544
328,"WETZLAR","KOB",207587
329,"ZELL","KOB",145613
330,"BERNKASTEL","TRI",261939
331,"BITBURG","TRI",305260
332,"DAUN","TRI",238924
333,"MERZIG","TRI",163682
334,"OTTWEILER","TRI",120314
335,"PRUM","TRI",359630
336,"SAARBRUCKEN","TRI",150627
337,"SAARBURG","TRI",177499
338,"SAARLOUIS","TRI",173826
339,"TRIER LANDKREIS","TRI",374848
340,"TRIER STADTKREIS","TRI",23668
341,"SANKT WENDEL","TRI",210420
342,"WITTLICH","TRI",250994
