id1819,kreiskey1800,county,rb,occ1819_servant_m_conv,occ1819_servant_f_conv
301,52,"Templin","POT",61,202
302,12,"Thorn","MAR",256,736
303,8,"Tilsit","GUM",21,872
304,163,"Torgau","MER",27,223
305,125,"Tost","OPP",44,117
306,105,"Trebnitz","BRE",143,197
307,263,"Trier, Stadtkreis","TRI",121,135
308,264,"Trier, Landkreis","TRI",2,29
309,23,"Tscharnikow","BRO",44,51
310,32,"Uckermünde","STE",30,144
311,226,"Ukerath","KOL",0,0
312,81,"Usedom","STE",25,210
313,281,"St. Vith","AAC",0,0
314,225,"Waldbröl","KOL",0,0
315,30,"Waldenburg","BRE",48,215
316,156,"Wanzleben","MAG",78,146
317,207,"Warburg","MIN",51,141
318,189,"Warendorf","MUN",22,30
319,103,"Wartenberg","BRE",54,125
320,7,"Wehlau","KON",53,94
321,176,"Weissenfels","MER",49,114
322,184,"Weissensee","ERF",27,61
323,258,"Wetzlar","KOB",10,73
324,204,"Wiedenbrück","MIN",5,103
325,223,"Wipperfürth","KOL",5,2
326,22,"Wirlitz","BRO",67,62
327,165,"Wittenberg","MER",46,198
328,222,"Wittgenstein","ARN",27,13
329,262,"Wittlich","TRI",0,13
330,109,"Wohlau","BRE",140,152
331,157,"Wollmirstädt","MAG",31,47
332,49,"Wongrowiz","BRO",198,163
333,180,"Worbis","ERF",35,67
334,26,"Wreschen","POS",125,124
335,178,"Zeiz","MER",35,260
336,251,"Zell","KOB",0,3
337,186,"Ziegenrück","ERF",7,6
338,1,"Zinten","KON",63,79
339,73,"Züllichau","FRA",84,208
340,276,"Aachen","AAC",57,194
341,228,"Köln","KOL",340,1940
342,193,"Münster","MUN",270,1379
343,59,"Potsdam","POT",92,322
344,50,"Berlin","POT",2182,8483
