kreiskey1849,county,rb,occ1849_typefoundry_inst,occ1849_printoffice_book_inst,occ1849_printoffice_copper_inst,occ1849_lithographic_inst,occ1849_bookshop_propr,occ1849_antiquarian_inst,occ1849_lendinglibrary_inst
73,"Krotoschin","POS",0,1,0,0,3,0,2
74,"Adelnau","POS",0,1,0,0,2,0,0
75,"Tscharnikow","BRO",0,0,0,1,0,0,1
76,"Chodezien","BRO",0,2,0,0,1,1,1
77,"Wirsitz","BRO",0,1,0,0,3,0,2
78,"Bromberg","BRO",0,2,1,3,3,0,3
79,"Schubin","BRO",0,0,0,0,0,0,0
80,"Inowrazlaw","BRO",0,1,0,1,1,0,1
81,"Mogilno","BRO",0,0,0,0,1,0,1
82,"Gnesen","BRO",0,1,0,0,2,0,2
83,"Wongrowiz","BRO",0,0,0,0,0,0,1
84,"Haupt- und Residenzstadt Berlin","POT",8,53,17,41,121,17,43
85,"Prenzlau","POT",0,2,0,0,3,0,2
86,"Templin","POT",0,2,0,0,2,0,0
87,"Angermünde","POT",0,3,0,1,1,0,5
88,"Ober-Barnim","POT",0,3,0,0,6,0,7
89,"Nieder-Barnim","POT",0,0,0,0,0,0,1
90,"Beeskow-Storkow","POT",0,1,0,0,1,0,2
91,"Teltow","POT",1,2,0,0,0,0,3
92,"Jüterbock-Luckenwalde","POT",0,2,0,1,1,0,8
93,"Zauch-Belzig","POT",0,1,0,0,0,0,4
94,"Potsdam","POT",0,5,0,6,5,2,4
95,"Ost-Havelland","POT",0,2,0,1,1,0,8
96,"West-Havelland","POT",0,3,0,2,3,0,6
97,"Ruppin","POT",0,1,0,2,2,0,4
98,"Ost-Priegnitz","POT",0,3,0,2,2,0,5
99,"West-Priegnitz","POT",0,2,0,1,1,0,4
100,"Königsberg","FRA",0,3,0,0,2,0,2
101,"Soldin","FRA",0,2,0,0,2,0,2
102,"Arnswalde","FRA",0,1,0,0,0,0,1
103,"Friedeberg","FRA",0,2,0,0,3,0,1
104,"Landsberg","FRA",0,2,0,2,2,0,0
105,"Lebus","FRA",0,2,0,0,3,0,2
106,"Frankfurt","FRA",0,2,1,4,6,1,5
107,"Sternberg","FRA",0,1,0,0,0,0,4
108,"Züllichau","FRA",0,2,0,0,3,0,1
109,"Guben","FRA",0,1,0,1,2,0,1
110,"Crossen","FRA",0,3,1,0,2,0,3
111,"Lübben","FRA",0,1,0,0,1,0,1
112,"Luckau","FRA",0,2,0,2,1,0,2
113,"Kalau","FRA",0,3,0,0,0,0,2
114,"Cottbus","FRA",0,2,0,2,2,0,0
115,"Sorau","FRA",0,2,0,1,2,0,3
116,"Spremberg","FRA",0,2,0,0,0,0,0
117,"Demmin","STE",0,2,0,1,5,0,4
118,"Anclam","STE",0,2,0,0,1,0,0
119,"Usedom-Wollin","STE",0,1,0,0,2,0,3
120,"Uckermünde","STE",0,2,0,0,2,0,3
121,"Randow","STE",1,8,1,7,8,3,7
122,"Greiffenhagen","STE",0,1,0,0,0,0,2
123,"Pyritz","STE",0,1,0,0,0,0,2
124,"Saazig","STE",0,2,0,1,2,0,0
125,"Naugardt","STE",0,1,0,0,1,0,1
126,"Cammin","STE",0,1,0,0,1,0,1
127,"Greiffenberg","STE",0,1,0,0,1,0,4
128,"Regenwalde","STE",0,1,0,0,0,0,1
129,"Schiefelbein","KOS",0,0,0,0,0,0,1
130,"Dramburg","KOS",0,2,0,0,0,0,1
131,"Neustettin","KOS",0,1,0,1,1,0,3
132,"Belgard","KOS",0,1,0,0,2,0,1
133,"Fürstenthum","KOS",0,4,0,4,5,0,5
134,"Schlawe","KOS",0,1,0,0,0,0,1
135,"Rummelsburg","KOS",0,0,0,0,0,0,0
136,"Stolpe","KOS",0,1,0,2,1,0,1
137,"Lauenburg","KOS",0,2,0,0,0,0,2
138,"Bütow","KOS",0,0,0,0,0,0,2
139,"Rügen","STR",0,1,0,0,0,0,3
140,"Franzburg","STR",0,2,0,3,4,1,5
141,"Greifswald","STR",0,3,0,2,4,1,7
142,"Grimmen","STR",0,1,0,0,0,0,2
143,"Namslau","BRE",0,1,0,0,0,0,1
144,"Wartenberg","BRE",0,1,0,1,0,0,1
145,"Oels","BRE",0,1,0,1,2,0,4
146,"Trebnitz","BRE",0,1,0,0,0,0,0
147,"Militsch","BRE",0,1,0,0,1,0,6
148,"Gurau","BRE",0,1,0,1,1,0,2
149,"Steinau","BRE",0,1,0,0,0,0,0
150,"Wolau","BRE",0,1,0,0,0,0,1
151,"Neumarkt","BRE",0,2,0,0,0,0,2
152,"Breslau","BRE",1,11,3,22,24,7,6
153,"Olau","BRE",0,1,1,0,0,0,0
154,"Brieg","BRE",0,2,0,0,4,0,5
155,"Strehlen","BRE",0,1,0,0,0,0,1
156,"Nimtsch","BRE",0,2,0,0,0,0,0
157,"Münsterberg","BRE",0,1,0,0,1,0,2
158,"Frankenstein","BRE",0,1,0,2,1,0,1
159,"Reichenbach","BRE",0,3,0,0,2,0,0
160,"Schweidnitz","BRE",0,4,0,1,5,1,5
161,"Striegau","BRE",0,1,0,1,2,0,2
162,"Waldenburg","BRE",0,3,0,0,2,0,3
163,"Glatz","BRE",0,3,0,2,2,0,4
164,"Habelschwerdt","BRE",0,1,0,1,0,0,3
165,"Creutzburg","OPP",0,0,0,0,1,0,0
166,"Rosenberg","OPP",0,1,0,1,2,0,2
167,"Oppeln","OPP",0,2,0,1,4,0,3
168,"Gross-Strehlitz","OPP",0,1,0,2,1,0,1
169,"Lublinitz","OPP",0,1,0,0,1,0,2
170,"Tost","OPP",0,2,0,2,4,0,5
171,"Beuthen","OPP",0,3,0,1,3,0,0
172,"Pless","OPP",0,2,0,0,1,0,1
173,"Riebnick","OPP",0,1,0,0,0,0,2
174,"Ratibor","OPP",0,3,0,3,2,0,2
175,"Cosel","OPP",0,1,0,1,1,0,2
176,"Leobschütz","OPP",0,2,0,4,3,0,3
177,"Neustadt","OPP",0,1,0,1,2,0,3
178,"Falkenberg","OPP",0,1,0,0,0,0,0
179,"Neisse","OPP",0,4,0,2,3,0,7
180,"Grotkau","OPP",0,1,0,0,0,0,2
181,"Grünberg","LIE",0,2,0,1,2,0,2
182,"Freistadt","LIE",0,2,0,1,2,0,4
183,"Sagan","LIE",0,1,0,2,3,0,2
184,"Sprottau","LIE",0,1,0,1,0,0,1
185,"Glogau","LIE",0,2,1,3,4,1,3
186,"Lüben","LIE",0,1,0,0,1,0,0
187,"Bunzlau","LIE",0,2,0,1,2,0,2
188,"Hainau-Goldberg","LIE",0,3,0,2,2,0,5
189,"Liegnitz","LIE",0,3,0,5,3,1,5
190,"Jauer","LIE",0,1,0,1,1,0,2
191,"Schönau","LIE",0,0,0,0,1,0,0
192,"Bolkenhain","LIE",0,0,0,0,0,0,1
193,"Landshut","LIE",0,1,0,1,1,0,2
194,"Hirschberg","LIE",0,5,0,3,3,0,6
195,"Löwenberg","LIE",0,3,0,0,1,0,4
196,"Lauban","LIE",0,3,0,1,1,0,1
197,"Görlitz","LIE",0,5,0,3,5,0,3
198,"Rothenburg","LIE",0,1,0,0,0,0,2
199,"Hoyerswerda","LIE",0,1,0,0,1,0,2
200,"Osterburg","MAG",0,1,0,0,0,0,3
201,"Salzwedel","MAG",0,2,0,2,2,0,2
202,"Gardelegen","MAG",0,0,0,0,1,0,1
203,"Stendal","MAG",0,2,0,1,3,0,2
204,"Jerichow II","MAG",0,0,0,0,0,0,2
205,"Jerichow I","MAG",0,1,0,0,2,1,4
206,"Calbe","MAG",0,4,0,0,2,0,4
207,"Magdeburg","MAG",1,9,0,9,13,3,6
208,"Wanzleben","MAG",0,1,0,1,0,0,1
209,"Wollmirstädt","MAG",0,0,0,0,0,1,0
210,"Neuhaldensleben","MAG",0,1,0,1,1,0,1
211,"Oschersleben","MAG",0,1,0,0,1,0,1
212,"Aschersleben","MAG",0,3,0,2,6,0,4
213,"Halberstadt","MAG",0,4,0,2,4,2,3
214,"Grafschaft Wernigerode","MAG",0,1,0,1,1,0,0
215,"Liebenwerda","MER",0,1,0,0,1,0,3
216,"Torgau","MER",0,3,0,0,2,0,2
217,"Schweinitz","MER",0,1,0,0,1,0,0
218,"Wittenberg","MER",0,2,0,1,3,1,6
219,"Bitterfeld","MER",0,4,0,0,0,0,2
220,"Delitsch","MER",0,3,0,0,4,0,3
221,"Saal-Kreis","MER",0,0,0,0,1,0,2
222,"Halle","MER",1,7,0,3,16,2,4
223,"Seekreis Mannsfeld","MER",0,3,0,2,2,0,5
224,"Gebirgskreis Mannsfeld","MER",0,1,0,0,0,0,1
225,"Sangerhausen","MER",0,3,0,0,1,0,1
226,"Eckartsberga","MER",0,1,0,0,0,0,1
227,"Querfurt","MER",0,2,0,0,2,0,3
228,"Merseburg","MER",0,4,0,3,2,0,7
229,"Weissenfels","MER",0,3,0,0,2,0,4
230,"Naumburg","MER",0,6,0,3,4,0,5
231,"Zeitz","MER",0,2,0,2,0,0,4
232,"Nordhausen","ERF",0,3,0,2,3,1,3
233,"Worbis","ERF",0,2,0,0,0,0,1
234,"Heiligenstadt","ERF",0,2,0,0,2,0,1
235,"Mühlhausen","ERF",0,2,0,2,2,0,2
236,"Langensalza","ERF",0,2,0,1,4,0,3
237,"Weissensee","ERF",0,1,0,2,1,0,1
238,"Erfurt","ERF",2,11,0,5,10,1,5
239,"Ziegenrück","ERF",0,0,0,0,0,0,0
240,"Schleusingen","ERF",0,3,0,2,2,0,3
241,"Tecklenburg","MUN",0,1,0,0,0,0,0
242,"Warendorf","MUN",0,1,0,0,0,0,0
243,"Beckum","MUN",0,1,0,0,0,0,0
244,"Lüdinghausen","MUN",0,1,0,0,0,0,0
245,"Landkreis Münster","MUN",0,0,0,0,0,0,0
246,"Stadt Münster","MUN",1,5,0,6,7,1,2
247,"Steinfurt","MUN",0,1,0,1,1,0,0
248,"Coesfeld","MUN",0,2,0,1,2,1,1
249,"Ahaus","MUN",0,0,0,0,0,0,0
250,"Borken","MUN",0,1,0,2,0,0,0
251,"Recklinghausen","MUN",0,2,0,1,3,0,0
252,"Minden","MIN",0,3,0,3,6,0,2
253,"Lübbecke","MIN",0,1,0,0,1,0,2
254,"Herfort","MIN",0,2,0,4,1,0,1
255,"Halle","MIN",0,1,0,1,0,0,0
256,"Bielefeld","MIN",0,2,0,2,2,0,2
257,"Wiedenbrück","MIN",0,2,0,1,2,0,0
258,"Paderborn","MIN",0,3,0,2,5,0,3
259,"Büren","MIN",0,1,0,0,0,0,0
260,"Warburg","MIN",0,1,0,0,0,0,0
261,"Höxter","MIN",0,2,0,0,1,0,1
262,"Arnsberg","ARN",0,4,0,0,2,0,1
263,"Meschede","ARN",0,1,0,0,0,0,1
264,"Brillon","ARN",0,1,0,1,1,0,0
265,"Lippstadt","ARN",0,2,0,3,1,0,2
266,"Soest","ARN",0,3,0,1,2,0,2
267,"Hamm","ARN",0,4,0,2,3,0,2
268,"Dortmund","ARN",0,2,0,3,3,0,3
269,"Bochum","ARN",0,5,0,1,6,0,4
270,"Hagen","ARN",0,3,0,3,5,0,4
271,"Iserlohn","ARN",0,3,0,6,1,0,3
272,"Altena","ARN",0,2,0,5,0,0,1
273,"Olpe","ARN",0,3,0,0,2,0,1
274,"Siegen","ARN",0,1,0,4,2,0,2
275,"Wittgenstein","ARN",0,0,0,0,0,0,1
276,"Wipperfurt","KOL",0,1,0,0,0,0,0
277,"Gummersbach","KOL",0,1,0,0,1,0,0
278,"Waldbroel","KOL",0,0,0,0,0,0,0
279,"Sieg","KOL",0,1,0,0,0,0,0
280,"Mühlheim","KOL",0,3,0,0,0,0,1
281,"Stadt Cöln","KOL",2,20,2,17,22,11,4
282,"Landkreis Cöln","KOL",0,1,0,0,1,0,2
283,"Bergheim","KOL",0,1,0,0,0,0,0
284,"Euskirchen","KOL",0,2,0,0,2,0,1
285,"Rheinbach","KOL",0,0,0,0,2,0,0
286,"Bonn","KOL",0,7,3,4,11,2,3
287,"Cleve","DUS",0,2,0,2,4,0,1
288,"Rees","DUS",0,6,0,5,5,0,4
289,"Duisburg","DUS",0,7,0,5,5,0,4
290,"Geldern","DUS",0,4,0,0,3,0,5
291,"Kempen","DUS",0,2,0,4,2,0,0
292,"Crefeld","DUS",0,3,0,6,5,1,2
293,"Düsseldorf","DUS",0,5,1,10,16,2,2
294,"Elberfeld","DUS",0,7,0,12,13,3,4
295,"Lennep","DUS",0,1,1,4,1,0,2
296,"Solingen","DUS",0,4,0,3,3,0,1
297,"Neuss","DUS",0,2,0,3,3,1,2
298,"Grevenbroich","DUS",0,1,0,0,0,0,0
299,"Gladbach","DUS",0,2,0,3,3,0,1
300,"Simmern","KOB",0,2,0,0,2,0,2
301,"Coblenz","KOB",0,9,0,10,2,2,1
302,"St. Goar","KOB",0,1,0,0,1,0,1
303,"Kreuznach","KOB",0,3,0,2,5,0,3
304,"Zell","KOB",0,1,0,0,0,0,0
305,"Kochheim","KOB",0,2,0,0,0,0,1
306,"Mayen","KOB",0,2,0,0,1,0,2
307,"Adenau","KOB",0,0,0,0,0,0,0
308,"Ahrweiler","KOB",0,1,0,0,2,0,0
309,"Neuwied","KOB",0,3,0,3,5,0,3
310,"Altenkirchen","KOB",0,2,0,0,0,0,0
311,"Wetzlar","KOB",0,2,0,1,1,0,3
312,"Daun","TRI",0,0,0,0,0,0,0
313,"Prüm","TRI",0,1,0,1,1,0,0
314,"Bitburg","TRI",0,0,0,0,0,0,0
315,"Wittlich","TRI",0,1,0,0,0,0,0
316,"Trier (Stadt)","TRI",1,6,1,2,7,3,2
317,"Trier (Land)","TRI",0,0,0,0,1,0,0
318,"Berncastel","TRI",0,2,0,0,0,0,0
319,"Saarburg","TRI",0,0,0,0,0,0,0
320,"Merzig","TRI",0,1,0,0,0,0,0
321,"Saarlouis","TRI",0,1,0,1,3,0,0
322,"Saarbrücken","TRI",0,3,0,1,3,0,2
323,"Ottweiler","TRI",0,0,0,0,0,0,1
324,"St. Wendel","TRI",0,1,0,1,0,0,0
325,"Erkelens","AAC",0,1,0,0,1,0,1
326,"Heinsberg","AAC",0,1,0,0,1,0,0
327,"Geilenkirchen","AAC",0,1,0,0,0,0,0
328,"Jülich","AAC",0,2,0,0,0,0,0
329,"Düren","AAC",0,2,0,4,7,0,1
330,"Stadt Aachen","AAC",0,6,0,6,11,3,3
331,"Landkreis Aachen","AAC",0,5,0,0,0,0,1
332,"Eupen","AAC",0,2,0,1,1,0,1
333,"Montjoie","AAC",0,1,0,0,0,0,1
334,"Schleiden","AAC",0,2,0,0,0,0,1
335,"Malmedy","AAC",0,1,0,0,1,0,0
